match,PSW,win0,confidence0,date,winner
26291,1.16,0,4.751583189,7/23/2018,Wang Q.
18349,7.38,1,4.494136828,5/28/2015,Schiavone F.
23830,1.11,0,4.373181472,7/25/2017,Suarez Navarro C.
19771,5.64,1,3.91436504,1/11/2016,Birrell K.
29823,1.19,0,3.791559333,1/21/2020,Keys M.
33669,1.17,0,3.651891366,3/12/2022,Keys M.
24880,1.21,0,3.60645668,1/16/2018,Giorgi C.
22081,1.21,0,3.51774002,10/14/2016,Keys M.
14864,1.2,0,3.332837249,1/14/2014,Pavlyuchenkova A.
22152,5.23,1,3.185229406,10/22/2016,Niculescu M.
29121,1.29,0,3.136001029,8/30/2019,Barty A.
17447,4.25,1,3.049355626,2/11/2015,De Vroome I.
33677,1.25,0,3.014632641,3/13/2022,Swiatek I.
15696,1.29,0,2.998329909,5/12/2014,Pennetta F.
35735,3.72,1,2.978223292,1/24/2023,Azarenka V.
21016,5.03,1,2.934035811,6/14/2016,Flipkens K.
19532,1.25,0,2.893018222,10/14/2015,Wozniacki C.
17902,1.28,0,2.892790556,4/7/2015,Brengle M.
29386,3.41,1,2.793628393,9/25/2019,Yastremska D.
30809,1.26,0,2.77234782,2/2/2021,Bouzkova M.
16253,1.25,0,2.684293374,7/15/2014,Wozniacki C.
34366,1.25,0,2.680310097,6/17/2022,Jabeur O.
20019,1.35,0,2.66675773,2/16/2016,Svitolina E.
33906,1.34,0,2.65512582,4/20/2022,Kontaveit A.
22057,1.33,0,2.649093601,10/12/2016,Jankovic J.
22501,1.34,0,2.648269758,2/2/2017,Cibulkova D.
18074,1.41,0,2.614130399,5/2/2015,Svitolina E.
15188,1.37,0,2.595880063,3/6/2014,Tomljanovic A.
19179,3.92,1,2.588942199,9/9/2015,Pennetta F.
26562,3.65,1,2.51826764,8/27/2018,Maria T.
35849,1.33,0,2.496785176,2/10/2023,Bencic B.
34052,1.28,0,2.488274959,5/12/2022,Jabeur O.
21104,3.43,1,2.483278706,6/24/2016,Cibulkova D.
21549,3.28,1,2.478624469,8/21/2016,Pliskova Ka.
27475,3.66,1,2.453668776,2/1/2019,Vekic D.
22996,1.21,0,2.450256639,4/11/2017,Vondrousova M.
18142,1.37,0,2.447512172,5/11/2015,Williams V.
