match,PSW,win0,confidence0,date,winner,,,correct pred?
33678,1.25,0,2.707452665,3/13/2022,Swiatek I.,-1,-100,
29374,1.3,0,2.3012329,9/24/2019,Pliskova Ka.,-1,-100,
31549,1.32,0,2.242375572,4/23/2021,Halep S.,-1,-100,
29711,1.4,0,2.170473123,1/11/2020,Williams S.,-1,-100,
27475,3.66,1,2.144928943,2/1/2019,Vekic D.,2.66,266,
29397,3.41,1,2.1291236,9/25/2019,Yastremska D.,2.41,241,
23310,1.36,0,2.127096061,5/24/2017,Garcia C.,-1,-100,
26305,1.33,0,2.090623795,7/24/2018,Linette M.,-1,-100,
23208,1.39,0,2.085564072,5/11/2017,Halep S.,-1,-100,
33108,1.41,0,2.064067932,11/10/2021,Kontaveit A.,-1,-100,
26306,1.37,0,2.057905446,7/24/2018,Zhang S.,-1,-100,
25739,1.41,0,2.005409462,5/20/2018,Rybakina E.,-1,-100,
29471,1.43,0,2.002053908,10/5/2019,Barty A.,-1,-100,
29129,1.32,0,1.970657241,8/31/2019,Mertens E.,-1,-100,
23502,1.42,0,1.966975434,6/15/2017,Safarova L.,-1,-100,
25240,1.59,0,1.965274124,3/12/2018,Garcia C.,-1,-100,
30069,3.11,1,1.937079166,2/28/2020,Zarazua R.,2.11,211,
34836,1.46,0,1.932467698,8/8/2022,Ostapenko J.,-1,-100,
31353,1.39,0,1.919452143,3/27/2021,Sabalenka A.,-1,-100,
33689,3.02,1,1.918834703,3/14/2022,Vondrousova M.,2.02,202,
35522,2.88,1,1.916399145,1/4/2023,Masarova R.,1.88,188,
30418,1.38,0,1.911497869,9/9/2020,Martincova T.,-1,-100,
29385,1.44,0,1.910968855,9/25/2019,Barty A.,-1,-100,
22481,1.5,0,1.894672875,1/31/2017,Petkovic A.,-1,-100,
29608,1.55,0,1.894630523,10/27/2019,Sabalenka A.,-1,-100,
29967,3.26,1,1.891744395,2/18/2020,Rybakina E.,2.26,226,
30777,2.84,1,1.888292857,1/31/2021,Paolini J.,1.84,184,
35120,1.43,0,1.865078225,9/6/2022,Jabeur O.,-1,-100,
30278,1.53,0,1.863573461,8/26/2020,Osaka N.,-1,-100,
29661,1.35,0,1.842823869,1/7/2020,Osaka N.,-1,-100,
29982,2.86,1,1.832191226,2/20/2020,Rybakina E.,1.86,186,
34803,1.55,0,1.823108568,8/4/2022,Jabeur O.,-1,-100,
29322,1.52,0,1.816500032,9/21/2019,Osaka N.,-1,-100,
29363,1.59,0,1.813336007,9/23/2019,Kuzmova V.,-1,-100,
33748,1.41,0,1.810909516,3/24/2022,Osaka N.,-1,-100,
22661,2.75,1,1.810740323,3/1/2017,Parmentier P.,1.75,175,
22815,2.55,1,1.800998821,3/22/2017,Cepede Royg V.,1.55,155,
29137,2.75,1,1.790767503,9/1/2019,Konta J.,1.75,175,
23936,1.57,0,1.781381651,8/6/2017,Goerges J.,-1,-100,
26037,2.87,1,1.780013454,6/21/2018,Goerges J.,1.87,187,
25105,2.86,1,1.773002355,2/21/2018,Kasatkina D.,1.86,186,
27513,2.88,1,1.772049365,2/15/2019,Mertens E.,1.88,188,
30627,2.76,1,1.770904212,10/2/2020,Bertens K.,1.76,176,
26311,1.5,0,1.767468182,7/24/2018,Ivakhnenko V.,-1,-100,
22833,2.73,1,1.75283129,3/24/2017,Stosur S.,1.73,173,
29144,1.53,0,1.752783112,9/3/2019,Svitolina E.,-1,-100,
32675,1.52,0,1.749625859,9/4/2021,Sabalenka A.,-1,-100,
32503,1.54,0,1.74935818,8/21/2021,Pliskova Ka.,-1,-100,
30651,1.5,0,1.746438528,10/10/2020,Swiatek I.,-1,-100,
31946,1.56,0,1.745515262,6/14/2021,Garcia C.,-1,-100,
24549,2.43,1,1.741832856,10/11/2017,Golubic V.,1.43,143,
22934,1.49,0,1.726360968,4/5/2017,Lucic-Baroni M.,-1,-100,
22716,1.44,0,1.723716862,3/9/2017,Bencic B.,-1,-100,
24336,1.57,0,1.723306971,9/21/2017,Cirstea S.,-1,-100,
25544,1.41,0,1.718527493,4/26/2018,Garcia C.,-1,-100,
30402,1.49,0,1.708104707,9/7/2020,Osaka N.,-1,-100,
26662,1.51,0,1.706054832,9/3/2018,Stephens S.,-1,-100,
30420,2.94,1,1.705423773,9/9/2020,Tig P.M.,1.94,194,
23700,1.58,0,1.704035928,7/5/2017,Witthoeft C.,-1,-100,
30639,1.52,0,1.690868291,10/4/2020,Podoroska N.,-1,-100,
23766,3.02,1,1.68847648,7/17/2017,Podoroska N.,2.02,202,
24786,1.48,0,1.686141461,1/8/2018,Kerber A.,-1,-100,
31201,1.6,0,1.683990086,3/10/2021,Pegula J.,-1,-100,
34764,1.52,0,1.681344526,7/30/2022,Bogdan A.,-1,-100,
24439,2.7,1,1.674181384,9/29/2017,Bondarenko K.,1.7,170,
35013,2.57,1,1.667619813,8/29/2022,Zanevska M.,1.57,157,
30869,2.63,1,1.664828018,2/6/2021,Mertens E.,1.63,163,
25436,1.8,0,1.662274403,4/8/2018,Goerges J.,-1,-100,
25253,2.74,1,1.661393346,3/15/2018,Kasatkina D.,1.74,174,
27915,1.66,0,1.660574433,4/8/2019,Schmiedlova A.,-1,-100,
34153,1.42,0,1.658194419,5/23/2022,Raducanu E.,-1,-100,
23651,1.55,0,1.656328051,7/3/2017,Giorgi C.,-1,-100,
