match,PSW,win0,confidence0,date,winner,,
32547,5.92,1,3.693985951,1/4/2013,Bedene A.,4.92,492
34894,4.76,1,3.61616349,10/19/2013,Haase R.,3.76,376
49015,5.31,1,3.414041387,4/23/2019,Jarry N.,4.31,431
34785,5.26,1,3.32629621,10/8/2013,Pospisil V.,4.26,426
33880,5.64,1,3.095478534,6/17/2013,Donskoy E.,4.64,464
33202,3.97,1,3.057692557,3/21/2013,Gimeno-Traver D.,2.97,297
30769,1.16,0,3.034061484,4/24/2012,Ramos A.,-1,-100
33273,1.29,0,2.962479919,4/9/2013,Lorenzi P.,-1,-100
31392,4.7,1,2.921545643,6/29/2012,Querrey S.,3.7,370
30812,4.84,1,2.87152952,4/27/2012,Raonic M.,3.84,384
33300,4.61,1,2.82676718,4/11/2013,Ramirez-Hidalgo R.,3.61,361
35690,4.38,1,2.807665877,3/10/2014,Benneteau J.,3.38,338
32297,4.25,1,2.790003203,10/17/2012,Thiem D.,3.25,325
30330,1.32,0,2.766865383,2/24/2012,Almagro N.,-1,-100
33328,4.3,1,2.757743194,4/15/2013,Bautista R.,3.3,330
32636,3.89,1,2.731238477,1/14/2013,Ito T.,2.89,289
35325,1.31,0,2.721285205,2/6/2014,Roger-Vasselin E.,-1,-100
29843,3.78,1,2.71189263,1/3/2012,Hanescu V.,2.78,278
35332,3.65,1,2.70987411,2/6/2014,Daniel T.,2.65,265
33217,3.97,1,2.707063352,3/22/2013,Zemlja G.,2.97,297
34226,1.27,0,2.699959233,7/23/2013,Bautista R.,-1,-100
32519,1.2,0,2.660570895,1/2/2013,Tipsarevic J.,-1,-100
35244,4.22,1,2.650284282,1/16/2014,Simon G.,3.22,322
31456,3.94,1,2.649893353,7/10/2012,Souza J.,2.94,294
34914,4.21,1,2.649639812,10/22/2013,Przysiezny M.,3.21,321
33627,1.3,0,2.63368027,5/20/2013,Bautista R.,-1,-100
32614,3.98,1,2.619143904,1/14/2013,Kuznetsov An.,2.98,298
34545,1.31,0,2.609844482,8/26/2013,Tomic B.,-1,-100
33623,1.29,0,2.58749418,5/20/2013,Andujar P.,-1,-100
35696,1.45,0,2.538609887,3/11/2014,Bautista R.,-1,-100
32142,1.36,0,2.496067673,10/2/2012,Raonic M.,-1,-100
