match,PSW,win0,confidence0,date,winner,,,
56730,1.26,0,2.850517152,10/6/2022,Tiafoe F.,-1,-100,
35730,3.11,1,2.371212393,3/19/2014,Mannarino A.,2.11,211,
35126,1.38,0,2.126473155,1/7/2014,Tomic B.,-1,-100,
55863,1.51,0,2.092201445,6/22/2022,Bublik A.,-1,-100,
41131,1.41,0,2.035197582,4/16/2016,Nadal R.,-1,-100,
43761,2.94,1,2.026327236,4/25/2017,Haase R.,1.94,194,
47226,3.56,1,2.021114802,7/25/2018,Monteiro T.,2.56,256,
43952,1.45,0,2.014957771,5/13/2017,Nadal R.,-1,-100,
32382,2.72,1,1.999103153,10/24/2012,Gasquet R.,1.72,172,
34318,1.42,0,1.981489526,7/30/2013,Malisse X.,-1,-100,
32928,1.44,0,1.978850365,2/19/2013,Davydenko N.,-1,-100,
36419,1.53,0,1.970858667,6/15/2014,Dimitrov G.,-1,-100,
54380,1.39,0,1.957710367,11/11/2021,Shapovalov D.,-1,-100,
42925,1.46,0,1.955423641,1/7/2017,Bautista Agut R.,-1,-100,
41708,1.43,0,1.954651538,6/20/2016,Youzhny M.,-1,-100,
55086,2.72,1,1.944056709,3/19/2022,Fritz T.,1.72,172,
34715,3.05,1,1.908147749,9/23/2013,Sijsling I.,2.05,205,
52836,2.6,1,1.908078065,4/29/2021,Moutet C.,1.6,160,
32111,1.52,0,1.904986516,10/1/2012,Mayer F.,-1,-100,
46862,1.38,0,1.904032281,6/16/2018,Federer R.,-1,-100,
42540,1.47,0,1.8996209,10/4/2016,Baghdatis M.,-1,-100,
38012,2.71,1,1.878738353,2/13/2015,Souza J.,1.71,171,
54399,3.09,1,1.868997533,11/20/2021,Zverev A.,2.09,209,
42677,3.4,1,1.851538888,10/19/2016,Bublik A.,2.4,240,
49955,1.62,0,1.842721731,8/2/2019,Fritz T.,-1,-100,
42188,2.86,1,1.837888305,8/15/2016,Cuevas P.,1.86,186,
31769,1.53,0,1.834249246,8/14/2012,Haas T.,-1,-100,
51211,2.72,1,1.830478554,2/28/2020,Dimitrov G.,1.72,172,
37269,1.56,0,1.830376025,9/26/2014,Benneteau J.,-1,-100,
34755,1.48,0,1.829992382,9/27/2013,Benneteau J.,-1,-100,
38466,2.64,1,1.828069885,4/13/2015,Stakhovsky S.,1.64,164,
43686,2.94,1,1.823842713,4/15/2017,Johnson S.,1.94,194,
42800,1.57,0,1.806461771,11/1/2016,Troicki V.,-1,-100,
39570,1.5,0,1.804646361,8/17/2015,Pospisil V.,-1,-100,
48209,1.56,0,1.802860391,1/10/2019,Kohlschreiber P.,-1,-100,
56326,2.51,1,1.798393507,8/12/2022,Ruud C.,1.51,151,
46377,1.49,0,1.793957114,4/23/2018,Garcia-Lopez G.,-1,-100,
45952,1.42,0,1.792677634,2/22/2018,Verdasco F.,-1,-100,
38755,1.51,0,1.790810829,5/13/2015,Isner J.,-1,-100,
57241,1.64,0,1.783956122,1/22/2023,Korda S.,-1,-100,
51711,1.51,0,1.782269165,10/16/2020,Shapovalov D.,-1,-100,
34426,3.03,1,1.778969165,8/11/2013,Nadal R.,2.03,203,
48777,1.47,0,1.776014189,3/16/2019,Federer R.,-1,-100,
53216,2.8,1,1.770175996,6/11/2021,Djokovic N.,1.8,180,
37984,1.47,0,1.768238644,2/11/2015,Querrey S.,-1,-100,
49956,1.64,0,1.766672257,8/2/2019,Ramos-Vinolas A.,-1,-100,
48565,2.65,1,1.75863892,2/21/2019,Albot R.,1.65,165,
47944,1.55,0,1.758033037,10/19/2018,Monfils G.,-1,-100,
45308,2.71,1,1.754165956,10/19/2017,Berankis R.,1.71,171,
43716,2.7,1,1.751654658,4/18/2017,Muller G.,1.7,170,
35319,2.87,1,1.751649347,2/5/2014,Davydenko N.,1.87,187,
48560,1.52,0,1.751133769,2/21/2019,Mcdonald M.,-1,-100,
48687,1.6,0,1.748432388,3/7/2019,Thompson J.,-1,-100,
56383,1.59,0,1.744338095,8/21/2022,Kwon S.W.,-1,-100,
53997,1.5,0,1.744080664,9/8/2021,Auger-Aliassime F.,-1,-100,
45727,1.53,0,1.744076905,2/5/2018,Travaglia S.,-1,-100,
49223,1.57,0,1.743982596,5/19/2019,Nadal R.,-1,-100,
39565,2.98,1,1.742261168,8/16/2015,Murray A.,1.98,198,
48122,1.6,0,1.741435487,1/2/2019,Paire B.,-1,-100,
