match,PSW,win0,confidence0,date,winner,,,correct pred?,,
56742,1.26,0,2.718837646,10/6/2022,Tiafoe F.,-1,-100,,,
54382,1.39,0,2.117661434,11/11/2021,Shapovalov D.,-1,-100,,,
53880,1.38,0,2.113526017,8/30/2021,Molcan A.,-1,-100,,,
54710,3.25,1,2.108160704,2/5/2022,Tabilo A.,2.25,225,,,
43761,2.94,1,2.039698915,4/25/2017,Haase R.,1.94,194,,,
50688,3.34,1,1.988904159,1/7/2020,Ilkel C.,2.34,234,,,
43430,1.38,0,1.979449847,3/2/2017,Cuevas P.,-1,-100,,,
54103,1.51,0,1.924085498,10/2/2021,Ruud C.,-1,-100,,,
54857,1.62,0,1.9123018,2/16/2022,Khachanov K.,-1,-100,,,
52620,2.8,1,1.902128065,4/5/2021,Kwon S.W.,1.8,180,,,
55156,1.59,0,1.898783095,3/27/2022,Sinner J.,-1,-100,,,
49702,1.42,0,1.885243082,7/15/2019,Sandgren T.,-1,-100,,,
54040,2.6,1,1.879826048,9/23/2021,Giron M.,1.6,160,,,
51716,1.51,0,1.872345128,10/16/2020,Shapovalov D.,-1,-100,,,
46584,3.05,1,1.870145224,5/14/2018,Paire B.,2.05,205,,,
52562,2.75,1,1.869914654,3/26/2021,Norrie C.,1.75,175,,,
52458,1.57,0,1.866371357,3/15/2021,Fucsovics M.,-1,-100,,,
43952,1.45,0,1.863664103,5/13/2017,Nadal R.,-1,-100,,,
42925,1.46,0,1.851257112,1/7/2017,Bautista Agut R.,-1,-100,,,
53215,2.8,1,1.834978622,6/11/2021,Djokovic N.,1.8,180,,,
43716,2.7,1,1.812552341,4/18/2017,Muller G.,1.7,170,,,
48593,2.76,1,1.802463049,2/24/2019,Albot R.,1.76,176,,,
54031,1.38,0,1.791745512,9/22/2021,Pouille L.,-1,-100,,,
56389,1.37,0,1.783580908,8/19/2022,Norrie C.,-1,-100,,,
54195,1.51,0,1.776612623,10/13/2021,Monfils G.,-1,-100,,,
55275,1.36,0,1.77471334,4/13/2022,Sinner J.,-1,-100,,,
54398,3.09,1,1.766158787,11/20/2021,Zverev A.,2.09,209,,,
48794,1.56,0,1.762344457,3/21/2019,Auger-Aliassime F.,-1,-100,,,
49730,1.43,0,1.760327359,7/16/2019,Londero J.I.,-1,-100,,,
54496,1.56,0,1.7571374,1/13/2022,Evans D.,-1,-100,,,
43762,2.76,1,1.749610931,4/25/2017,Vesely J.,1.76,176,,,
51866,2.72,1,1.735486261,11/3/2020,Paul T.,1.72,172,,,
54183,1.49,0,1.735480976,10/12/2021,Sinner J.,-1,-100,,,
46090,1.58,0,1.734073418,3/9/2018,Verdasco F.,-1,-100,,,
54660,1.44,0,1.729358762,2/1/2022,Munar J.,-1,-100,,,
47248,1.54,0,1.729084632,7/27/2018,Kovalik J.,-1,-100,,,
56975,1.62,0,1.728685287,10/31/2022,Norrie C.,-1,-100,,,
48209,1.56,0,1.728676164,1/10/2019,Kohlschreiber P.,-1,-100,,,
48571,1.52,0,1.718873435,2/21/2019,Mcdonald M.,-1,-100,,,
42952,1.54,0,1.718421559,1/10/2017,Muller G.,-1,-100,,,
54486,1.61,0,1.718359544,1/12/2022,Opelka R.,-1,-100,,,
54085,2.52,1,1.71544875,9/30/2021,Giron M.,1.52,152,,,
53871,1.56,0,1.712948517,8/27/2021,Alcaraz C.,-1,-100,,,
56363,2.67,1,1.712097036,8/17/2022,Shapovalov D.,1.67,167,,,
47932,1.53,0,1.706891174,10/18/2018,Monfils G.,-1,-100,,,
49250,1.47,0,1.706253584,5/21/2019,Dellien H.,-1,-100,,,
50752,2.73,1,1.705249553,1/17/2020,Paire B.,1.73,173,,,
52120,1.56,0,1.703940158,2/8/2021,Ruusuvuori E.,-1,-100,,,
54225,1.6,0,1.703707429,10/19/2021,Davidovich Fokina A.,-1,-100,,,
57079,1.51,0,1.699297075,1/5/2023,Shapovalov D.,-1,-100,,-1,-50
48017,2.74,1,1.698510844,10/28/2018,Anderson K.,1.74,174,,,
56551,1.55,0,1.696556116,9/3/2022,Rublev A.,-1,-100,,,
46898,1.56,0,1.696339458,6/20/2018,Querrey S.,-1,-100,,,
50310,1.74,0,1.696314275,9/24/2019,Kecmanovic M.,-1,-100,,,
56241,1.61,0,1.695534584,8/3/2022,Dimitrov G.,-1,-100,,,
52838,2.6,1,1.694163551,4/29/2021,Moutet C.,1.6,160,,,
46995,1.55,0,1.694067582,7/2/2018,Fabbiano T.,-1,-100,,,
43835,1.68,0,1.692283149,5/2/2017,Khachanov K.,-1,-100,,,
53532,1.57,0,1.692243802,7/16/2021,Djere L.,-1,-100,,,
49184,2.16,1,1.691983999,5/14/2019,Struff J.L.,1.16,116,,,
47461,2.55,1,1.690388998,8/16/2018,Kyrgios N.,1.55,155,,,
49251,1.54,0,1.689189277,5/22/2019,Fritz T.,-1,-100,,,
52032,2.48,1,1.686332021,2/2/2021,Gerasimov E.,1.48,148,,,
52948,1.58,0,1.683045769,5/13/2021,Rublev A.,-1,-100,,,
47731,1.56,0,1.68197952,9/26/2018,Ramos-Vinolas A.,-1,-100,,,
43791,2.73,1,1.681078282,4/26/2017,Karlovic I.,1.73,173,,,
51256,1.61,0,1.677584727,8/24/2020,Raonic M.,-1,-100,,,
52265,1.66,0,1.675950287,2/24/2021,Davidovich Fokina A.,-1,-100,,,
52072,2.41,1,1.675884144,2/4/2021,Khachanov K.,1.41,141,,,
48892,2.34,1,1.674315378,4/9/2019,Andujar P.,1.34,134,,,
55524,2.44,1,1.667845504,5/11/2022,Cilic M.,1.44,144,,,
56513,2.66,1,1.666657851,8/31/2022,Moutet C.,1.66,166,,,
56205,2.8,1,1.666597056,7/30/2022,Misolic F.,1.8,180,,,
51550,1.53,0,1.665786171,9/28/2020,Sock J.,-1,-100,,,
52091,2.81,1,1.664665437,2/5/2021,Evans D.,1.81,181,,,
52988,2.46,1,1.658774937,5/19/2021,Bedene A.,1.46,146,,,
53056,1.65,0,1.657773892,5/26/2021,Delbonis F.,-1,-100,,,
47963,1.66,0,1.656626736,10/22/2018,Fritz T.,-1,-100,,,
56015,1.63,0,1.655838442,7/8/2022,Kyrgios N.,-1,-100,,,
53010,1.5,0,1.655784002,5/21/2021,Shapovalov D.,-1,-100,,,
53656,2.4,1,1.653953648,7/28/2021,Mager G.,1.4,140,,,
47443,1.58,0,1.652599928,8/14/2018,Chung H.,-1,-100,,,
43512,2.88,1,1.650625179,3/13/2017,Carreno Busta P.,1.88,188,,,
51178,1.63,0,1.650236838,2/26/2020,Evans D.,-1,-100,,,
47353,2.58,1,1.646656182,8/3/2018,Istomin D.,1.58,158,,,
47801,1.78,0,1.640073288,10/4/2018,Struff J.L.,-1,-100,,,
47753,1.69,0,1.639441422,9/29/2018,Fognini F.,-1,-100,,,
54457,2.35,1,1.638248904,1/10/2022,Munar J.,1.35,135,,,
55089,1.61,0,1.637423593,3/18/2022,Fritz T.,-1,-100,,,
54301,2.2,1,1.636256143,10/28/2021,Van De Zandschulp B.,1.2,120,,,
56752,1.59,0,1.635539153,10/7/2022,Tiafoe F.,-1,-100,,,
53606,1.55,0,1.634855484,7/23/2021,Fritz T.,-1,-100,,,
53003,2.58,1,1.632941922,5/20/2021,Cuevas P.,1.58,158,,,
56067,1.57,0,1.630230135,7/16/2022,Bublik A.,-1,-100,,,
52563,1.6,0,1.630138196,3/26/2021,Fritz T.,-1,-100,,,
54843,2.34,1,1.628250609,2/15/2022,Verdasco F.,1.34,134,,,
49558,1.66,0,1.628184294,6/26/2019,Evans D.,-1,-100,,,
47842,1.63,0,1.628147029,10/9/2018,Kukushkin M.,-1,-100,,,
53968,1.5,0,1.627101364,9/2/2021,Schwartzman D.,-1,-100,,,
44507,1.65,0,1.626737832,7/18/2017,Bagnis F.,-1,-100,,,
55753,1.61,0,1.626343104,6/9/2022,Ivashka I.,-1,-100,,,
44090,2.73,1,1.623203243,5/29/2017,Estrella Burgos V.,1.73,173,,,
48314,2.74,1,1.621576924,1/18/2019,Bautista Agut R.,1.74,174,,,
57022,1.6,0,1.621113799,11/15/2022,Auger-Aliassime F.,-1,-100,,,
56794,2.3,1,1.620135929,10/12/2022,Wolf J.J.,1.3,130,,,
47888,1.53,0,1.618429866,10/16/2018,Paire B.,-1,-100,,,
52555,1.58,0,1.618139029,3/26/2021,Bublik A.,-1,-100,,,
53263,1.43,0,1.617805536,6/17/2021,Shapovalov D.,-1,-100,,,
47746,2.6,1,1.616759096,9/28/2018,Fritz T.,1.6,160,,,
55396,2.72,1,1.616747717,4/26/2022,Gasquet R.,1.72,172,,,
48754,1.64,0,1.614955622,3/11/2019,Karlovic I.,-1,-100,,,
52875,1.64,0,1.614012839,5/4/2021,Davidovich Fokina A.,-1,-100,,,
50290,1.53,0,1.611924402,9/20/2019,Tsonga J.W.,-1,-100,,,
54287,2.08,1,1.611254993,10/27/2021,Struff J.L.,1.08,108,,,
52369,1.91,0,1.611104876,3/8/2021,Sousa P.,-1,-100,,,
45881,1.63,0,1.610782702,2/17/2018,Dimitrov G.,-1,-100,,,
45950,1.58,0,1.610286809,2/22/2018,Fritz T.,-1,-100,,,
44664,1.69,0,1.607706379,8/1/2017,Santillan A.,-1,-100,,,
49224,1.57,0,1.606179886,5/19/2019,Nadal R.,-1,-100,,,
50542,1.63,0,1.60484349,10/19/2019,Rublev A.,-1,-100,,,
42855,2.28,1,1.604658684,1/2/2017,Stepanek R.,1.28,128,,,
44067,1.65,0,1.6037521,5/28/2017,Robredo T.,-1,-100,,,
49761,2.14,1,1.601742619,7/19/2019,Balazs A.,1.14,114,,,
55354,2.7,1,1.599825835,4/21/2022,Otte O.,1.7,170,,,
53525,1.66,0,1.599073175,7/15/2021,Delbonis F.,-1,-100,,,
49641,2.24,1,1.598987198,7/3/2019,Humbert U.,1.24,124,,,
47940,2.37,1,1.598786968,10/19/2018,Fognini F.,1.37,137,,,
48495,1.58,0,1.593753799,2/15/2019,Opelka R.,-1,-100,,,
53802,1.7,0,1.593149233,8/18/2021,Ruud C.,-1,-100,,,
51522,1.71,0,1.592520017,9/27/2020,Cecchinato M.,-1,-100,,,
53793,2.28,1,1.592402669,8/17/2021,Murray A.,1.28,128,,,
52401,1.56,0,1.592299535,3/10/2021,Rune H.,-1,-100,,,
46483,1.54,0,1.591098768,5/2/2018,Dutra Silva R.,-1,-100,,,
49957,1.61,0,1.590114591,8/3/2019,Schwartzman D.,-1,-100,,,
54340,1.67,0,1.589673725,11/2/2021,Paul T.,-1,-100,,,
46977,1.56,0,1.587111264,6/29/2018,Zverev M.,-1,-100,,,
51126,1.61,0,1.58479514,2/23/2020,Garin C.,-1,-100,,,
44364,2.82,1,1.583851993,7/3/2017,Bedene A.,1.82,182,,,
56167,2.16,1,1.582947321,7/27/2022,Lajovic D.,1.16,116,,,
50344,1.57,0,1.582804397,9/27/2019,Shapovalov D.,-1,-100,,,
52519,1.54,0,1.581877004,3/20/2021,Karatsev A.,-1,-100,,,
52925,2.47,1,1.579534849,5/11/2021,Auger-Aliassime F.,1.47,147,,,
54856,2.37,1,1.579010641,2/16/2022,Andujar P.,1.37,137,,,
55505,1.68,0,1.57886664,5/10/2022,Shapovalov D.,-1,-100,,,
57665,1.78,0,1.57824077,3/11/2023,Musetti L.,-1,-100,1,,
47401,1.66,0,1.576697765,8/8/2018,Cilic M.,-1,-100,,,
