match,PSW,win0,confidence0,date,winner,underdog,conf1.2+
56742,1.26,0,2.39558745,10/6/2022,Tiafoe F.,,
43952,1.45,0,2.111055502,5/13/2017,Nadal R.,,
43764,2.94,1,2.093652692,4/25/2017,Haase R.,,
43820,1.38,0,2.089101078,5/1/2017,Haas T.,,
35119,1.38,0,2.051746517,1/7/2014,Tomic B.,,
43686,2.94,1,2.038982018,4/15/2017,Johnson S.,,
43419,1.38,0,1.990749981,3/2/2017,Cuevas P.,,
53887,1.38,0,1.979606814,8/30/2021,Molcan A.,,
55867,1.35,0,1.975779994,6/22/2022,Fritz T.,,
54880,1.39,0,1.941371881,2/17/2022,Bautista Agut R.,,
46455,1.51,0,1.927857423,5/1/2018,Dutra Silva R.,,
43842,1.53,0,1.924731582,5/2/2017,Daniel T.,,
33115,1.55,0,1.913365996,3/9/2013,Llodra M.,,
43349,1.47,0,1.908216061,2/24/2017,Sock J.,,
41131,1.41,0,1.901777196,4/16/2016,Nadal R.,,
34427,3.03,1,1.889601781,8/11/2013,Nadal R.,,
50688,3.34,1,1.886428298,1/7/2020,Ilkel C.,,
53460,1.34,0,1.873872516,7/7/2021,Shapovalov D.,,
47261,1.55,0,1.866010639,7/28/2018,Mayer L.,,
39569,1.5,0,1.854591471,8/17/2015,Pospisil V.,,
43398,1.4,0,1.853466664,3/1/2017,Sousa J.,,
36927,2.74,1,1.852797915,8/5/2014,Lopez F.,,
33506,1.61,0,1.848828872,5/5/2013,Stepanek R.,,
41016,1.61,0,1.847660184,3/30/2016,Monfils G.,,
49726,1.43,0,1.84668133,7/16/2019,Londero J.I.,,
32023,1.47,0,1.842764795,9/21/2012,Davydenko N.,,
51714,1.51,0,1.837891964,10/16/2020,Shapovalov D.,,
47359,2.58,1,1.83487304,8/3/2018,Istomin D.,,
43546,1.52,0,1.834786686,3/22/2017,Anderson K.,,
40652,1.5,0,1.831392673,2/13/2016,Monfils G.,,
31889,1.3,0,1.828455167,8/28/2012,Ramirez-Hidalgo R.,,
43717,2.7,1,1.826962921,4/18/2017,Muller G.,,
44084,2.73,1,1.820906164,5/29/2017,Estrella Burgos V.,,
37771,1.56,0,1.820607774,1/19/2015,Baghdatis M.,,
34715,3.05,1,1.810918275,9/23/2013,Sijsling I.,,
35315,2.87,1,1.810178067,2/5/2014,Davydenko N.,,
47211,2.63,1,1.80797241,7/24/2018,Monteiro T.,,
37048,1.46,0,1.807941467,8/19/2014,Goffin D.,,
36103,2.63,1,1.807378571,5/11/2014,Melzer J.,,
34447,2.8,1,1.804369013,8/13/2013,Davydenko N.,,
32109,1.39,0,1.803523615,10/1/2012,Dolgopolov O.,,
56796,2.3,1,1.802442698,10/12/2022,Wolf J.J.,,
54455,1.51,0,1.794150034,1/10/2022,Sonego L.,,
48684,1.6,0,1.792629146,3/7/2019,Thompson J.,,
42190,2.86,1,1.791005459,8/15/2016,Cuevas P.,,
41095,1.45,0,1.790975153,4/12/2016,Bautista Agut R.,,
50489,3.5,1,1.782041214,10/15/2019,Carballes Baena R.,,
42926,1.46,0,1.780785286,1/7/2017,Bautista Agut R.,,
31153,1.48,0,1.776221168,6/6/2012,Ferrer D.,,
54399,3.09,1,1.773214383,11/20/2021,Zverev A.,,
32376,2.72,1,1.772545099,10/24/2012,Gasquet R.,,
30819,2.49,1,1.770137014,4/30/2012,Istomin D.,,
57124,2.58,1,1.769376651,1/11/2023,Kwon S.W.,,
56334,2.51,1,1.764085763,8/12/2022,Ruud C.,,
41828,1.45,0,1.755709067,6/30/2016,Istomin D.,,
37994,1.47,0,1.752743912,2/11/2015,Querrey S.,,
34295,2.65,1,1.752192775,7/28/2013,Robredo T.,,
52671,1.76,0,1.751496012,4/11/2021,Goffin D.,,
54051,2.77,1,1.748436632,9/25/2021,Kwon S.W.,,
46973,1.57,0,1.743691583,6/28/2018,Vesely J.,,
47461,2.55,1,1.742087808,8/16/2018,Kyrgios N.,,
39814,2.75,1,1.739055309,9/23/2015,Pouille L.,,
52839,2.6,1,1.739031336,4/29/2021,Moutet C.,,
45362,2.37,1,1.737706917,10/24/2017,Mayer L.,,
31420,1.54,0,1.736530298,7/4/2012,Murray A.,,
55758,1.61,0,1.735290044,6/9/2022,Ivashka I.,,
37928,1.67,0,1.733797689,2/6/2015,Baghdatis M.,,
39565,2.98,1,1.733454944,8/16/2015,Murray A.,,
31773,1.53,0,1.733216512,8/14/2012,Haas T.,,
38979,1.56,0,1.732294037,6/10/2015,Muller G.,,
42545,1.52,0,1.73153585,10/4/2016,Simon G.,,
41621,1.47,0,1.730972272,6/10/2016,Del Potro J.M.,,
37343,1.68,0,1.727408123,10/5/2014,Thiem D.,,
35730,3.11,1,1.725846843,3/19/2014,Mannarino A.,,
50295,1.53,0,1.725561907,9/20/2019,Tsonga J.W.,,
36380,1.57,0,1.722062592,6/11/2014,Stepanek R.,,
41037,2.71,1,1.718929117,4/5/2016,Baghdatis M.,,
39570,2.8,1,1.718433022,8/17/2015,Paire B.,,
30179,2.87,1,1.718361381,2/13/2012,Kubot L.,,
41341,2.67,1,1.716177164,5/7/2016,Murray A.,,
56511,2.59,1,1.71482515,8/31/2022,Cachin P.,,
35163,1.49,0,1.712465272,1/11/2014,Isner J.,,
51373,2.44,1,1.710899879,9/4/2020,Goffin D.,,
41229,1.47,0,1.707575085,4/26/2016,Dutra Silva R.,,
43229,2.62,1,1.700162786,2/15/2017,Sousa J.,,
45344,1.57,0,1.699765983,10/23/2017,Gasquet R.,,
42662,2.67,1,1.697546437,10/18/2016,Kovalik J.,,
53667,1.53,0,1.697373775,7/29/2021,Ruusuvuori E.,,
47248,1.54,0,1.696226422,7/27/2018,Kovalik J.,,
35517,2.65,1,1.695427543,2/21/2014,Dolgopolov O.,,
55258,1.53,0,1.694893089,4/11/2022,Schwartzman D.,,
48777,1.47,0,1.692345415,3/16/2019,Federer R.,,
38716,3.36,1,1.6917794,5/10/2015,Murray A.,,
46654,2.37,1,1.690861949,5/22/2018,Fucsovics M.,,
38985,1.45,0,1.689965754,6/11/2015,Tomic B.,,
46315,2.38,1,1.687456106,4/15/2018,Zverev M.,,
30502,1.52,0,1.686484707,3/12/2012,Almagro N.,,
