match,PSW,win0,confidence0,date,winner
33863,1.2,0,3.446262527,5/18/2021,Ivashka I.
30820,1.19,0,3.36359274,8/1/2019,Fritz T.
34713,1.43,0,2.452754263,8/21/2021,Tsitsipas S.
35509,4.3,1,2.440598317,1/23/2022,Shapovalov D.
35401,1.31,0,2.42671475,1/17/2022,Kecmanovic M.
34766,1.38,0,2.339748613,8/30/2021,Molcan A.
35285,3.09,1,2.338908001,11/20/2021,Zverev A.
28094,1.38,0,2.3365467,7/24/2018,Bedene A.
24783,1.36,0,2.330397129,5/7/2017,Carreno Busta P.
33726,2.95,1,2.309283749,4/30/2021,Norrie C.
31304,1.31,0,2.252318462,10/6/2019,Hurkacz H.
30615,3.4,1,2.241128051,7/16/2019,Dzumhur D.
30963,1.43,0,2.181094574,8/18/2019,Medvedev D.
30642,1.47,0,2.168629313,7/18/2019,Bagnis F.
29879,1.33,0,2.167260589,4/22/2019,Munar J.
30552,1.33,0,2.161312693,7/4/2019,Millman J.
36156,1.43,0,2.145808116,4/12/2022,Martinez P.
27145,1.35,0,2.135744724,4/9/2018,Sandgren T.
24540,1.47,0,2.106094397,4/12/2017,Chardy J.
24602,2.7,1,2.10170517,4/18/2017,Muller G.
30725,1.33,0,2.07835597,7/25/2019,Fognini F.
24301,1.4,0,2.071628924,3/1/2017,Sousa J.
34651,1.33,0,2.068335607,8/12/2021,Ruud C.
35645,3.43,1,2.068157419,2/9/2022,Verdasco F.
30308,1.35,0,2.062282875,6/11/2019,Gasquet R.
33746,2.82,1,2.062043613,5/3/2021,Giron M.
27969,2.95,1,2.052066552,7/7/2018,Nishikori K.
33492,1.5,0,2.040823774,3/30/2021,Sinner J.
25804,1.5,0,2.025183324,8/28/2017,Coric B.
28618,1.59,0,2.019356031,9/26/2018,Sousa J.
34118,3.05,1,2.008204168,6/14/2021,Millman J.
28399,1.55,0,2.003704226,8/22/2018,Edmund K.
35004,2.75,1,2.000822601,10/7/2021,Daniel T.
33140,3.06,1,1.999262705,2/23/2021,Cerundolo J.M.
35096,1.56,0,1.991780236,10/18/2021,Norrie C.
23868,1.43,0,1.988813372,1/14/2017,Sock J.
32097,2.72,1,1.986507869,2/28/2020,Dimitrov G.
24646,2.94,1,1.984315203,4/25/2017,Haase R.
33491,1.56,0,1.976358457,3/30/2021,Bautista Agut R.
25939,2.76,1,1.968600218,9/20/2017,Dutra Silva R.
28135,1.54,0,1.968043771,7/27/2018,Kovalik J.
35249,2.75,1,1.954368731,11/8/2021,Vavassori A.
24553,1.55,0,1.953763819,4/13/2017,Vesely J.
24467,2.84,1,1.952344604,3/24/2017,Vesely J.
33289,1.56,0,1.950855078,3/10/2021,Rune H.
32721,2.6,1,1.946472991,10/31/2020,Sonego L.
25405,2.79,1,1.945981537,7/18/2017,Brown D.
