match,PSW,win0,confidence0,date,winner
54865,1.25,0,2.714590664,2/16/2022,Shapovalov D.
43315,1.25,0,2.712042994,2/22/2017,Del Potro J.M.
52269,1.32,0,2.588380023,2/24/2021,Cilic M.
43326,1.37,0,2.436385479,2/23/2017,Johnson S.
50489,3.5,1,2.424679369,10/15/2019,Carballes Baena R.
48110,1.37,0,2.387697833,1/1/2019,Thompson J.
53389,1.34,0,2.362055719,6/30/2021,Murray A.
43311,1.43,0,2.322665536,2/21/2017,Basilashvili N.
52270,1.38,0,2.305225514,2/24/2021,Ebden M.
54942,3.06,1,2.284492354,2/22/2022,Pucinelli de Almeida M.
46531,1.35,0,2.241361542,5/7/2018,Delbonis F.
54399,3.09,1,2.233551323,11/20/2021,Zverev A.
43761,2.94,1,2.224299814,4/25/2017,Haase R.
49081,1.36,0,2.184249251,4/30/2019,Cuevas P.
49194,3.25,1,2.170327026,5/14/2019,Fritz T.
51402,1.29,0,2.149832055,9/9/2020,Hanfmann Y.
43760,1.45,0,2.134818563,4/25/2017,Kuznetsov An.
52396,2.79,1,2.130403816,3/9/2021,Harris L.
52277,2.72,1,2.104783869,2/25/2021,Paire B.
54636,1.53,0,2.09992502,1/31/2022,Bhambri Y.
43926,1.43,0,2.09629606,5/9/2017,Coric B.
53821,1.3,0,2.083966183,8/20/2021,Medvedev D.
52119,1.56,0,2.062449995,2/8/2021,Ruusuvuori E.
48692,3.72,1,2.054586233,3/7/2019,Andreozzi G.
46972,1.57,0,2.039220214,6/28/2018,Vesely J.
54125,1.44,0,2.028935871,10/8/2021,Struff J.L.
52222,2.97,1,1.995836433,2/17/2021,Tsitsipas S.
53791,1.49,0,1.992247254,8/17/2021,Hurkacz H.
45765,1.38,0,1.99178648,2/8/2018,Copil M.
49699,1.55,0,1.990948772,7/14/2019,Djokovic N.
49171,1.4,0,1.986400337,5/12/2019,Berrettini M.
43195,1.57,0,1.971594429,2/13/2017,Haase R.
47741,1.53,0,1.961434335,9/27/2018,Querrey S.
49806,1.44,0,1.958857231,7/23/2019,Ruud C.
43650,1.47,0,1.95734903,4/12/2017,Chardy J.
44819,3.24,1,1.957110495,8/15/2017,Basilashvili N.
48648,2.62,1,1.939269548,2/27/2019,Auger-Aliassime F.
46902,1.6,0,1.939223009,6/20/2018,Basilashvili N.
47145,3.23,1,1.936157728,7/18/2018,Sela D.
47730,1.56,0,1.929530874,9/26/2018,Ramos-Vinolas A.
52839,2.6,1,1.92340705,4/29/2021,Moutet C.
46066,1.52,0,1.923162177,3/4/2018,Del Potro J.M.
52607,1.56,0,1.921111345,3/30/2021,Bautista Agut R.
53511,1.43,0,1.916614449,7/14/2021,Anderson K.
44580,2.71,1,1.906515576,7/25/2017,Monteiro T.
53009,1.5,0,1.906158825,5/21/2021,Shapovalov D.
48568,1.52,0,1.902025256,2/21/2019,Mcdonald M.
46808,1.54,0,1.901032819,6/7/2018,Del Potro J.M.
43952,1.45,0,1.895988773,5/13/2017,Nadal R.
44516,1.65,0,1.893275085,7/18/2017,Bagnis F.
47659,1.65,0,1.883413416,9/18/2018,Medvedev D.
43716,2.7,1,1.883348074,4/18/2017,Muller G.
47138,1.54,0,1.87718742,7/17/2018,Delbonis F.
49783,1.51,0,1.874281304,7/22/2019,Travaglia S.
49429,2.22,1,1.871876914,6/12/2019,Raonic M.
52406,1.56,0,1.871213379,3/10/2021,Rune H.
50792,1.52,0,1.868469189,1/21/2020,Mmoh M.
51912,1.59,0,1.863958984,11/12/2020,Mannarino A.
48875,1.47,0,1.863919117,4/8/2019,Daniel T.
46702,1.43,0,1.863709711,5/28/2018,Giraldo S.
44083,2.73,1,1.859256907,5/29/2017,Estrella Burgos V.
43693,1.54,0,1.858336233,4/16/2017,Simon G.
50334,2.64,1,1.849848039,9/26/2019,Garin C.
55417,2.81,1,1.848717984,4/29/2022,Tiafoe F.
44518,2.79,1,1.847494649,7/18/2017,Brown D.
51207,2.72,1,1.846585358,2/28/2020,Dimitrov G.
51372,2.44,1,1.846044862,9/4/2020,Goffin D.
54690,1.62,0,1.845642272,2/3/2022,Sonego L.
43782,2.73,1,1.845147982,4/26/2017,Karlovic I.
48360,1.59,0,1.842935942,2/5/2019,Hoang A.
43389,2.28,1,1.841753683,2/28/2017,Mannarino A.
45655,1.59,0,1.840815684,1/16/2018,Marterer M.
44556,2.32,1,1.840214945,7/22/2017,Ebden M.
47914,2.43,1,1.838132396,10/17/2018,Gerasimov E.
43649,2.45,1,1.837978954,4/12/2017,Zeballos H.
52135,1.61,0,1.832450776,2/9/2021,Mmoh M.
49823,1.59,0,1.832115389,7/24/2019,Evans D.
54858,1.62,0,1.829682853,2/16/2022,Khachanov K.
55050,2.43,1,1.82772486,3/13/2022,Kecmanovic M.
46964,2.56,1,1.826365102,6/27/2018,Edmund K.
52658,2.48,1,1.824041165,4/9/2021,Basilashvili N.
53735,1.72,0,1.823306726,8/10/2021,Ruud C.
53525,2.72,1,1.82256671,7/15/2021,Carballes Baena R.
53539,1.51,0,1.820897468,7/17/2021,Carreno Busta P.
51084,1.56,0,1.820111782,2/19/2020,Garin C.
44741,1.51,0,1.818586884,8/4/2017,Sousa J.
51598,2.46,1,1.812027561,10/1/2020,Anderson K.
54273,1.56,0,1.810276069,10/26/2021,Paul T.
43581,2.84,1,1.809816876,3/24/2017,Vesely J.
52989,2.46,1,1.807553282,5/19/2021,Bedene A.
43206,2.52,1,1.806531613,2/14/2017,Coric B.
47294,1.56,0,1.805751628,7/31/2018,Marterer M.
47403,1.66,0,1.805168564,8/8/2018,Cilic M.
53151,1.65,0,1.804626954,6/3/2021,Alcaraz C.
55032,1.55,0,1.801397778,3/12/2022,Monfils G.
46265,2.68,1,1.800887645,4/10/2018,Basilashvili N.
50295,1.53,0,1.798898396,9/20/2019,Tsonga J.W.
44646,1.65,0,1.796598825,7/30/2017,Mayer L.
49757,1.35,0,1.793424385,7/18/2019,Bedene A.
50529,1.76,0,1.791920756,10/17/2019,Chardy J.
47506,2.61,1,1.791168235,8/22/2018,Andreozzi G.
47354,2.58,1,1.790333941,8/3/2018,Istomin D.
48433,1.69,0,1.790168719,2/12/2019,Opelka R.
44881,1.51,0,1.788352672,8/22/2017,Struff J.L.
51474,3.06,1,1.785382457,9/18/2020,Koepfer D.
46318,1.68,0,1.782639456,4/16/2018,Tsitsipas S.
52861,2.82,1,1.782590708,5/3/2021,Giron M.
45329,2.51,1,1.781782553,10/20/2017,Bemelmans R.
53616,1.63,0,1.781007564,7/23/2021,Djere L.
55376,1.6,0,1.778104299,4/25/2022,Kwon S.W.
44091,1.75,0,1.773754354,5/29/2017,Bolelli S.
43528,2.65,1,1.772601758,3/15/2017,Sock J.
46773,1.52,0,1.771692515,5/31/2018,Zverev M.
54744,1.58,0,1.770974597,2/8/2022,Baez S.
49731,2.34,1,1.769222967,7/16/2019,Zverev M.
52401,1.51,0,1.768723872,3/10/2021,Shapovalov D.
