match,PSW,win0,confidence0,date,winner
17286,1.15,0,4.20780084013939,2014-06-12,Berdych T.
24705,1.24,0,3.0797324407100675,2017-05-01,Dutra Silva R.
17153,1.26,0,2.931770490258932,2014-05-27,Michon A.
33723,1.33,0,2.9149526120722293,2021-04-29,Garin C.
37344,1.29,0,2.8179347786307334,2022-08-29,Wu Y.
23606,1.28,0,2.7781722199916836,2016-10-23,Del Potro J.M.
27376,1.3,0,2.7545083713531495,2018-05-02,Sousa J.
36432,1.21,0,2.7424230583012106,2022-05-16,Molcan A.
31697,1.34,0,2.728816732764244,2020-01-21,Ymer M.
23323,1.24,0,2.665677886605263,2016-09-21,Herbert P.H.
37967,1.17,0,2.6641434720158577,2023-01-06,Djokovic N.
32902,1.3,0,2.60205938950181,2021-02-02,Alcaraz C.
20374,1.31,0,2.580172645151615,2015-08-06,Berankis R.
27829,1.34,0,2.539852096557617,2018-06-26,Lacko L.
23293,1.42,0,2.5349566841125495,2016-09-05,Del Potro J.M.
28591,1.36,0,2.52462553113699,2018-09-24,Norrie C.
34164,1.38,0,2.5123481243848795,2021-06-19,Shapovalov D.
34389,1.26,0,2.4897931165993215,2021-07-14,Thompson J.
20496,1.38,0,2.4298969916105273,2015-08-20,Dolgopolov O.
36527,1.38,0,2.395092203617096,2022-05-24,Delbonis F.
22017,1.41,0,2.391233698527018,2016-04-16,Nadal R.
32336,1.36,0,2.36263708949089,2020-09-15,Martinez P.
19188,1.34,0,2.3549810299277305,2015-03-21,Djokovic N.
19286,1.43,0,2.3495107173919676,2015-04-06,Delbonis F.
19919,1.38,0,2.3482826493680475,2015-06-16,Janowicz J.
18157,1.33,0,2.3430852871388197,2014-09-26,Nieminen J.
25378,1.25,0,2.340075194835663,2017-07-17,Kudla D.
24471,1.36,0,2.3073259168863296,2017-03-24,Bellucci T.
28501,3.31,1,2.301027408719063,2018-08-30,Basilashvili N.
31571,3.34,1,2.295656359110559,2020-01-07,Ilkel C.
20270,1.28,0,2.275005741119385,2015-07-28,Groth S.
37953,1.31,0,2.270532707124949,2023-01-04,Griekspoor T.
32122,1.26,0,2.262937868058681,2020-08-23,Fucsovics M.
35285,3.09,1,2.261029022761753,2021-11-20,Zverev A.
24838,1.45,0,2.2566967251471115,2017-05-13,Nadal R.
20067,1.42,0,2.2421352320909502,2015-07-01,Mayer L.
31678,1.52,0,2.2420388895273207,2020-01-21,Mmoh M.
34465,3.54,1,2.2417422137260434,2021-07-21,Dzumhur D.
36758,1.35,0,2.236004135608673,2022-06-22,Fritz T.
32249,1.35,0,2.2359945631027216,2020-09-03,Wolf J.J.
24232,1.47,0,2.2280024394392965,2017-02-24,Sock J.
37031,1.36,0,2.209603463262319,2022-07-25,Munar J.
31947,3.57,1,2.1964072528481484,2020-02-18,Balazs A.
18484,1.33,0,2.1939111314713955,2014-11-14,Wawrinka S.
18337,1.44,0,2.193231290221214,2014-10-16,Kukushkin M.
24603,2.7,1,2.186525140489851,2017-04-18,Muller G.
30058,2.71,1,2.1828107096254827,2019-05-12,Basilashvili N.
31368,1.38,0,2.170729524791241,2019-10-15,Popyrin A.
26229,1.38,0,2.1673008481264118,2017-10-23,Simon G.
34222,1.43,0,2.153068842291832,2021-06-26,De Minaur A.
17933,1.46,0,2.150767123273441,2014-08-19,Goffin D.
27174,1.38,0,2.1433354498744013,2018-04-11,Andujar P.
36869,1.29,0,2.1412654951214787,2022-06-30,Kyrgios N.
23258,1.42,0,2.1360006083548067,2016-09-01,Carreno Busta P.
