match,PSW,win0,confidence0,date,winner
17282,1.15,0,3.9579282923042776,2014-06-12,Berdych T.
20374,1.31,0,2.9007801012992855,2015-08-06,Berankis R.
30210,1.27,0,2.6807675428390505,2019-05-28,Barrere G.
32169,1.31,0,2.5824851052463056,2020-08-31,Zverev A.
17540,1.34,0,2.5357245105504984,2014-07-09,Johnson S.
23018,4.6,1,2.5321709886193275,2016-07-30,Monfils G.
33234,1.3,0,2.5251223218441012,2021-03-04,Cerundolo F.
37957,1.31,0,2.510966207832098,2023-01-04,Griekspoor T.
23272,1.3,0,2.3989680652320384,2016-09-02,Del Potro J.M.
16010,1.38,0,2.382277875900269,2014-01-07,Tomic B.
36943,1.3,0,2.3277029477059843,2022-07-14,Rublev A.
22311,1.41,0,2.3150811967849734,2016-05-17,Bellucci T.
27168,1.38,0,2.3049022822380065,2018-04-11,Andujar P.
16153,1.48,0,2.291823436319828,2014-01-18,Bautista R.
22017,1.41,0,2.2792434056599937,2016-04-16,Nadal R.
16702,1.34,0,2.2784471958875656,2014-04-08,Querrey S.
31375,3.5,1,2.2730828374624252,2019-10-15,Carballes Baena R.
35285,3.09,1,2.2730380257964136,2021-11-20,Zverev A.
32331,1.36,0,2.2609981736540794,2020-09-15,Martinez P.
14750,3.15,1,2.257339457273483,2013-06-14,Hewitt L.
35818,1.43,0,2.245752817541361,2022-02-22,Dellien H.
16640,3.39,1,2.2378695242106916,2014-03-21,Seppi A.
17136,1.36,0,2.228336375355721,2014-05-26,Granollers M.
29577,3.72,1,2.216433972716332,2019-03-07,Andreozzi G.
22486,3.34,1,2.2160381764173507,2016-06-07,Ito T.
24838,1.45,0,2.2009143690552033,2017-05-13,Nadal R.
35766,1.39,0,2.1977697533369067,2022-02-17,Bautista Agut R.
33691,3.28,1,2.1871246492862704,2021-04-26,Anderson K.
22262,3.52,1,2.1844053387641904,2016-05-11,Chardy J.
19912,1.32,0,2.1830741939544676,2015-06-16,Lopez F.
25575,3.91,1,2.180538980066776,2017-08-02,Ofner S.
31556,1.39,0,2.1791856610774993,2019-11-15,Nadal R. 
33916,1.43,0,2.168712419271469,2021-05-24,Lajovic D.
13517,1.36,0,2.15834282040596,2013-01-14,Janowicz J.
28257,1.49,0,2.1564113080501555,2018-08-06,Herbert P.H.
17947,1.42,0,2.154571140050888,2014-08-20,Goffin D.
16834,1.4,0,2.151963205486536,2014-04-22,Ramos A.
29943,1.43,0,2.148858851194382,2019-04-27,Krajinovic F.
32415,1.45,0,2.132757157087326,2020-09-27,Korda S.
27340,1.51,0,2.1252693930268287,2018-05-01,Dutra Silva R.
36904,1.33,0,2.124455172121525,2022-07-11,Sock J.
27589,1.47,0,2.1173896238207814,2018-05-28,Pavlasek A.
18055,2.58,1,2.1097898969650273,2014-08-30,Kohlschreiber P.
22775,2.83,1,2.101999815007051,2016-07-12,Medvedev D.
29784,1.42,0,2.1002682979404925,2019-04-09,Giraldo S.
34767,1.38,0,2.0967548675835133,2021-08-30,Molcan A.
22714,1.45,0,2.094702646136284,2016-06-30,Istomin D.
20496,1.38,0,2.0925712005048993,2015-08-20,Dolgopolov O.
34516,3.35,1,2.0718882966786625,2021-07-26,Kovalik J.
24649,2.94,1,2.071367312371731,2017-04-25,Haase R.
35543,1.44,0,2.0583685598373416,2022-02-01,Munar J.
