match,PSW,win0,confidence0,date,winner
35320,1.22,0,3.154791731,2/5/2014,Zeballos H.
42674,3.4,1,2.803004084,10/19/2016,Bublik A.
53513,1.26,0,2.607384025,7/14/2021,Thompson J.
41056,1.31,0,2.580309361,4/7/2016,Carreno Busta P.
55872,1.35,0,2.556290119,6/22/2022,Fritz T.
37395,3.45,1,2.49430563,10/11/2014,Federer R.
56059,1.3,0,2.477734845,7/14/2022,Rublev A.
43952,1.45,0,2.476460939,5/13/2017,Nadal R.
53887,1.38,0,2.452423055,8/30/2021,Molcan A.
47228,1.41,0,2.421729358,7/25/2018,Kovalik J.
40722,1.34,0,2.401172057,2/18/2016,Paire B.
52653,1.33,0,2.401038363,4/8/2021,Alcaraz C.
39144,3.4,1,2.388866353,6/29/2015,Monaco J.
51014,1.33,0,2.379594028,2/13/2020,Humbert U.
54001,1.42,0,2.346377838,9/11/2021,Djokovic N.
45824,3.5,1,2.33551845,2/13/2018,Menendez-Maceiras A.
55884,1.39,0,2.328270296,6/23/2022,Draper J.
43409,1.4,0,2.298070499,3/1/2017,Sousa J.
38932,1.27,0,2.296376187,5/30/2015,Gasquet R.
55277,1.36,0,2.292342268,4/13/2022,Sinner J.
46739,1.38,0,2.282732751,5/29/2018,Struff J.L.
52913,1.36,0,2.274547024,5/10/2021,Dellien H.
51240,1.41,0,2.265193443,8/23/2020,Khachanov K.
49703,1.42,0,2.253908682,7/15/2019,Sandgren T.
36296,1.33,0,2.243265844,5/29/2014,Kohlschreiber P.
39483,1.31,0,2.230867763,8/6/2015,Berankis R.
41131,1.41,0,2.228539222,4/16/2016,Nadal R.
51098,1.43,0,2.207640947,2/20/2020,Johnson S.
35832,1.33,0,2.203669737,4/9/2014,Montanes A.
37581,1.39,0,2.186806135,10/31/2014,Djokovic N.
49732,3.4,1,2.180313683,7/16/2019,Dzumhur D.
41091,1.49,0,2.174107305,4/11/2016,Bautista Agut R.
38984,1.45,0,2.172106637,6/11/2015,Tomic B.
41556,1.41,0,2.163383332,5/28/2016,Bautista Agut R.
