match,PSW,win0,confidence0,date,winner
46729,1.17,0,3.328049761,5/29/2018,Ymer E.
56746,1.26,0,3.069438669,10/6/2022,Tiafoe F.
54452,1.25,0,2.634948042,1/8/2022,Nadal R.
44121,1.34,0,2.510335196,5/30/2017,Del Potro J. M.
49050,1.29,0,2.429219427,4/26/2019,Medvedev D.
48888,1.36,0,2.424213813,4/9/2019,Munar J.
44600,1.33,0,2.420517251,7/26/2017,Ferrer D.
48357,1.34,0,2.342618454,2/5/2019,Paire B.
50688,3.34,1,2.303045738,1/7/2020,Ilkel C.
54592,3.7,1,2.24671158,1/20/2022,Daniel T.
49479,1.4,0,2.242244708,6/18/2019,Tsonga J.W.
49759,1.35,0,2.240709513,7/18/2019,Bedene A.
57625,1.32,0,2.236345906,3/9/2023,Murray A.
47435,3.45,1,2.197029115,8/13/2018,Pouille L.
43512,2.88,1,2.167671375,3/13/2017,Carreno Busta P.
53506,1.43,0,2.143347588,7/14/2021,Anderson K.
51842,1.34,0,2.121830345,11/2/2020,Bonzi B.
53764,3.51,1,2.121495585,8/12/2021,Tiafoe F.
50489,3.5,1,2.076956081,10/15/2019,Carballes Baena R.
53204,3.18,1,2.069141402,6/10/2021,Rodionov J.
50294,1.53,0,2.062860181,9/20/2019,Tsonga J.W.
45715,2.4,1,2.061265411,1/21/2018,Dimitrov G.
47254,3.32,1,2.061236099,7/27/2018,Basilashvili N.
53991,1.61,0,2.043925367,9/6/2021,Auger-Aliassime F.
47175,1.41,0,2.042644392,7/20/2018,Johnson S.
54587,1.43,0,2.040537011,1/19/2022,Sonego L.
51706,1.51,0,2.040200885,10/16/2020,Shapovalov D.
43716,2.7,1,2.035853076,4/18/2017,Muller G.
47252,1.54,0,2.0346416,7/27/2018,Kovalik J.
53348,1.47,0,2.03226063,6/28/2021,Seppi A.
51509,1.34,0,2.028770197,9/25/2020,Ruud C.
51066,1.52,0,2.021957554,2/18/2020,Pospisil V.
57601,2.89,1,2.020886819,3/3/2023,Medvedev D.
54398,3.09,1,2.012247173,11/20/2021,Zverev A.
50095,1.36,0,2.011368102,8/20/2019,Johnson S.
47645,1.34,0,2.009293942,9/4/2018,Del Potro J.M.
44355,1.58,0,2.008955903,6/30/2017,Sugita Y.
58088,1.34,0,1.997180458,4/26/2023,Gaston H.
51889,1.49,0,1.993946238,11/6/2020,Zverev A.
44517,2.79,1,1.977217294,7/18/2017,Brown D.
47210,1.38,0,1.964475703,7/24/2018,Bedene A.
44918,1.5,0,1.963675026,8/28/2017,Coric B.
54640,1.53,0,1.961985416,1/31/2022,Bhambri Y.
55969,1.52,0,1.961823819,6/29/2022,Goffin D.
54195,1.51,0,1.956091608,10/13/2021,Monfils G.
51508,1.34,0,1.955326316,9/25/2020,Garin C.
43763,2.94,1,1.949864269,4/25/2017,Haase R.
45858,1.58,0,1.939706879,2/15/2018,Medvedev D.
57998,1.46,0,1.937277432,4/20/2023,Davidovich Fokina A.
54053,2.77,1,1.935348211,9/25/2021,Kwon S.W.
56637,1.31,0,1.931003351,9/27/2022,Borges N.
47230,1.41,0,1.930718985,7/25/2018,Kovalik J.
46482,1.54,0,1.926931116,5/2/2018,Dutra Silva R.
50400,1.53,0,1.919833487,10/3/2019,Tsitsipas S.
52832,1.65,0,1.913746277,4/29/2021,Struff J.L.
55522,2.86,1,1.900972623,5/11/2022,Khachanov K.
47188,3.5,1,1.898919707,7/23/2018,Molleker R.
56762,1.54,0,1.895870615,10/8/2022,Djokovic N.
44615,1.45,0,1.889173965,7/27/2017,Kohlschreiber P.
49698,2.29,1,1.887057268,7/12/2019,Federer R.
51136,2.51,1,1.885858954,2/24/2020,Dellien H.
54183,1.49,0,1.884250987,10/12/2021,Sinner J.
46968,2.74,1,1.882551133,6/28/2018,Cecchinato M.
43651,1.47,0,1.880730492,4/12/2017,Chardy J.
45512,1.38,0,1.878709562,1/3/2018,Kukushkin M.
58029,1.42,0,1.874400646,4/21/2023,Van De Zandschulp B.
54365,2.75,1,1.871413644,11/8/2021,Vavassori A.
49807,1.45,0,1.869433206,7/23/2019,Londero J.I.
45263,2.67,1,1.866269567,10/16/2017,Sela D.
56330,2.51,1,1.866025629,8/12/2022,Ruud C.
50334,1.55,0,1.865467489,9/26/2019,Carreno Busta P.
56463,1.52,0,1.864398274,8/29/2022,Rinderknech A.
57913,1.53,0,1.861108605,4/12/2023,Fritz T.
50326,1.33,0,1.858584445,9/25/2019,Monfils G.
51891,1.56,0,1.857728913,11/7/2020,Medvedev D.
53872,1.56,0,1.849109101,8/27/2021,Alcaraz C.
44778,1.47,0,1.847932888,8/9/2017,Anderson K.
52562,2.75,1,1.845951229,3/26/2021,Norrie C.
43952,1.45,0,1.845281176,5/13/2017,Nadal R.
44418,2.16,1,1.844629576,7/4/2017,Ramos-Vinolas A.
50335,2.64,1,1.840439354,9/26/2019,Garin C.
57348,1.52,0,1.840168135,2/11/2023,Baez S.
51400,1.54,0,1.835309145,9/8/2020,Hurkacz H.
50745,2.83,1,1.832245336,1/16/2020,Harris L.
47740,1.53,0,1.830590136,9/27/2018,Querrey S.
52551,1.62,0,1.828748586,3/25/2021,Ruusuvuori E.
42865,1.41,0,1.826778817,1/3/2017,Youzhny M.
57582,1.65,0,1.822670031,3/2/2023,Baez S.
46598,2.48,1,1.819708871,5/15/2018,Gojowczyk P.
51371,2.44,1,1.819335111,9/4/2020,Goffin D.
47268,2.74,1,1.816088055,7/29/2018,Basilashvili N.
47377,1.49,0,1.814013451,8/6/2018,Herbert P.H.
55366,1.49,0,1.81321604,4/22/2022,Auger-Aliassime F.
44495,1.37,0,1.809015329,7/18/2017,Giannessi A.
52593,2.8,1,1.807961753,3/29/2021,Korda S.
43137,2.71,1,1.807289639,2/8/2017,Olivo R.
51128,1.58,0,1.806003692,2/23/2020,Opelka R.
47750,1.54,0,1.805207267,9/28/2018,Sousa J.
51832,2.6,1,1.804998168,10/31/2020,Sonego L.
55092,1.66,0,1.802373449,3/19/2022,Nadal R.
44231,2.42,1,1.801656851,6/16/2017,Paire B.
55258,1.47,0,1.800047001,4/11/2022,Bublik A.
49919,1.73,0,1.798840043,7/31/2019,Dimitrov G.
46715,1.48,0,1.79754893,5/28/2018,Cecchinato M.
54935,3.06,1,1.794950762,2/22/2022,Pucinelli de Almeida M.
44067,1.65,0,1.794489641,5/28/2017,Robredo T.
50452,1.48,0,1.793755903,10/9/2019,Isner J.
46977,1.56,0,1.79355895,6/29/2018,Zverev M.
43655,2.45,1,1.791734058,4/12/2017,Zeballos H.
44619,1.75,0,1.790667975,7/27/2017,Gulbis E.
46065,1.52,0,1.788572457,3/4/2018,Del Potro J.M.
54503,2.45,1,1.782012269,1/14/2022,Kokkinakis T.
54901,2.64,1,1.7808103,2/19/2022,Millman J.
55207,1.5,0,1.777070637,4/5/2022,Thompson J.
55157,1.59,0,1.776133404,3/27/2022,Sinner J.
55868,1.51,0,1.775503404,6/22/2022,Bublik A.
53875,1.59,0,1.774264821,8/28/2021,Ivashka I.
47139,1.51,0,1.774013563,7/17/2018,Bolelli S.
56713,2.94,1,1.773416597,10/3/2022,Bautista Agut R.
49346,2.55,1,1.772800861,5/29/2019,Dimitrov G.
53297,2.33,1,1.772011473,6/22/2021,Gerasimov E.
48003,2.67,1,1.76889997,10/25/2018,Verdasco F.
42929,2.74,1,1.766658848,1/8/2017,Dimitrov G.
55219,1.68,0,1.766483684,4/6/2022,Kyrgios N.
58062,1.35,0,1.764609786,4/24/2023,Hanfmann Y.
47261,1.55,0,1.763957276,7/28/2018,Mayer L.
44515,1.65,0,1.763781869,7/18/2017,Bagnis F.
57973,1.56,0,1.763298553,4/18/2023,Cachin P.
49790,1.54,0,1.757671475,7/22/2019,Vesely J.
47115,1.74,0,1.757266827,7/17/2018,Millman J.
51445,3.05,1,1.754893381,9/15/2020,Lajovic D.
44300,1.51,0,1.754753569,6/24/2017,Cilic M.
50968,1.61,0,1.753828662,2/10/2020,Cuevas P.
46473,2.03,1,1.750237307,5/1/2018,Delbonis F.
46374,1.59,0,1.748329923,4/23/2018,Karlovic I.
54999,2.5,1,1.745107062,3/10/2022,Eubanks C.
52857,1.57,0,1.744339117,5/2/2021,Ramos-Vinolas A.
55368,1.55,0,1.743340423,4/22/2022,Carreno Busta P.
52990,2.46,1,1.73952353,5/19/2021,Bedene A.
