match,PSW,win0,confidence0,date,winner
30591,4.43,1,3.6413796494901174,2019-07-15,Andreozzi G.
32173,1.18,0,3.1360215569287537,2020-08-31,Krueger M.
37971,1.17,0,2.88789679184556,2023-01-06,Djokovic N.
37519,3.73,1,2.771999907732009,2022-09-27,Etcheverry T.
26597,1.36,0,2.7354905498027797,2018-01-20,Thiem D.
33235,1.3,0,2.5600662343204026,2021-03-04,Cerundolo F.
34974,1.33,0,2.5298910433053976,2021-09-30,Rublev A.
30552,1.33,0,2.4839644199609756,2019-07-04,Millman J.
29893,1.36,0,2.469856055527926,2019-04-23,Pella G.
30364,1.4,0,2.439127771854401,2019-06-18,Tsonga J.W.
37120,1.35,0,2.3374468841552734,2022-08-03,Kubler J.
36943,1.3,0,2.3277954749763015,2022-07-14,Rublev A.
24783,1.36,0,2.311805081367493,2017-05-07,Carreno Busta P.
28272,1.4,0,2.3067450499534607,2018-08-07,Tiafoe F.
30643,1.35,0,2.294276123046875,2019-07-18,Bedene A.
25500,1.33,0,2.2917409422397617,2017-07-26,Ferrer D.
35284,3.09,1,2.2840993610450195,2021-11-20,Zverev A.
34946,2.73,1,2.2773347027599815,2021-09-27,Paire B.
27925,3.32,1,2.270864763855934,2018-07-03,Klahn B.
29246,3.08,1,2.2565290832519533,2019-02-05,Jaziri M.
25007,1.34,0,2.2395380532741544,2017-05-30,Del Potro J. M.
27182,1.38,0,2.230832822397351,2018-04-12,Sousa J.
29828,1.33,0,2.2273109664916992,2019-04-15,Goffin D.
27767,1.3,0,2.217835166454315,2018-06-19,Kyrgios N.
32357,3.06,1,2.2042869052290914,2020-09-18,Koepfer D.
29969,1.36,0,2.186368810236454,2019-04-30,Cuevas P.
23869,1.43,0,2.185854754447937,2017-01-14,Sock J.
33722,1.33,0,2.155163045600056,2021-04-29,Garin C.
37001,1.5,0,2.1373632141947745,2022-07-21,Thiem D.
32396,1.34,0,2.1356288714706895,2020-09-25,Ruud C.
28634,2.6,1,2.132437529563904,2018-09-28,Fritz T.
28050,3.27,1,2.104109930098057,2018-07-19,Trungelliti M.
33129,3.06,1,2.0893090268969536,2021-02-23,Cerundolo J.M.
28961,1.4,0,2.0819347824156287,2018-11-16,Zverev A.
31809,2.69,1,2.0702443733811378,2020-02-05,Moutet C.
27343,1.51,0,2.0602144732475285,2018-05-01,Dutra Silva R.
37314,3.15,1,2.057114557921887,2022-08-24,Huesler M.A.
38207,1.46,0,2.052006997168064,2023-02-09,Coric B.
37116,1.46,0,2.0429563183784483,2022-08-02,Purcell M.
32482,2.46,1,2.0395048731565475,2020-10-01,Anderson K.
37024,1.41,0,2.034611139968038,2022-07-25,Varillas J. P.
24747,2.5,1,2.0299230090209415,2017-05-03,Tomic B.
28149,1.39,0,2.029346920698881,2018-07-28,Berrettini M.
24831,1.54,0,2.0220838199555873,2017-05-11,Thiem D.
28093,1.38,0,2.020922467857599,2018-07-24,Bedene A.
34169,2.45,1,2.019319027066231,2021-06-20,Mannarino A.
24334,1.53,0,2.0172985535860066,2017-03-05,Cuevas P.
33166,2.72,1,2.013956298828125,2021-02-25,Paire B.
27580,1.54,0,2.0115243455767633,2018-05-27,Andreozzi G.
26838,1.42,0,1.9970772209763525,2018-02-22,Verdasco F.
25394,2.79,1,1.9897505968809128,2017-07-18,Brown D.
34102,2.8,1,1.9741203665733336,2021-06-11,Djokovic N.
32968,1.41,0,1.9700050812959673,2021-02-05,Auger-Aliassime F.
29596,2.57,1,1.9699049519002436,2019-03-08,Gojowczyk P.
24647,2.94,1,1.969423918962479,2017-04-25,Haase R.
28786,1.39,0,1.9679536814987664,2018-10-16,Monfils G.
27871,2.71,1,1.9671891058981419,2018-07-02,Monfils G.
33474,2.95,1,1.962104829773307,2021-03-28,Isner J.
33450,1.6,0,1.960282139480114,2021-03-26,Fritz T.
33347,1.57,0,1.9528517067432403,2021-03-15,Fucsovics M.
30728,1.33,0,1.9511713588237765,2019-07-25,Fognini F.
