match,PSW,win0,confidence0,date,winner
25863,1.08,0,5.889413476467132,2017-08-30,Menendez-Maceiras A.
25366,1.22,0,3.1248336035013202,2017-07-12,Cilic M.
37971,1.17,0,2.9607870894670483,2023-01-06,Djokovic N.
34343,5.42,1,2.8950795361399653,2021-07-06,Hurkacz H.
33543,1.28,0,2.8483091157674787,2021-04-08,Musetti L.
32292,1.29,0,2.7541794502735137,2020-09-09,Hanfmann Y.
28128,1.24,0,2.6793769434690473,2018-07-26,Bagnis F.
33237,1.3,0,2.603399262428284,2021-03-04,Cerundolo F.
30210,1.27,0,2.534948220729828,2019-05-28,Barrere G.
32317,1.29,0,2.4861579573154446,2020-09-14,Sinner J.
26391,1.38,0,2.4725148519873614,2018-01-03,Kukushkin M.
36518,1.38,0,2.4509577518701553,2022-05-24,Delbonis F.
29139,1.32,0,2.4421372497081757,2019-01-15,Tsonga J.W.
25375,1.25,0,2.360287719964981,2017-07-17,Kudla D.
28105,1.38,0,2.3485870599746703,2018-07-24,Bedene A.
34976,1.33,0,2.333033083081246,2021-09-30,Rublev A.
37628,1.26,0,2.32119179302454,2022-10-06,Tiafoe F.
25382,1.4,0,2.3099726217985155,2017-07-18,Kravchuk K.
25217,1.34,0,2.301967479288578,2017-06-28,Zverev M.
24903,1.3,0,2.2995902425050736,2017-05-22,Chung H.
32725,1.34,0,2.2504548464218774,2020-11-02,Bonzi B.
35285,3.09,1,2.2367253209863387,2021-11-20,Zverev A.
27267,1.34,0,2.23547026515007,2018-04-23,Tsitsipas S.
30537,1.34,0,2.2051854853332045,2019-07-03,Vesely J.
31232,3.69,1,2.188266424834728,2019-09-27,Bublik A.
24471,1.36,0,2.1692795267701146,2017-03-24,Bellucci T.
32594,1.51,0,2.160297118425369,2020-10-16,Shapovalov D.
32338,1.36,0,2.1566097190976143,2020-09-15,Martinez P.
34389,1.26,0,2.155557384341955,2021-07-14,Thompson J.
24721,1.36,0,2.153436762094498,2017-05-02,Troicki V.
33539,1.33,0,2.1375510773062705,2021-04-08,Alcaraz C.
35120,1.5,0,2.122435988634825,2021-10-20,Brooksby J.
30734,1.38,0,2.1196561920642853,2019-07-26,Zverev A.
30436,1.36,0,2.11807796984911,2019-06-26,Fritz T.
33114,1.41,0,2.105155309587717,2021-02-22,Korda S.
30552,1.33,0,2.1034125284850598,2019-07-04,Millman J.
27910,1.47,0,2.090884271860123,2018-07-03,De Minaur A.
34271,1.4,0,2.0820093117654324,2021-06-30,Fognini F.
37355,1.29,0,2.075308913737535,2022-08-29,Wu Y.
31467,1.41,0,2.0675074979662895,2019-10-23,Berankis R.
36623,2.81,1,2.0360748381912708,2022-06-07,Van Rijthoven T.
35004,2.75,1,2.034130501747131,2021-10-07,Daniel T.
34940,1.4,0,2.0320041179656982,2021-09-25,Hurkacz H.
32436,1.53,0,2.0232438067027503,2020-09-28,Sock J.
33912,1.43,0,2.0231607680519423,2021-05-24,Lajovic D.
24838,1.45,0,2.005981765942914,2017-05-13,Nadal R.
27704,1.38,0,2.000520072996616,2018-06-11,Sugita Y.
32914,1.3,0,2.0004192359000443,2021-02-02,Alcaraz C.
29761,1.47,0,1.9941726729869842,2019-04-08,Daniel T.
34165,1.38,0,1.9824920266866684,2021-06-19,Shapovalov D.
32657,2.73,1,1.9768946832418444,2020-10-23,Dimitrov G.
24691,1.38,0,1.9763196158409118,2017-04-28,Bedene A.
25804,1.5,0,1.971231850683689,2017-08-28,Coric B.
25092,1.48,0,1.9633151748776434,2017-06-13,Lopez F.
24602,2.7,1,1.954542319689478,2017-04-18,Muller G.
28501,3.31,1,1.9512587843537332,2018-08-30,Basilashvili N.
36137,1.47,0,1.9429160645604133,2022-04-11,Bublik A.
28047,3.27,1,1.9429137330651287,2018-07-19,Trungelliti M.
36240,2.7,1,1.9424401313066486,2022-04-21,Otte O.
30593,3.05,1,1.9416515506803989,2019-07-15,Ivashka I.
30049,1.47,0,1.9395966345071791,2019-05-10,Thiem D.
37646,1.54,0,1.9383871990442278,2022-10-08,Djokovic N.
28734,1.63,0,1.933482707977295,2018-10-09,Kukushkin M.
24652,2.94,1,1.931040173918009,2017-04-25,Haase R.
31679,1.52,0,1.9178484094142914,2020-01-21,Mmoh M.
37281,1.42,0,1.9107133769989013,2022-08-21,Gasquet R.
34102,2.8,1,1.903610291481018,2021-06-11,Djokovic N.
34346,2.96,1,1.9029762518405915,2021-07-07,Hurkacz H.
30057,1.4,0,1.8998349687457086,2019-05-12,Berrettini M.
25249,1.59,0,1.8955552089214327,2017-07-03,Mayer F.
25961,1.38,0,1.8948822751144567,2017-09-22,Fognini F.
33006,1.56,0,1.893244254589081,2021-02-08,Ruusuvuori E.
33722,2.6,1,1.8887294391791025,2021-04-29,Moutet C.
31338,1.48,0,1.8882344627380372,2019-10-09,Isner J.
28267,1.4,0,1.8861427447199821,2018-08-07,Tiafoe F.
27341,1.51,0,1.8839940840005875,2018-05-01,Dutra Silva R.
28823,1.55,0,1.8811594780286154,2018-10-19,Monfils G.
33432,1.45,0,1.8794992119073868,2021-03-25,Fratangelo B.
32133,2.55,1,1.8766679607331749,2020-08-24,Struff J.L.
35268,1.39,0,1.87455680295825,2021-11-11,Shapovalov D.
35069,1.49,0,1.872365355491638,2021-10-12,Sinner J.
37026,1.51,0,1.8715145739912986,2022-07-25,Misolic F.
25007,1.34,0,1.8710820013284681,2017-05-30,Del Potro J. M.
37526,3.73,1,1.8679473390430212,2022-09-27,Etcheverry T.
36464,2.59,1,1.8641111324727535,2022-05-18,Molcan A.
28782,1.53,0,1.8616955053806306,2018-10-16,Paire B.
37216,2.51,1,1.857480299132211,2022-08-12,Ruud C.
37002,1.51,0,1.8567511796951295,2022-07-22,Thiem D.
37348,1.52,0,1.856496635556221,2022-08-29,Rinderknech A.
30527,2.73,1,1.8556998324394225,2019-07-03,Pella G.
27482,1.42,0,1.8551883892714978,2018-05-14,Bedene A.
27832,1.41,0,1.8481302899122238,2018-06-26,Zverev M.
29458,1.52,0,1.8470521599054337,2019-02-21,Mcdonald M.
33489,1.56,0,1.8447430586814881,2021-03-30,Bautista Agut R.
33518,1.41,0,1.8445367515087132,2021-04-06,Mager G.
38145,1.64,0,1.84186840514342,2023-01-22,Korda S.
25122,2.7,1,1.8350857883691785,2017-06-16,Pouille L.
29781,1.42,0,1.8324936991333955,2019-04-09,Giraldo S.
26224,1.4,0,1.8324705942720176,2017-10-22,Dzumhur D.
36625,1.5,0,1.8267765924334525,2022-06-07,Querrey S.
25834,2.67,1,1.8262478935718534,2017-08-30,Giraldo S.
36977,1.56,0,1.8227937494715054,2022-07-19,Ymer E.
25487,2.55,1,1.8202191549539564,2017-07-26,Vesely J.
33744,4.14,1,1.8196205788850783,2021-05-03,Delbonis F.
28147,1.55,0,1.819454245567322,2018-07-28,Mayer L.
30110,1.57,0,1.817814384251833,2019-05-19,Nadal R.
28790,1.39,0,1.8175334246456625,2018-10-16,Monfils G.
34189,1.5,0,1.8163884705305098,2021-06-22,Bublik A.
33791,1.54,0,1.8151894265413282,2021-05-07,Berrettini M.
35447,1.53,0,1.812352622002363,2022-01-18,Van De Zandschulp B.
29467,1.49,0,1.8109681491851806,2019-02-22,Humbert U.
28139,1.54,0,1.8107956450326104,2018-07-27,Kovalik J.
37177,1.57,0,1.8096982397884132,2022-08-09,Nishioka Y.
29452,2.33,1,1.8089186314344405,2019-02-21,Stakhovsky S.
32357,3.06,1,1.8072514843940735,2020-09-18,Koepfer D.
24917,1.51,0,1.8064589680731298,2017-05-23,Tipsarevic J.
25659,2.75,1,1.804637547582388,2017-08-08,Lorenzi P.
24398,2.88,1,1.8041350479125977,2017-03-13,Carreno Busta P.
30619,1.65,0,1.8008174867630005,2019-07-16,Novak D.
30963,1.43,0,1.8004926983714102,2019-08-18,Medvedev D.
34670,1.61,0,1.7988655424118039,2021-08-17,Bublik A.
30136,1.47,0,1.7962928783893581,2019-05-21,Dellien H.
37070,2.56,1,1.7907427851359048,2022-07-28,Bagnis F.
35435,1.58,0,1.7893031616210937,2022-01-18,Baez S.
26350,3.14,1,1.7821584095060825,2017-12-31,De Minaur A.
32854,2.76,1,1.779925957918167,2021-01-09,Travaglia S.
35599,2.82,1,1.777832701653242,2022-02-05,Tabilo A.
33693,1.53,0,1.777097645657403,2021-04-26,Borges N.
28577,1.5,0,1.7729721428453922,2018-09-21,Wawrinka S.
32986,1.48,0,1.7720430812239645,2021-02-08,Shapovalov D.
32462,2.82,1,1.7718722990155218,2020-09-29,Anderson K.
33893,1.5,0,1.767749270349741,2021-05-21,Shapovalov D.
26626,2.8,1,1.7667336273193357,2018-02-06,Berankis R.
