match,PSW,win0,confidence0,date,winner,,,
50202,1.19,0,4.078607189,8/29/2019,De Minaur A.,-1,-50,
55137,1.17,0,3.683051053,3/25/2022,Norrie C.,-1,-50,
45348,4.46,1,3.608200745,10/24/2017,Garcia-Lopez G.,3.46,173,
57470,1.21,0,3.411239868,2/22/2023,Auger-Aliassime F.,-1,-50,
57017,4.3,1,3.00862176,11/6/2022,Rune H.,3.3,165,
55142,1.24,0,3.003457891,3/26/2022,Tsitsipas S.,-1,-50,
54592,3.7,1,2.980826216,1/20/2022,Daniel T.,2.7,135,
53336,1.26,0,2.812477573,6/26/2021,Medvedev D.,-1,-50,
49053,1.29,0,2.750875469,4/26/2019,Medvedev D.,-1,-50,
54449,1.25,0,2.67795205,1/8/2022,Nadal R.,-1,-50,
53880,1.38,0,2.647832141,8/30/2021,Molcan A.,-1,-50,
57345,3.88,1,2.612511271,2/11/2023,Wu Y.,2.88,144,
50686,3.34,1,2.58081346,1/7/2020,Ilkel C.,2.34,117,
53391,1.34,0,2.537507057,6/30/2021,Murray A.,-1,-50,
54030,1.38,0,2.495664859,9/22/2021,Pouille L.,-1,-50,
56387,1.37,0,2.485878515,8/19/2022,Norrie C.,-1,-50,
49052,1.31,0,2.47181198,4/26/2019,Nishikori K.,-1,-50,
48676,1.36,0,2.402453204,3/1/2019,Zverev A.,-1,-50,
53277,1.38,0,2.324704094,6/19/2021,Shapovalov D.,-1,-50,
43421,1.38,0,2.295962711,3/2/2017,Cuevas P.,-1,-50,
43342,1.47,0,2.28662605,2/24/2017,Sock J.,-1,-50,
43687,2.94,1,2.285511846,4/15/2017,Johnson S.,1.94,97,
46428,1.49,0,2.273030001,4/26/2018,Bautista Agut R.,-1,-50,
47260,1.39,0,2.267977212,7/28/2018,Berrettini M.,-1,-50,
50010,1.35,0,2.26482869,8/8/2019,Monfils G.,-1,-50,
45080,1.41,0,2.258829586,9/22/2017,Zverev M.,-1,-50,
53764,3.51,1,2.251801149,8/12/2021,Tiafoe F.,2.51,125.5,
