match,PSW,win0,confidence0,date,winner,,,correct pred?,
49016,5.31,1,3.407399747,4/23/2019,Jarry N.,4.31,215.5,,
55140,1.24,0,2.856170211,3/26/2022,Tsitsipas S.,-1,-50,,
54622,4.3,1,2.700948982,1/23/2022,Shapovalov D.,3.3,165,,
53336,1.26,0,2.696125957,6/26/2021,Medvedev D.,-1,-50,,
54792,1.25,0,2.689033238,2/12/2022,Ruud C.,-1,-50,,
45125,3.65,1,2.637594094,9/28/2017,Pella G.,2.65,132.5,,
56387,1.37,0,2.62345003,8/19/2022,Norrie C.,-1,-50,,
50684,3.34,1,2.543346729,1/7/2020,Ilkel C.,2.34,117,,
54592,3.7,1,2.542857265,1/20/2022,Daniel T.,2.7,135,,
47190,1.28,0,2.534958529,7/23/2018,Schwartzman D.,-1,-50,,
47707,1.36,0,2.530492997,9/24/2018,Norrie C.,-1,-50,,
50010,1.35,0,2.477709642,8/8/2019,Monfils G.,-1,-50,,
53880,1.38,0,2.454267475,8/30/2021,Molcan A.,-1,-50,,
47387,2.94,1,2.448418071,8/7/2018,Wawrinka S.,1.94,97,,
50949,1.31,0,2.436094944,2/7/2020,Schwartzman D.,-1,-50,,
43424,1.38,0,2.414301567,3/2/2017,Cuevas P.,-1,-50,,
54030,1.38,0,2.413811759,9/22/2021,Pouille L.,-1,-50,,
44282,4.69,1,2.397453027,6/21/2017,Haase R.,3.69,184.5,,
49731,1.43,0,2.364990126,7/16/2019,Londero J.I.,-1,-50,,
47056,1.34,0,2.328037455,7/5/2018,Del Potro J.M.,-1,-50,,
54382,1.39,0,2.320781787,11/11/2021,Shapovalov D.,-1,-50,,
53764,3.51,1,2.310344393,8/12/2021,Tiafoe F.,2.51,125.5,,
49788,1.44,0,2.297012478,7/22/2019,Klizan M.,-1,-50,,
44931,1.29,0,2.292480263,8/28/2017,Donskoy E.,-1,-50,,
57334,1.4,0,2.278472252,2/10/2023,Baez S.,-1,-50,,
50489,3.5,1,2.251512986,10/15/2019,Carballes Baena R.,2.5,125,,
53277,1.38,0,2.23811703,6/19/2021,Shapovalov D.,-1,-50,,
47040,3.32,1,2.229560489,7/3/2018,Klahn B.,2.32,116,,
56291,1.43,0,2.227055861,8/9/2022,Tiafoe F.,-1,-50,,
57336,1.4,0,2.221888371,2/10/2023,Ramos-Vinolas A.,-1,-50,,
47232,1.41,0,2.152046813,7/25/2018,Kovalik J.,-1,-50,,
47249,1.54,0,2.144257568,7/27/2018,Kovalik J.,-1,-50,,
49974,1.38,0,2.143959452,8/5/2019,Raonic M.,-1,-50,,
50452,1.48,0,2.134443913,10/9/2019,Isner J.,-1,-50,,
47756,1.69,0,2.112002265,9/29/2018,Fognini F.,-1,-50,,
43343,1.47,0,2.10768612,2/24/2017,Sock J.,-1,-50,,
55091,2.72,1,2.106756662,3/19/2022,Fritz T.,1.72,86,,
43687,2.94,1,2.102119737,4/15/2017,Johnson S.,1.94,97,,
49732,3.4,1,2.098154167,7/16/2019,Dzumhur D.,2.4,120,,
51467,1.37,0,2.094932593,9/17/2020,Shapovalov D.,-1,-50,,
55390,1.6,0,2.089534001,4/26/2022,Taberner C.,-1,-50,,
55522,2.86,1,2.08873461,5/11/2022,Khachanov K.,1.86,93,,
43957,2.8,1,2.084277427,5/14/2017,Isner J.,1.8,90,,
47747,1.54,0,2.07989801,9/28/2018,Sousa J.,-1,-50,,
47259,3.32,1,2.07588172,7/27/2018,Basilashvili N.,2.32,116,,
49202,1.53,0,2.07365906,5/16/2019,Federer R.,-1,-50,,
44084,2.73,1,2.071591081,5/29/2017,Estrella Burgos V.,1.73,86.5,,
44580,1.42,0,2.069249038,7/25/2017,Delbonis F.,-1,-50,,
49809,1.44,0,2.068434635,7/23/2019,Ruud C.,-1,-50,,
46903,4.3,1,2.064947463,6/20/2018,Sugita Y.,3.3,165,,
55874,1.35,0,2.062736585,6/22/2022,Fritz T.,-1,-50,,
56747,1.26,0,2.061939054,10/6/2022,Tiafoe F.,-1,-50,,
49795,1.49,0,2.060130986,7/23/2019,Gasquet R.,-1,-50,,
47884,1.53,0,2.053738768,10/16/2018,Paire B.,-1,-50,,
49832,1.44,0,2.040429791,7/25/2019,Krajinovic F.,-1,-50,,
54872,2.63,1,2.039416954,2/17/2022,Safiullin R.,1.63,81.5,,
54118,2.75,1,2.023709428,10/7/2021,Daniel T.,1.75,87.5,,
53968,1.5,0,2.021726841,9/2/2021,Schwartzman D.,-1,-50,,
47748,2.6,1,2.020161239,9/28/2018,Fritz T.,1.6,80,,
49806,1.45,0,2.019621422,7/23/2019,Londero J.I.,-1,-50,,
42969,1.34,0,1.997329946,1/11/2017,Troicki V.,-1,-50,,
43433,1.43,0,1.99408716,3/2/2017,Ramos-Vinolas A.,-1,-50,,
47226,3.56,1,1.992253408,7/25/2018,Monteiro T.,2.56,128,,
56655,1.34,0,1.991867191,9/28/2022,Safiullin R.,-1,-50,,
49774,1.56,0,1.986651685,7/20/2019,Isner J.,-1,-50,,
49228,1.39,0,1.986444496,5/20/2019,Gasquet R.,-1,-50,,
47266,2.74,1,1.986229496,7/29/2018,Basilashvili N.,1.74,87,,
54037,2.6,1,1.982905686,9/23/2021,Giron M.,1.6,80,,
49980,2.93,1,1.980107653,8/6/2019,Pella G.,1.93,96.5,,
47741,1.53,0,1.980069565,9/27/2018,Querrey S.,-1,-50,,
49748,2.6,1,1.976082797,7/17/2019,Ramos-Vinolas A.,1.6,80,,
47138,1.51,0,1.971042271,7/17/2018,Bolelli S.,-1,-50,,
46487,1.54,0,1.967492911,5/2/2018,Struff J.L.,-1,-50,,
47058,3.19,1,1.960907441,7/5/2018,Paire B.,2.19,109.5,,
