match,PSW,win0,confidence0,date,winner,,
34644,1.05,0,8.650309888,9/3/2013,Nadal R.,,
34989,1.1,0,5.284306973,10/30/2013,Nadal R.,,
38950,1.18,0,4.099585495,6/6/2015,Djokovic N.,,
55760,1.21,0,3.483528077,6/9/2022,Auger-Aliassime F.,,
40305,1.18,0,3.361007488,1/9/2016,Djokovic N.,,
38769,1.15,0,3.2280454,5/16/2015,Djokovic N.,,
56277,1.19,0,3.149323217,8/6/2022,Rublev A.,,
54622,4.3,1,3.081070618,1/23/2022,Shapovalov D.,,
40490,1.21,0,3.065673885,1/31/2016,Djokovic N.,,
45475,1.22,0,3.063302069,1/1/2018,Thiem D.,,
54451,1.25,0,3.059221052,1/8/2022,Nadal R.,,
49049,1.31,0,2.990061888,4/26/2019,Nishikori K.,,
49553,1.28,0,2.922212572,6/26/2019,Verdasco F.,,
56389,1.37,0,2.764934906,8/19/2022,Norrie C.,,
44121,1.34,0,2.753746665,5/30/2017,Del Potro J. M.,,
35816,4.36,1,2.727709307,4/8/2014,Carballes Baena R.,,
50237,5.12,1,2.721228771,9/2/2019,Wawrinka S.,,
33622,1.3,0,2.674489565,5/20/2013,Bautista R.,,
56745,1.26,0,2.606962981,10/6/2022,Tiafoe F.,,
53882,1.38,0,2.606709554,8/30/2021,Molcan A.,,
34916,1.31,0,2.564040978,10/22/2013,Janowicz J.,,
33814,1.31,0,2.558625336,6/11/2013,Del Potro J.M.,,
49733,3.4,1,2.555293065,7/16/2019,Dzumhur D.,,
49789,1.44,0,2.546859486,7/22/2019,Klizan M.,,
55066,3.98,1,2.521170385,3/14/2022,Paul T.,,
40017,1.32,0,2.508006464,10/17/2015,Djokovic N.,,
40827,3.49,1,2.503768556,2/26/2016,Cervantes I.,,
34821,3.62,1,2.502218361,10/12/2013,Del Potro J.M.,,
37395,3.45,1,2.496475845,10/11/2014,Federer R.,,
32772,1.36,0,2.464809309,2/6/2013,Paire B.,,
34481,1.34,0,2.46035646,8/17/2013,Nadal R.,,
40488,1.36,0,2.418455987,1/28/2016,Djokovic N.,,
38303,1.34,0,2.385647404,3/21/2015,Djokovic N.,,
50480,3.5,1,2.377689704,10/15/2019,Carballes Baena R.,,
36461,1.35,0,2.377096288,6/18/2014,Chardy J.,,
49228,1.39,0,2.374368248,5/20/2019,Gasquet R.,,
48115,1.37,0,2.361385736,1/1/2019,Thompson J.,,
41130,1.24,0,2.354423061,4/15/2016,Monfils G.,,
35918,3.45,1,2.345927332,4/19/2014,Federer R.,,
36465,1.35,0,2.342391711,6/19/2014,Gasquet R.,,
28494,3.42,1,2.339995813,6/3/2011,Federer R.,,
49835,1.44,0,2.339802585,7/25/2019,Krajinovic F.,,
47198,3.5,1,2.332995737,7/23/2018,Molleker R.,,
53501,1.26,0,2.307197616,7/14/2021,Thompson J.,,
37950,1.43,0,2.294881661,2/9/2015,Ramos-Vinolas A.,,
47250,1.54,0,2.290489768,7/27/2018,Kovalik J.,,
46408,1.33,0,2.267125729,4/25/2018,Dimitrov G.,,
35024,1.34,0,2.267119127,11/10/2013,Nadal R.,,
50700,4.3,1,2.24346345,1/10/2020,Moutet C.,,
54775,1.42,0,2.234508894,2/10/2022,Pospisil V.,,
29193,3.61,1,2.227988794,8/21/2011,Murray A.,,
57124,2.58,1,2.227300379,1/11/2023,Kwon S.W.,,
50485,3.45,1,2.225305806,10/15/2019,Karlovic I.,,
33515,1.33,0,2.221415592,5/6/2013,Raonic M.,,
34090,1.33,0,2.217999922,7/9/2013,Ram R.,,
29904,2.62,1,2.199488175,1/6/2012,Tsonga J.W.,,
29558,1.38,0,2.19356911,10/11/2011,Dolgopolov O.,,
34426,3.03,1,2.192006574,8/11/2013,Nadal R.,,
38174,3,1,2.191146165,2/25/2015,Coric B.,,
36151,1.36,0,2.190533474,5/16/2014,Djokovic N.,,
54399,3.09,1,2.189597343,11/20/2021,Zverev A.,,
29816,3.79,1,2.188768364,11/23/2011,Ferrer D.,,
