match,PSW,win0,confidence0,date,winner
42952,1.09,0,5.75852601,1/10/2017,Chardy J.
53999,1.12,0,4.444444994,9/9/2021,Djokovic N.
43943,6,1,4.046662796,5/11/2017,Coric B.
49087,1.18,0,3.594184056,5/1/2019,Zverev A.
55760,1.21,0,3.414876386,6/9/2022,Auger-Aliassime F.
55140,1.24,0,3.055960319,3/26/2022,Tsitsipas S.
51332,1.19,0,2.864274294,9/2/2020,Zverev A.
54451,1.25,0,2.658697332,1/8/2022,Nadal R.
53418,1.22,0,2.65000179,7/1/2021,Federer R.
44931,1.29,0,2.632109984,8/28/2017,Donskoy E.
53882,1.38,0,2.6042262,8/30/2021,Molcan A.
47198,3.5,1,2.579220831,7/23/2018,Molleker R.
53390,1.34,0,2.504520804,6/30/2021,Murray A.
49228,1.39,0,2.485562787,5/20/2019,Gasquet R.
43415,1.4,0,2.46549916,3/1/2017,Sousa J.
47186,1.28,0,2.43630144,7/23/2018,Schwartzman D.
47223,1.41,0,2.435701829,7/25/2018,Kovalik J.
43421,1.38,0,2.42491062,3/2/2017,Cuevas P.
50949,1.31,0,2.396912607,2/7/2020,Schwartzman D.
57670,1.21,0,2.339690323,3/11/2023,Fritz T.
47708,1.36,0,2.339267454,9/24/2018,Norrie C.
50485,3.45,1,2.318798389,10/15/2019,Karlovic I.
50011,1.35,0,2.301525246,8/8/2019,Monfils G.
56599,1.44,0,2.298576446,9/22/2022,Duckworth J.
43686,2.94,1,2.275916601,4/15/2017,Johnson S.
56656,1.34,0,2.272953815,9/28/2022,Safiullin R.
56389,1.37,0,2.270994049,8/19/2022,Norrie C.
54084,1.33,0,2.256392321,9/30/2021,Rublev A.
45689,1.37,0,2.251721277,1/18/2018,Fognini F.
50867,1.56,0,2.214249423,1/26/2020,Raonic M.
54399,3.09,1,2.191112894,11/20/2021,Zverev A.
43419,1.43,0,2.189716262,3/2/2017,Ramos-Vinolas A.
55277,1.36,0,2.189553276,4/13/2022,Sinner J.
47250,1.54,0,2.187728542,7/27/2018,Kovalik J.
46098,1.34,0,2.186855757,3/10/2018,Berdych T.
49733,3.4,1,2.175710559,7/16/2019,Dzumhur D.
54665,1.44,0,2.155161885,2/1/2022,Munar J.
49997,1.4,0,2.147747771,8/7/2019,Cilic M.
47251,3.32,1,2.143272479,7/27/2018,Basilashvili N.
50480,3.5,1,2.139348708,10/15/2019,Carballes Baena R.
46862,1.38,0,2.130378282,6/16/2018,Federer R.
55552,1.52,0,2.12750401,5/16/2022,Ivashka I.
53279,1.38,0,2.12647947,6/19/2021,Shapovalov D.
49789,1.44,0,2.112469107,7/22/2019,Klizan M.
57022,1.6,0,2.111309538,11/15/2022,Auger-Aliassime F.
47026,2.95,1,2.10687997,7/3/2018,Ebden M.
47746,1.54,0,2.098401631,9/28/2018,Sousa J.
57338,1.4,0,2.09259855,2/10/2023,Ramos-Vinolas A.
50684,3.34,1,2.076162803,1/7/2020,Ilkel C.
51773,2.73,1,2.068473923,10/23/2020,Dimitrov G.
48207,1.56,0,2.066881752,1/10/2019,Kohlschreiber P.
44639,3.65,1,2.066191188,7/28/2017,Mayer F.
49994,1.42,0,2.051407686,8/7/2019,Bautista Agut R.
47747,2.6,1,2.050457173,9/28/2018,Fritz T.
57025,2.51,1,2.049610976,11/16/2022,Tsitsipas S.
55091,2.72,1,2.041181159,3/19/2022,Fritz T.
54105,1.51,0,2.040165803,10/2/2021,Ruud C.
55224,1.54,0,2.030688482,4/7/2022,Carballes Baena R.
47214,1.38,0,2.029918914,7/24/2018,Bedene A.
54021,1.38,0,2.029441815,9/22/2021,Pouille L.
44494,1.61,0,2.026344397,7/17/2017,Laaksonen H.
47820,1.53,0,2.023951099,10/7/2018,Chardy J.
45268,2.88,1,2.016964552,10/17/2017,Ymer E.
56367,1.39,0,2.016782803,8/17/2022,Sinner J.
53523,1.47,0,2.015287218,7/15/2021,Anderson K.
49699,1.55,0,2.010554994,7/14/2019,Djokovic N.
51137,2.51,1,2.007538565,2/24/2020,Dellien H.
50004,1.46,0,2.007386899,8/8/2019,Zverev A.
49757,1.58,0,2.001787354,7/18/2019,Gasquet R.
47201,1.53,0,1.994293454,7/24/2018,Djere L.
47742,1.52,0,1.994155084,9/27/2018,Fognini F.
48777,1.47,0,1.993687132,3/16/2019,Federer R.
44626,1.5,0,1.992388642,7/27/2017,Harrison R.
53265,1.45,0,1.980748544,6/17/2021,Tiafoe F.
45115,2.66,1,1.968608754,9/27/2017,Istomin D.
45118,2.52,1,1.96731195,9/27/2017,Gojowczyk P.
56127,1.53,0,1.961519653,7/23/2022,Berrettini M.
56191,2.64,1,1.96150226,7/29/2022,Zeppieri G.
48504,2.45,1,1.961169375,2/17/2019,Monfils G.
43952,1.45,0,1.957562131,5/13/2017,Nadal R.
53946,2.75,1,1.955792129,9/1/2021,Popyrin A.
56512,2.66,1,1.953390464,8/31/2022,Moutet C.
47892,1.47,0,1.949649701,10/16/2018,Millman J.
43533,2.65,1,1.949398665,3/15/2017,Sock J.
57055,2.72,1,1.947803369,1/3/2023,Bautista Agut R.
45104,1.54,0,1.944549654,9/26/2017,Lajovic D.
57602,2.89,1,1.933365522,3/3/2023,Medvedev D.
53365,1.48,0,1.931981009,6/29/2021,Hurkacz H.
56511,2.59,1,1.929554798,8/31/2022,Cachin P.
54904,2.64,1,1.92555232,2/19/2022,Millman J.
48071,1.49,0,1.920811874,11/14/2018,Cilic M.
55141,2.96,1,1.919430708,3/26/2022,Harris L.
49808,1.49,0,1.917226754,7/23/2019,Gasquet R.
54380,1.39,0,1.91703272,11/11/2021,Shapovalov D.
47899,1.53,0,1.915986016,10/16/2018,Paire B.
45585,1.58,0,1.913628006,1/10/2018,Khachanov K.
55460,1.49,0,1.912141202,5/4/2022,Sinner J.
53264,1.43,0,1.910658132,6/17/2021,Shapovalov D.
47754,1.69,0,1.910210483,9/29/2018,Fognini F.
47138,1.54,0,1.909726205,7/17/2018,Delbonis F.
52757,1.54,0,1.907564675,4/20/2021,Shapovalov D.
44741,1.51,0,1.907042542,8/4/2017,Sousa J.
47140,1.51,0,1.898318959,7/17/2018,Bolelli S.
54207,1.56,0,1.898011839,10/18/2021,Norrie C.
45237,1.38,0,1.896046636,10/11/2017,Querrey S.
47741,1.53,0,1.895132774,9/27/2018,Querrey S.
