match,PSW,win0,confidence0,date,winner
50210,1.19,0,3.611222767,8/29/2019,De Minaur A.
56279,1.19,0,3.278831134,8/6/2022,Rublev A.
49553,1.28,0,3.242913574,6/26/2019,Verdasco F.
55756,1.21,0,3.230642791,6/9/2022,Auger-Aliassime F.
53259,1.25,0,3.183397223,6/16/2021,Rublev A.
51507,1.22,0,3.167344795,9/24/2020,Tsitsipas S.
49049,1.31,0,2.986386783,4/26/2019,Nishikori K.
55900,1.26,0,2.976488156,6/27/2022,Alcaraz C.
53246,4.59,1,2.783566065,6/15/2021,Struff J.L.
54592,3.7,1,2.776904074,1/20/2022,Daniel T.
51091,1.25,0,2.750840052,2/19/2020,Tsitsipas S.
57676,1.26,0,2.71315598,3/12/2023,Rublev A.
51763,1.26,0,2.702426799,10/22/2020,Schwartzman D.
50684,3.34,1,2.652785226,1/7/2020,Ilkel C.
50948,1.31,0,2.581634276,2/7/2020,Schwartzman D.
47919,4.46,1,2.544248772,10/17/2018,Pospisil V.
51461,1.37,0,2.524818744,9/17/2020,Shapovalov D.
50237,5.12,1,2.521937683,9/2/2019,Wawrinka S.
54450,1.25,0,2.505686184,1/8/2022,Nadal R.
54398,3.09,1,2.462370666,11/20/2021,Zverev A.
47708,1.36,0,2.453884352,9/24/2018,Norrie C.
43323,1.25,0,2.439487514,2/22/2017,Del Potro J.M.
49682,3.78,1,2.386613919,7/6/2019,Sandgren T.
54775,1.42,0,2.374432751,2/10/2022,Pospisil V.
45124,3.65,1,2.364406751,9/28/2017,Pella G.
52080,1.32,0,2.303504655,2/5/2021,Wawrinka S.
56762,1.54,0,2.267071193,10/8/2022,Djokovic N.
47407,1.43,0,2.259245016,8/9/2018,Cilic M.
57089,1.37,0,2.248527469,1/7/2023,Korda S.
46860,1.51,0,2.247830215,6/16/2018,Gasquet R.
49081,1.36,0,2.239966688,4/30/2019,Cuevas P.
47645,1.34,0,2.231549662,9/4/2018,Del Potro J.M.
54937,3.06,1,2.21234925,2/22/2022,Pucinelli de Almeida M.
46915,1.38,0,2.211989964,6/22/2018,Cilic M.
47225,1.41,0,2.208881789,7/25/2018,Kovalik J.
47218,2.63,1,2.204660648,7/24/2018,Monteiro T.
49832,1.44,0,2.203568383,7/25/2019,Krajinovic F.
51061,1.52,0,2.201401506,2/18/2020,Pospisil V.
49808,1.44,0,2.201087397,7/23/2019,Ruud C.
47140,1.51,0,2.199770479,7/17/2018,Bolelli S.
50489,3.5,1,2.197415131,10/15/2019,Carballes Baena R.
52839,2.6,1,2.172740967,4/29/2021,Moutet C.
52232,1.53,0,2.167820828,2/22/2021,Popyrin A.
43385,1.33,0,2.146012567,2/28/2017,Fognini F.
48701,2.57,1,2.143190796,3/8/2019,Gojowczyk P.
53358,1.32,0,2.139164433,6/29/2021,Polmans M.
50847,1.56,0,2.136703048,1/23/2020,Verdasco F.
51401,1.29,0,2.132703579,9/9/2020,Hanfmann Y.
46628,1.53,0,2.128350319,5/18/2018,Cilic M.
46081,1.3,0,2.125085261,3/9/2018,Baghdatis M.
47132,1.54,0,2.11528026,7/17/2018,Delbonis F.
52695,1.41,0,2.109585077,4/13/2021,Sinner J.
43944,1.54,0,2.107131238,5/11/2017,Thiem D.
52092,1.54,0,2.102433464,2/5/2021,Auger-Aliassime F.
47249,3.32,1,2.090991401,7/27/2018,Basilashvili N.
44494,1.61,0,2.08412714,7/17/2017,Laaksonen H.
49786,1.44,0,2.082891558,7/22/2019,Klizan M.
57331,1.4,0,2.077269478,2/10/2023,Ramos-Vinolas A.
42982,1.43,0,2.075734369,1/14/2017,Sock J.
57326,3.04,1,2.066289184,2/9/2023,Wu Y.
47747,2.6,1,2.064950117,9/28/2018,Fritz T.
52681,1.41,0,2.063824326,4/13/2021,Carreno Busta P.
53424,1.41,0,2.052172751,7/1/2021,Hurkacz H.
46805,1.41,0,2.042166294,6/4/2018,Del Potro J.M.
44804,3.54,1,2.042139614,8/13/2017,Zverev A.
57601,2.89,1,2.027729761,3/3/2023,Medvedev D.
45662,1.49,0,2.026619288,1/16/2018,Wawrinka S.
53279,1.38,0,2.024155935,6/19/2021,Shapovalov D.
47756,1.69,0,2.023452301,9/29/2018,Fognini F.
52031,1.56,0,2.020392271,2/2/2021,Berankis R.
46862,1.38,0,2.013268819,6/16/2018,Federer R.
49735,1.43,0,2.011986066,7/16/2019,Londero J.I.
52649,1.41,0,1.998168809,4/7/2021,Carreno Busta P.
47741,2.34,1,1.994035138,9/27/2018,Ebden M.
49131,3.01,1,1.9912459,5/7/2019,Pouille L.
56124,1.53,0,1.988869321,7/23/2022,Berrettini M.
46261,3.2,1,1.987519836,4/10/2018,Arnaboldi A.
46122,1.45,0,1.98466013,3/11/2018,Coric B.
50345,2.67,1,1.979275962,9/27/2019,Harris L.
