match,PSW,win0,confidence0,date,winner,return,,,
57475,1.21,0,3.98524587,2/22/2023,Auger-Aliassime F.,,,,
30283,1.18,0,3.87955144,2/21/2012,Verdasco F.,,,,
43934,1.19,0,3.634644029,5/10/2017,Djokovic N.,,,,
44194,1.19,0,3.448224265,6/12/2017,Johnson S.,,,,
38950,1.18,0,3.334914012,6/6/2015,Djokovic N.,,,,
45465,1.22,0,3.328137825,1/1/2018,Thiem D.,,,,
50206,1.19,0,3.150336267,8/29/2019,De Minaur A.,,,,
57732,1.25,0,3.111319159,3/18/2023,Medvedev D.,-1,-20,,
49548,1.28,0,3.075410264,6/26/2019,Verdasco F.,,,,
56742,1.26,0,3.01501026,10/6/2022,Tiafoe F.,,,,
39821,1.29,0,2.896303163,9/23/2015,Kohlschreiber P.,,,,
54622,4.3,1,2.557806159,1/23/2022,Shapovalov D.,,,,
56632,3.73,1,2.549808189,9/27/2022,Etcheverry T.,,,,
38774,1.33,0,2.547472537,5/17/2015,Djokovic N.,,,,
53502,1.26,0,2.545614309,7/14/2021,Thompson J.,,,,
52353,1.34,0,2.507853888,3/5/2021,Schwartzman D.,,,,
47174,1.41,0,2.496819248,7/20/2018,Johnson S.,,,,
47705,1.36,0,2.488191748,9/24/2018,Norrie C.,,,,
41396,1.18,0,2.480475669,5/14/2016,Djokovic N.,,,,
47161,3.27,1,2.432777926,7/19/2018,Trungelliti M.,,,,
55500,3.45,1,2.411084752,5/9/2022,Wawrinka S.,,,,
55140,1.24,0,2.402920863,3/26/2022,Tsitsipas S.,,,,
38520,3.77,1,2.396971258,4/20/2015,Jaziri M.,,,,
50684,3.34,1,2.395556692,1/7/2020,Ilkel C.,,,,
40276,1.4,0,2.389719391,1/6/2016,Garcia-Lopez G.,,,,
46900,4.3,1,2.380647831,6/20/2018,Sugita Y.,,,,
36466,1.35,0,2.377932277,6/19/2014,Gasquet R.,,,,
48117,1.37,0,2.352280564,1/1/2019,Thompson J.,,,,
47232,1.41,0,2.348686548,7/25/2018,Kovalik J.,,,,
52235,3.58,1,2.334188656,2/22/2021,Jarry N.,,,,
41557,1.41,0,2.316126337,5/28/2016,Bautista Agut R.,,,,
31978,3.02,1,2.275663773,9/10/2012,Murray A.,,,,
50698,4.3,1,2.266117779,1/10/2020,Moutet C.,,,,
38506,1.4,0,2.262704782,4/18/2015,Djokovic N.,,,,
38993,1.32,0,2.261305776,6/12/2015,Muller G.,,,,
47230,3.56,1,2.252167753,7/25/2018,Monteiro T.,,,,
54995,1.36,0,2.244758252,2/26/2022,Rublev A.,,,,
37581,1.39,0,2.230119556,10/31/2014,Djokovic N.,,,,
41419,3.33,1,2.224641701,5/17/2016,Mannarino A.,,,,
43952,1.45,0,2.218698853,5/13/2017,Nadal R.,,,,
46118,1.45,0,2.216601407,3/11/2018,Coric B.,,,,
49229,1.39,0,2.209287733,5/20/2019,Gasquet R.,,,,
47149,3.31,1,2.207385679,7/18/2018,Laaksonen H.,,,,
56058,1.3,0,2.198532779,7/14/2022,Rublev A.,,,,
54765,1.42,0,2.195119442,2/10/2022,Pospisil V.,,,,
