match,PSW,win0,confidence0,date,winner,,,,,,,,,
56743,1.26,0,2.958280656,10/6/2022,Tiafoe F.,,,,,,,,,
49051,1.29,0,2.534698032,4/26/2019,Medvedev D.,,,,,,,,,
35481,1.42,0,2.150007608,2/18/2014,Karlovic I.,,,,,,,,,
41131,1.41,0,2.07897438,4/16/2016,Nadal R.,,,,,,,,,
46860,1.38,0,2.074877954,6/16/2018,Federer R.,,,,,,,,,
56055,1.3,0,2.068196592,7/14/2022,Rublev A.,,,,,,,,,
43952,1.45,0,2.0521334,5/13/2017,Nadal R.,,,,,,,,,
43763,2.94,1,2.03566162,4/25/2017,Haase R.,,,,,,,,,
39569,2.8,1,2.018111444,8/17/2015,Paire B.,,,,,,,,,
32290,3.26,1,2.017530693,10/16/2012,Bogomolov A.,,,,,,,,,
39144,3.4,1,2.001253054,6/29/2015,Monaco J.,,,,,,,,,
55268,1.41,0,1.982651733,4/12/2022,Sonego L.,,,,,,,,,
49342,1.48,0,1.964213063,5/29/2019,Paire B.,,,,,,,,,
51511,1.39,0,1.958298244,9/25/2020,Tsitsipas S.,,,,,,,,,
31889,1.3,0,1.943509786,8/28/2012,Ramirez-Hidalgo R.,,,,,,,,,
43420,1.38,0,1.937367933,3/2/2017,Cuevas P.,,,,,,,,,
54399,3.09,1,1.927695321,11/20/2021,Zverev A.,,,,,,,,,
34968,2.66,1,1.925490459,10/28/2013,Verdasco F.,,,,,,,,,
49114,1.39,0,1.920220771,5/5/2019,Tsitsipas S.,,,,,,,,,
47354,2.58,1,1.91034018,8/3/2018,Istomin D.,,,,,,,,,
51053,3.58,1,1.904315293,2/17/2020,Harrison R.,,,,,,,,,
43716,2.7,1,1.901657967,4/18/2017,Muller G.,,,,,,,,,
48206,1.56,0,1.898570511,1/10/2019,Kohlschreiber P.,,,,,,,,,
49473,1.4,0,1.892955521,6/18/2019,Tsonga J.W.,,,,,,,,,
34426,3.03,1,1.89201023,8/11/2013,Nadal R.,,,,,,,,,
38009,2.71,1,1.883148999,2/13/2015,Souza J.,,,,,,,,,
42192,2.86,1,1.88282979,8/15/2016,Cuevas P.,,,,,,,,,
34448,2.8,1,1.882055968,8/13/2013,Davydenko N.,,,,,,,,,
33832,2.73,1,1.877437647,6/11/2013,Monfils G.,,,,,,,,,
47461,2.55,1,1.875122969,8/16/2018,Kyrgios N.,,,,,,,,,
41707,1.43,0,1.86747594,6/20/2016,Youzhny M.,,,,,,,,,
33237,2.86,1,1.849999111,3/23/2013,Bellucci T.,,,,,,,,,
41091,1.49,0,1.849281399,4/11/2016,Bautista Agut R.,,,,,,,,,
38982,1.56,0,1.848762176,6/10/2015,Muller G.,,,,,,,,,
31419,1.54,0,1.832232251,7/4/2012,Murray A.,,,,,,,,,
38820,1.53,0,1.827376526,5/22/2015,Bellucci T.,,,,,,,,,
36936,2.74,1,1.821169921,8/5/2014,Lopez F.,,,,,,,,,
37268,1.56,0,1.812765417,9/26/2014,Benneteau J.,,,,,,,,,
54271,1.56,0,1.810906727,10/26/2021,Paul T.,,,,,,,,,
51716,1.51,0,1.805779922,10/16/2020,Shapovalov D.,,,,,,,,,
47607,1.53,0,1.800715604,8/30/2018,Struff J.L.,,,,,,,,,
