match,PSW,win0,confidence0,date,winner,panel agree?,vote_percent,mean conf,correct result?,,ROI
56742,1.26,0,2.738055714,10/6/2022,Tiafoe F.,,,,,,
49048,1.29,0,2.568388427,4/26/2019,Medvedev D.,,,,,,
42679,3.4,1,2.178869861,10/19/2016,Bublik A.,,,,,,
35118,1.38,0,2.146886736,1/7/2014,Tomic B.,,,,,,
41131,1.41,0,2.133309937,4/16/2016,Nadal R.,,,,,,
51509,1.39,0,2.117773819,9/25/2020,Tsitsipas S.,,,,,,
47149,3.31,1,2.082423969,7/18/2018,Laaksonen H.,,,,,,
43717,2.7,1,2.045655236,4/18/2017,Muller G.,,,,,,
43763,2.94,1,2.013852488,4/25/2017,Haase R.,,,,,,
38985,1.45,0,1.990395439,6/11/2015,Tomic B.,,,,,,
53881,1.38,0,1.988137952,8/30/2021,Molcan A.,,,,,,
37062,1.42,0,1.951482937,8/20/2014,Goffin D.,,,,,,
39380,3.5,1,1.92131348,7/28/2015,Ilhan M.,,,,,,
35517,2.65,1,1.902301183,2/21/2014,Dolgopolov O.,,,,,,
43419,1.38,0,1.900984464,3/2/2017,Cuevas P.,,,,,,
47251,1.54,0,1.896712487,7/27/2018,Kovalik J.,,,,,,
54898,1.48,0,1.890715857,2/19/2022,Bautista Agut R.,,,,,,
51973,1.48,0,1.877286342,1/10/2021,Isner J.,,,,,,
32836,1.48,0,1.870754394,2/12/2013,Hewitt L.,,,,,,
40648,1.5,0,1.865617543,2/13/2016,Monfils G.,,,,,,
51706,1.51,0,1.855428809,10/16/2020,Shapovalov D.,,,,,,
52837,2.6,1,1.852573498,4/29/2021,Moutet C.,,,,,,
54880,1.39,0,1.85112001,2/17/2022,Bautista Agut R.,,,,,,
48568,1.52,0,1.850238976,2/21/2019,Mcdonald M.,,,,,,
51767,2.73,1,1.84900168,10/23/2020,Dimitrov G.,,,,,,
46539,1.42,0,1.848669634,5/8/2018,Ramos-Vinolas A.,,,,,,
49302,1.53,0,1.844396487,5/27/2019,Struff J.L.,,,,,,
42189,1.52,0,1.843975612,8/15/2016,Coric B.,,,,,,
44512,2.79,1,1.842976651,7/18/2017,Brown D.,,,,,,
50239,2.72,1,1.842400186,9/2/2019,Berrettini M.,,,,,,
46104,1.56,0,1.842242689,3/10/2018,Sandgren T.,,,,,,
31769,1.53,0,1.84091439,8/14/2012,Haas T.,,,,,,
34716,3.05,1,1.835529282,9/23/2013,Sijsling I.,,,,,,
33568,2.71,1,1.833731804,5/13/2013,Kohlschreiber P.,,,,,,
30497,2.83,1,1.82164645,3/11/2012,Giraldo S.,,,,,,
54399,3.09,1,1.819808007,11/20/2021,Zverev A.,,,,,,
41707,1.43,0,1.818279576,6/20/2016,Youzhny M.,,,,,,
46454,1.51,0,1.817360969,5/1/2018,Dutra Silva R.,,,,,,
38506,1.4,0,1.811687832,4/18/2015,Djokovic N.,,,,,,
40165,2.93,1,1.810048317,11/2/2015,Paire B.,,,,,,
30501,1.52,0,1.807647658,3/12/2012,Almagro N.,,,,,,
56181,2.56,1,1.80681427,7/28/2022,Bagnis F.,,,,,,
34775,1.56,0,1.806297,10/7/2013,Haas T.,,,,,,
49223,1.57,0,1.804683799,5/19/2019,Nadal R.,,,,,,
54105,1.51,0,1.796538445,10/2/2021,Ruud C.,,,,,,
36935,2.74,1,1.79501914,8/5/2014,Lopez F.,,,,,,
44084,2.73,1,1.793705141,5/29/2017,Estrella Burgos V.,,,,,,
57124,2.58,1,1.79307021,1/11/2023,Kwon S.W.,,,,,,
43686,2.94,1,1.786430067,4/15/2017,Johnson S.,,,,,,
43383,2.64,1,1.786424457,2/28/2017,Bagnis F.,,,,,,
47214,1.38,0,1.78374089,7/24/2018,Bedene A.,,,,,,
38685,1.49,0,1.782413622,5/5/2015,Mayer L.,,,,,,
40741,2.83,1,1.779660697,2/21/2016,Querrey S.,,,,,,
43854,1.53,0,1.773985668,5/2/2017,Daniel T.,,,,,,
34101,2.67,1,1.773376901,7/10/2013,Ramos A.,,,,,,
42192,2.86,1,1.769878283,8/15/2016,Cuevas P.,,,,,,
49955,1.62,0,1.769605703,8/2/2019,Fritz T.,,,,,,
46117,1.45,0,1.767107687,3/11/2018,Coric B.,,,,,,
33443,1.56,0,1.765247319,4/26/2013,Raonic M.,,,,,,
38311,1.52,0,1.763060061,3/25/2015,Haase R.,,,,,,
56512,2.66,1,1.755747084,8/31/2022,Moutet C.,,,,,,
47750,1.54,0,1.755718596,9/28/2018,Sousa J.,,,,,,
32297,2.75,1,1.751917832,10/17/2012,Rosol L.,,,,,,
46477,2.3,1,1.748072389,5/1/2018,Jarry N.,,,,,,
42663,2.67,1,1.747201387,10/18/2016,Kovalik J.,,,,,,
42539,1.47,0,1.74588602,10/4/2016,Baghdatis M.,,,,,,
35904,1.47,0,1.745738982,4/16/2014,Fognini F.,,,,,,
47926,1.56,0,1.743670546,10/18/2018,Schwartzman D.,,,,,,
32623,1.53,0,1.742745061,1/14/2013,Lacko L.,,,,,,
43953,1.45,0,1.742104141,5/13/2017,Nadal R.,,,,,,
55158,1.59,0,1.741360068,3/27/2022,Sinner J.,,,,,,
53568,2.57,1,1.73701317,7/20/2021,Donskoy E.,,,,,,
31609,2.65,1,1.735940178,7/21/2012,Haas T.,,,,,,
55578,1.61,0,1.730743649,5/18/2022,Kokkinakis T.,,,,,,
33091,2.82,1,1.730338833,3/7/2013,Brands D.,,,,,,
49761,2.14,1,1.727726843,7/19/2019,Balazs A.,,,,,,
39287,1.57,0,1.72213362,7/21/2015,Coric B.,,,,,,
41632,2.52,1,1.720457143,6/12/2016,Thiem D.,,,,,,
37771,2.4,1,1.720091379,1/19/2015,Duckworth J.,,,,,,
42055,2.85,1,1.719742341,7/22/2016,Johnson S.,,,,,,
54183,1.49,0,1.71874989,10/12/2021,Sinner J.,,,,,,
57042,1.69,0,1.718707045,1/2/2023,Draper J.,,,,,,
49759,1.58,0,1.717040605,7/18/2019,Gasquet R.,,,,,,
47923,1.53,0,1.717004805,10/18/2018,Monfils G.,,,,,,
38675,1.56,0,1.716939871,5/5/2015,Kohlschreiber P.,,,,,,
49738,1.69,0,1.716493463,7/17/2019,Jarry N.,,,,,,
50633,1.59,0,1.716346295,10/30/2019,Wawrinka S.,,,,,,
47686,1.67,0,1.714188385,9/20/2018,Basilashvili N.,,,,,,
38462,1.48,0,1.713595088,4/13/2015,Paire B.,,,,,,
30976,2.84,1,1.713404855,5/15/2012,Granollers M.,,,,,,
51102,2.11,1,1.711094902,2/20/2020,Humbert U.,,,,,,
54018,1.51,0,1.708937162,9/21/2021,Rune H.,,,,,,
50543,1.63,0,1.70687216,10/19/2019,Rublev A.,,,,,,
47354,2.58,1,1.704934314,8/3/2018,Istomin D.,,,,,,
54856,2.34,1,1.703700669,2/16/2022,Davidovich Fokina A.,,,,,,
52995,2.83,1,1.703684268,5/20/2021,Nishioka Y.,,,,,,
37524,1.61,0,1.702847623,10/23/2014,Dimitrov G.,,,,,,
31418,1.54,0,1.701757336,7/4/2012,Murray A.,,,,,,
48707,2.58,1,1.698985863,3/8/2019,Gunneswaran P.,,,,,,
44736,1.51,0,1.698915908,8/4/2017,Sousa J.,,,,,,
53540,1.51,0,1.696991995,7/17/2021,Carreno Busta P.,,,,,,
44140,2.61,1,1.694720666,5/31/2017,Johnson S.,,,,,,
32168,2.62,1,1.693631076,10/4/2012,Baghdatis M.,,,,,,
40659,1.53,0,1.693356175,2/15/2016,Paire B.,,,,,,
55571,2.59,1,1.691753344,5/18/2022,Molcan A.,,,,,,
57639,2.49,1,1.69159687,3/10/2023,Humbert U.,1.49,,,,,
44764,2.52,1,1.687463973,8/8/2017,Carreno Busta P.,,,,,,
38437,1.59,0,1.6870692,4/9/2015,Vesely J.,,,,,,
39645,1.61,0,1.686512908,8/25/2015,Coric B.,,,,,,
34093,1.43,0,1.686327779,7/9/2013,Gulbis E.,,,,,,
41347,2.92,1,1.68625079,5/8/2016,Anderson K.,,,,,,
51256,1.61,0,1.686125044,8/24/2020,Raonic M.,,,,,,
49163,1.47,0,1.686062292,5/10/2019,Thiem D.,,,,,,
40605,1.46,0,1.685452281,2/10/2016,Cilic M.,,,,,,
35446,1.72,0,1.684330115,2/15/2014,Fognini F.,,,,,,
38754,1.51,0,1.683946196,5/13/2015,Isner J.,,,,,,
47887,1.53,0,1.682495286,10/16/2018,Paire B.,,,,,,
55753,1.61,0,1.681312668,6/9/2022,Ivashka I.,,,,,,
39439,2.55,1,1.678998593,8/3/2015,Duckworth J.,,,,,,
54690,1.62,0,1.67588145,2/3/2022,Sonego L.,,,,,,
34615,1.55,0,1.675375711,8/30/2013,Benneteau J.,,,,,,
48054,1.56,0,1.674598592,11/1/2018,Khachanov K.,,,,,,
55032,1.55,0,1.674576811,3/12/2022,Monfils G.,,,,,,
30957,1.58,0,1.674341144,5/14/2012,Isner J.,,,,,,
48362,1.52,0,1.673832603,2/5/2019,Carballes Baena R.,,,,,,
35850,2.6,1,1.673219971,4/10/2014,Garcia-Lopez G.,,,,,,
40800,1.81,0,1.672344793,2/24/2016,Marchenko I.,,,,,,
39816,1.63,0,1.670126382,9/23/2015,Herbert P.H,,,,,,
52271,1.52,0,1.669009373,2/24/2021,Delbonis F.,,,,,,
33927,2.4,1,1.668212414,6/21/2013,Mahut N.,,,,,,
46588,2.59,1,1.66773583,5/14/2018,Ramos-Vinolas A.,,,,,,
45915,1.52,0,1.667127257,2/20/2018,Cuevas P.,,,,,,
55115,1.54,0,1.666741439,3/24/2022,Rinderknech A.,,,,,,
34298,2.65,1,1.665163999,7/28/2013,Robredo T.,,,,,,
48869,1.61,0,1.66242723,3/28/2019,Shapovalov D.,,,,,,
50344,2.67,1,1.661094008,9/27/2019,Harris L.,,,,,,
55009,1.62,0,1.658891882,3/10/2022,Krajinovic F.,,,,,,
46995,1.53,0,1.658024843,7/2/2018,Bedene A.,,,,,,
38820,1.53,0,1.657144603,5/22/2015,Bellucci T.,,,,,,
52993,2.46,1,1.657129505,5/19/2021,Bedene A.,,,,,,
47377,1.49,0,1.657122606,8/6/2018,Herbert P.H.,,,,,,
35020,1.56,0,1.655025524,11/8/2013,Wawrinka S.,,,,,,
42579,2.66,1,1.653290937,10/8/2016,Goffin D.,,,,,,
53290,1.6,0,1.652965075,6/21/2021,Travaglia S.,,,,,,
47752,2.6,1,1.652354553,9/28/2018,Fritz T.,,,,,,
46921,1.76,0,1.648622184,6/23/2018,Cilic M.,,,,,,
33803,1.53,0,1.647776143,6/10/2013,Evans D.,,,,,,
55018,1.52,0,1.647728152,3/11/2022,Martinez P.,,,,,,
32598,1.57,0,1.647667921,1/10/2013,Anderson K.,,,,,,
44692,2.44,1,1.647585028,8/2/2017,Tursunov D.,,,,,,
53487,1.48,0,1.646954774,7/13/2021,Sandgren T.,,,,,,
41094,1.45,0,1.646345213,4/12/2016,Bautista Agut R.,,,,,,
52414,1.56,0,1.645868157,3/10/2021,Rune H.,,,,,,
47745,2.65,1,1.645760387,9/28/2018,Verdasco F.,,,,,,
42093,2.5,1,1.645265743,7/26/2016,Young D.,,,,,,
53002,2.58,1,1.644871801,5/20/2021,Cuevas P.,,,,,,
34426,3.03,1,1.644571655,8/11/2013,Nadal R.,,,,,,
30983,2.43,1,1.642475521,5/16/2012,Seppi A.,,,,,,
49718,1.57,0,1.641878096,7/16/2019,Jarry N.,,,,,,
33253,1.57,0,1.641647689,3/25/2013,Cilic M.,,,,,,
34787,2.44,1,1.640773688,10/8/2013,Seppi A.,,,,,,
35257,1.59,0,1.6405826,1/17/2014,Mayer F.,,,,,,
38025,1.53,0,1.640276403,2/14/2015,Anderson K.,,,,,,
35103,2.45,1,1.638412536,1/4/2014,Hewitt L.,,,,,,
41446,1.62,0,1.638114157,5/20/2016,Zverev A.,,,,,,
49169,2.71,1,1.637440101,5/12/2019,Basilashvili N.,,,,,,
35550,2.55,1,1.636895986,2/25/2014,Rosol L.,,,,,,
41327,1.58,0,1.636757138,5/4/2016,Bautista Agut R.,,,,,,
51520,1.71,0,1.636409714,9/27/2020,Cecchinato M.,,,,,,
34401,1.69,0,1.6347572,8/7/2013,Raonic M.,,,,,,
32386,2.72,1,1.633508797,10/24/2012,Gasquet R.,,,,,,
56787,2.3,1,1.633418136,10/12/2022,Wolf J.J.,,,,,,
38233,1.61,0,1.632740229,3/13/2015,Baghdatis M.,,,,,,
55289,2.16,1,1.629243119,4/14/2022,Davidovich Fokina A.,,,,,,
33409,1.48,0,1.627862446,4/23/2013,Rosol L.,,,,,,
56016,1.63,0,1.627455685,7/8/2022,Kyrgios N.,,,,,,
39014,2.55,1,1.627426225,6/15/2015,Coric B.,,,,,,
43846,1.68,0,1.626758733,5/2/2017,Khachanov K.,,,,,,
41884,2.96,1,1.625786001,7/12/2016,Olivo R.,,,,,,
52780,1.77,0,1.625356753,4/22/2021,Sinner J.,,,,,,
34644,1.59,0,1.624806423,9/3/2013,Youzhny M.,,,,,,
56615,1.67,0,1.623844277,9/24/2022,Bublik A.,,,,,,
40098,1.76,0,1.623387715,10/24/2015,Bautista R.,,,,,,
34998,2.06,1,1.623089394,10/31/2013,Berdych T.,,,,,,
38601,2.62,1,1.620664097,4/28/2015,Istomin D.,,,,,,
48120,1.6,0,1.620389103,1/2/2019,Paire B.,,,,,,
52119,1.56,0,1.620106987,2/8/2021,Ruusuvuori E.,,,,,,
52603,1.56,0,1.619532081,3/30/2021,Bautista Agut R.,,,,,,
55516,2.44,1,1.619316152,5/11/2022,Cilic M.,,,,,,
46054,1.74,0,1.616933651,3/2/2018,Anderson K.,,,,,,
53347,1.47,0,1.615183253,6/28/2021,Seppi A.,,,,,,
39373,1.51,0,1.614093814,7/28/2015,Robredo T.,,,,,,
29899,2.62,1,1.612968197,1/6/2012,Tsonga J.W.,,,,,,
44643,1.66,0,1.612682801,7/29/2017,Isner J.,,,,,,
37750,2.4,1,1.611871338,1/19/2015,Kokkinakis T.,,,,,,
33726,1.51,0,1.611577027,5/28/2013,Hanescu V.,,,,,,
51856,1.74,0,1.611251789,11/3/2020,Kecmanovic M.,,,,,,
