match,PSW,win0,confidence0,date,winner,,,,,,,
57047,2.27,1,1.320857189,1/2/2023,Safiullin R.,1.27,63.5,,,,,
34067,4.44,1,2.733403291,7/8/2013,Sugita Y.,,,,,,,
56747,1.26,0,2.629149405,10/6/2022,Tiafoe F.,,,,,,,
33850,1.22,0,2.398127675,6/13/2013,Tsonga J.W.,,,,,,,
42679,3.4,1,2.384042081,10/19/2016,Bublik A.,,,,,,,
43952,1.45,0,2.203992938,5/13/2017,Nadal R.,,,,,,,
43763,2.94,1,2.196795665,4/25/2017,Haase R.,,,,,,,
43410,1.4,0,2.13037169,3/1/2017,Sousa J.,,,,,,,
43421,1.38,0,2.111078766,3/2/2017,Cuevas P.,,,,,,,
50684,3.34,1,2.052899065,1/7/2020,Ilkel C.,,,,,,,
32237,1.29,0,2.049070265,10/9/2012,Lu Y.H.,,,,,,,
41131,1.41,0,2.044196739,4/16/2016,Nadal R.,,,,,,,
42192,2.86,1,2.01592117,8/15/2016,Cuevas P.,,,,,,,
41707,1.43,0,1.985481424,6/20/2016,Youzhny M.,,,,,,,
47203,2.63,1,1.935791429,7/24/2018,Monteiro T.,,,,,,,
43716,2.7,1,1.931059538,4/18/2017,Muller G.,,,,,,,
55118,1.49,0,1.920846306,3/24/2022,Korda S.,,,,,,,
53560,2.57,1,1.901083752,7/20/2021,Donskoy E.,,,,,,,
51433,1.47,0,1.889953638,9/14/2020,Dimitrov G.,,,,,,,
31768,1.53,0,1.882061447,8/14/2012,Haas T.,,,,,,,
46455,1.51,0,1.880862389,5/1/2018,Dutra Silva R.,,,,,,,
42799,1.57,0,1.868131619,11/1/2016,Troicki V.,,,,,,,
54399,3.09,1,1.86359417,11/20/2021,Zverev A.,,,,,,,
53291,1.6,0,1.862387167,6/21/2021,Travaglia S.,,,,,,,
34081,1.33,0,1.850915203,7/9/2013,Ram R.,,,,,,,
49302,1.53,0,1.846146892,5/27/2019,Struff J.L.,,,,,,,
52837,2.6,1,1.844853749,4/29/2021,Moutet C.,,,,,,,
40408,1.55,0,1.825138346,1/19/2016,Hewitt L.,,,,,,,
46480,1.54,0,1.822904811,5/2/2018,Dutra Silva R.,,,,,,,
44084,2.73,1,1.821734413,5/29/2017,Estrella Burgos V.,,,,,,,
31419,1.54,0,1.821020365,7/4/2012,Murray A.,,,,,,,
40636,2.74,1,1.810532988,2/12/2016,Kohlschreiber P.,,,,,,,
41852,1.44,0,1.809697124,7/3/2016,Vesely J.,,,,,,,
54930,3.06,1,1.806821834,2/22/2022,Pucinelli de Almeida M.,,,,,,,
34715,3.05,1,1.804921158,9/23/2013,Sijsling I.,,,,,,,
38822,1.44,0,1.803668228,5/22/2015,Mayer L.,,,,,,,
48776,1.47,0,1.801431301,3/16/2019,Federer R.,,,,,,,
53530,1.57,0,1.800815769,7/16/2021,Djere L.,,,,,,,
30498,2.83,1,1.799305577,3/11/2012,Giraldo S.,,,,,,,
35160,1.51,0,1.798018393,1/10/2014,Isner J.,,,,,,,
57046,2.14,1,1.227216864,1/2/2023,Halys Q.,1.14,57,,,,,
47262,1.55,0,1.79618174,7/28/2018,Mayer L.,,,,,,,
39565,2.98,1,1.794460636,8/16/2015,Murray A.,,,,,,,
48137,1.43,0,1.793058957,1/2/2019,Simon G.,,,,,,,
54897,1.48,0,1.792975638,2/19/2022,Bautista Agut R.,,,,,,,
50452,1.48,0,1.792626869,10/9/2019,Isner J.,,,,,,,
48314,2.74,1,1.790861979,1/18/2019,Bautista Agut R.,,,,,,,
47355,2.58,1,1.789741273,8/3/2018,Istomin D.,,,,,,,
50291,1.53,0,1.787824264,9/20/2019,Tsonga J.W.,,,,,,,
43686,2.94,1,1.787750073,4/15/2017,Johnson S.,,,,,,,
47895,1.53,0,1.784981962,10/16/2018,Paire B.,,,,,,,
42188,1.52,0,1.784121511,8/15/2016,Coric B.,,,,,,,
55218,1.68,0,1.781169266,4/6/2022,Kyrgios N.,,,,,,,
54105,1.51,0,1.778078474,10/2/2021,Ruud C.,,,,,,,
53787,1.61,0,1.777394265,8/17/2021,Bublik A.,,,,,,,
54662,1.44,0,1.775175676,2/1/2022,Munar J.,,,,,,,
57048,1.69,0,1.16553828,1/2/2023,Draper J.,-1,-50,,,,,
52401,1.51,0,1.772728594,3/10/2021,Shapovalov D.,,,,,,,
55364,1.57,0,1.769353701,4/22/2022,De Minaur A.,,,,,,,
49952,1.62,0,1.767428972,8/2/2019,Fritz T.,,,,,,,
46009,2.24,1,1.763386955,2/27/2018,Harrison R.,,,,,,,
35848,2.6,1,1.760372138,4/10/2014,Garcia-Lopez G.,,,,,,,
32375,2.72,1,1.75918503,10/24/2012,Gasquet R.,,,,,,,
35021,1.56,0,1.758885963,11/8/2013,Wawrinka S.,,,,,,,
49855,3.15,1,1.758373072,7/27/2019,Basilashvili N.,,,,,,,
43847,1.53,0,1.757032397,5/2/2017,Daniel T.,,,,,,,
31153,1.48,0,1.754000578,6/6/2012,Ferrer D.,,,,,,,
47396,1.67,0,1.752110688,8/8/2018,Shapovalov D.,,,,,,,
51706,1.51,0,1.751190127,10/16/2020,Shapovalov D.,,,,,,,
38983,1.56,0,1.749826564,6/10/2015,Muller G.,,,,,,,
32107,1.52,0,1.749526513,10/1/2012,Mayer F.,,,,,,,
51355,2.52,1,1.748865783,9/3/2020,Ruud C.,,,,,,,
39912,1.45,0,1.747450254,10/5/2015,Goffin D.,,,,,,,
46069,1.45,0,1.74744853,3/8/2018,Tsitsipas S.,,,,,,,
57063,2.43,1,1.502217392,1/4/2023,Khachanov K.,1.43,71.5,,,,,
54182,1.49,0,1.743966217,10/12/2021,Sinner J.,,,,,,,
42663,2.67,1,1.740709926,10/18/2016,Kovalik J.,,,,,,,
48782,2.34,1,1.738874299,3/20/2019,Carballes Baena R.,,,,,,,
47289,1.66,0,1.731227873,7/31/2018,De Minaur A.,,,,,,,
57069,2.3,1,1.375307989,1/4/2023,Bonzi B.,1.3,65,,,,,
35521,2.65,1,1.731024544,2/21/2014,Dolgopolov O.,,,,,,,
47751,2.6,1,1.731015096,9/28/2018,Fritz T.,,,,,,,
54094,2.52,1,1.728355029,9/30/2021,Giron M.,,,,,,,
50637,1.59,0,1.728035341,10/30/2019,Wawrinka S.,,,,,,,
38444,2.23,1,1.724548152,4/11/2015,Sock J.,,,,,,,
40171,2.93,1,1.718988256,11/2/2015,Paire B.,,,,,,,
52247,1.69,0,1.71727582,2/23/2021,Etcheverry T.,,,,,,,
52072,2.41,1,1.717171819,2/4/2021,Khachanov K.,,,,,,,
34428,3.03,1,1.71653426,8/11/2013,Nadal R.,,,,,,,
56415,2.3,1,1.714001845,8/23/2022,Gasquet R.,,,,,,,
47647,2.47,1,1.713773383,9/5/2018,Nishikori K.,,,,,,,
49795,1.49,0,1.712912409,7/23/2019,Gasquet R.,,,,,,,
41103,1.53,0,1.71285593,4/12/2016,Dzumhur D.,,,,,,,
44363,1.59,0,1.712720087,7/3/2017,Mayer F.,,,,,,,
53253,1.68,0,1.712515584,6/15/2021,Humbert U.,,,,,,,
38823,1.53,0,1.709927216,5/22/2015,Bellucci T.,,,,,,,
42947,1.54,0,1.706139579,1/10/2017,Muller G.,,,,,,,
40743,2.83,1,1.705364616,2/21/2016,Querrey S.,,,,,,,
38986,1.45,0,1.704810912,6/11/2015,Tomic B.,,,,,,,
54147,1.58,0,1.704122803,10/9/2021,Vukic A.,,,,,,,
54380,1.39,0,1.702883703,11/11/2021,Shapovalov D.,,,,,,,
42532,1.52,0,1.702387766,10/4/2016,Simon G.,,,,,,,
47213,1.38,0,1.701333035,7/24/2018,Bedene A.,,,,,,,
33086,2.53,1,1.701212446,3/7/2013,Mayer L.,,,,,,,
43180,1.56,0,1.69993446,2/10/2017,Bautista Agut R.,,,,,,,
43700,1.51,0,1.699137558,4/17/2017,Cuevas P.,,,,,,,
33541,1.58,0,1.695115994,5/8/2013,Haas T.,,,,,,,
38026,1.53,0,1.69215765,2/14/2015,Anderson K.,,,,,,,
57090,1.65,0,1.322077353,1/8/2023,Lestienne C.,-1,-50,,,,,
35550,2.55,1,1.692052488,2/25/2014,Rosol L.,,,,,,,
47740,1.53,0,1.691920938,9/27/2018,Querrey S.,,,,,,,
32229,1.57,0,1.690240203,10/9/2012,Isner J.,,,,,,,
39567,2.8,1,1.689651239,8/17/2015,Paire B.,,,,,,,
34173,1.5,0,1.688640425,7/16/2013,Guccione C.,,,,,,,
41346,2.92,1,1.687302308,5/8/2016,Anderson K.,,,,,,,
52017,2.48,1,1.687133173,2/2/2021,Gerasimov E.,,,,,,,
46235,2.2,1,1.68140928,3/26/2018,Shapovalov D.,,,,,,,
46031,1.53,0,1.680584885,2/28/2018,Donaldson J.,,,,,,,
44885,1.51,0,1.679850077,8/22/2017,Struff J.L.,,,,,,,
53853,1.51,0,1.674815558,8/24/2021,Gasquet R.,,,,,,,
49724,1.65,0,1.67470997,7/16/2019,Novak D.,,,,,,,
38958,1.56,0,1.674475294,6/9/2015,Troicki V.,,,,,,,
48669,1.54,0,1.673789256,3/1/2019,Ruud C.,,,,,,,
53268,2.23,1,1.67287407,6/17/2021,Basilashvili N.,,,,,,,
50238,2.72,1,1.672157818,9/2/2019,Berrettini M.,,,,,,,
51890,1.56,0,1.672059118,11/7/2020,Medvedev D.,,,,,,,
36906,1.71,0,1.671514853,8/1/2014,Thiem D.,,,,,,,
39694,1.51,0,1.670221804,8/31/2015,Gabashvili T.,,,,,,,
49223,1.57,0,1.665356044,5/19/2019,Nadal R.,,,,,,,
37048,1.46,0,1.663885618,8/19/2014,Goffin D.,,,,,,,
50946,1.57,0,1.663645115,2/7/2020,Garin C.,,,,,,,
55754,1.61,0,1.662354576,6/9/2022,Ivashka I.,,,,,,,
49674,1.52,0,1.661987867,7/5/2019,Bautista Agut R.,,,,,,,
35445,1.72,0,1.661212008,2/15/2014,Fognini F.,,,,,,,
42420,1.65,0,1.660196937,9/19/2016,Benneteau J.,,,,,,,
34775,1.56,0,1.658842458,10/7/2013,Haas T.,,,,,,,
32830,1.48,0,1.656788321,2/12/2013,Hewitt L.,,,,,,,
38995,2.62,1,1.656677155,6/12/2015,Haase R.,,,,,,,
33604,2.31,1,1.656291634,5/16/2013,Granollers M.,,,,,,,
52093,1.57,0,1.655339351,2/5/2021,Evans D.,,,,,,,
38762,1.43,0,1.653539097,5/14/2015,Wawrinka S.,,,,,,,
32218,1.54,0,1.652763347,10/8/2012,Anderson K.,,,,,,,
56091,1.56,0,1.651386076,7/19/2022,Ymer E.,,,,,,,
39639,2.35,1,1.651353197,8/25/2015,Gabashvili T.,,,,,,,
54886,1.58,0,1.6506083,2/18/2022,Bautista Agut R.,,,,,,,
44822,2.32,1,1.64860639,8/15/2017,Ramanathan R.,,,,,,,
35634,1.59,0,1.648379053,3/6/2014,Falla A.,,,,,,,
35654,1.56,0,1.648127968,3/8/2014,Raonic M.,,,,,,,
34106,2.67,1,1.6470784,7/10/2013,Ramos A.,,,,,,,
48535,2.61,1,1.646524806,2/19/2019,Mcdonald M.,,,,,,,
30859,2.71,1,1.646341238,5/2/2012,Reynolds B.,,,,,,,
44118,1.45,0,1.645249464,5/30/2017,Almagro N.,,,,,,,
45528,1.54,0,1.64328137,1/4/2018,Pella G.,,,,,,,
51209,2.72,1,1.642305047,2/28/2020,Dimitrov G.,,,,,,,
34787,2.44,1,1.641557039,10/8/2013,Seppi A.,,,,,,,
50341,2.64,1,1.640236378,9/26/2019,Garin C.,,,,,,,
55257,1.53,0,1.639576058,4/11/2022,Schwartzman D.,,,,,,,
32003,1.54,0,1.636276472,9/19/2012,Seppi A.,,,,,,,
53034,1.49,0,1.634638335,5/25/2021,Musetti L.,,,,,,,
52925,2.47,1,1.634380917,5/11/2021,Auger-Aliassime F.,,,,,,,
30493,1.76,0,1.631885812,3/11/2012,Harrison R.,,,,,,,
48196,1.61,0,1.631284002,1/9/2019,Kohlschreiber P.,,,,,,,
51550,1.53,0,1.631144346,9/28/2020,Sock J.,,,,,,,
50526,1.76,0,1.630904106,10/17/2019,Chardy J.,,,,,,,
30501,1.52,0,1.629853421,3/12/2012,Almagro N.,,,,,,,
51973,1.48,0,1.629391736,1/10/2021,Isner J.,,,,,,,
33428,1.59,0,1.629259074,4/25/2013,Bellucci T.,,,,,,,
43449,1.53,0,1.628103166,3/5/2017,Cuevas P.,,,,,,,
54275,1.56,0,1.6273126,10/26/2021,Paul T.,,,,,,,
47750,1.54,0,1.627204821,9/28/2018,Sousa J.,,,,,,,
47744,2.34,1,1.625898249,9/27/2018,Ebden M.,,,,,,,
35981,1.64,0,1.625776346,4/25/2014,Haase R.,,,,,,,
36092,1.63,0,1.624996598,5/8/2014,Gulbis E.,,,,,,,
47930,1.56,0,1.624765966,10/18/2018,Schwartzman D.,,,,,,,
52119,1.56,0,1.623797077,2/8/2021,Ruusuvuori E.,,,,,,,
51210,2.37,1,1.623401093,2/28/2020,Fritz T.,,,,,,,
49169,2.71,1,1.623178758,5/12/2019,Basilashvili N.,,,,,,,
49760,2.14,1,1.622985069,7/19/2019,Balazs A.,,,,,,,
50748,2.83,1,1.621094673,1/16/2020,Harris L.,,,,,,,
47811,1.55,0,1.620938228,10/5/2018,Basilashvili N.,,,,,,,
50507,1.66,0,1.620618342,10/16/2019,Mannarino A.,,,,,,,
37867,2.12,1,1.619609505,2/2/2015,Berankis R.,,,,,,,
50107,1.79,0,1.619198162,8/21/2019,Paire B.,,,,,,,
35153,1.59,0,1.619153919,1/9/2014,Lu Y.H.,,,,,,,
