match,PSW,win0,confidence0,date,winner
36349,1.29,0,2.734749421,6/9/2014,Ward J.
46409,1.33,0,2.518388264,4/25/2018,Dimitrov G.
42676,3.4,1,2.492782812,10/19/2016,Bublik A.
40224,1.4,0,2.435790178,11/22/2015,Djokovic N.
35584,1.36,0,2.400826524,2/26/2014,Kohlschreiber P.
35935,1.4,0,2.368481158,4/22/2014,Ungur A.
51402,1.29,0,2.340116556,9/9/2020,Hanfmann Y.
55278,1.36,0,2.333122887,4/13/2022,Sinner J.
43211,1.33,0,2.30042818,2/14/2017,Simon G.
56389,1.37,0,2.290852837,8/19/2022,Norrie C.
47706,1.36,0,2.285674938,9/24/2018,Norrie C.
53279,1.38,0,2.283971522,6/19/2021,Shapovalov D.
41131,1.41,0,2.275298214,4/16/2016,Nadal R.
37620,1.37,0,2.272483689,1/6/2015,Ito T.
52807,1.53,0,2.258471707,4/26/2021,Borges N.
38303,1.34,0,2.257391284,3/21/2015,Djokovic N.
57947,1.32,0,2.246882868,4/14/2023,Struff J.L.
43716,2.7,1,2.23187639,4/18/2017,Muller G.
42696,1.38,0,2.226400864,10/20/2016,Carreno Busta P.
49652,1.34,0,2.199087118,7/3/2019,Vesely J.
53881,1.38,0,2.189740303,8/30/2021,Molcan A.
48268,1.41,0,2.185851675,1/15/2019,Ivashka I.
38358,1.45,0,2.178575293,3/28/2015,Sock J.
55270,1.41,0,2.17470495,4/12/2022,Sonego L.
51445,3.05,1,2.165335229,9/15/2020,Lajovic D.
41349,1.56,0,2.148041528,5/8/2016,Ramos-Vinolas A.
54398,3.09,1,2.140098782,11/20/2021,Zverev A.
39244,1.46,0,2.133917339,7/13/2015,Ito T.
57258,1.47,0,2.12847555,1/22/2023,Khachanov K.
45041,1.45,0,2.127129205,9/19/2017,Youzhny M.
38542,1.38,0,2.119283452,4/22/2015,Garcia-Lopez G.
56579,1.51,0,2.112965761,9/20/2022,Rinderknech A.
44512,2.79,1,2.105338957,7/18/2017,Brown D.
43952,1.45,0,2.102916536,5/13/2017,Nadal R.
41400,2.93,1,2.097253271,5/15/2016,Murray A.
49733,3.4,1,2.095441761,7/16/2019,Dzumhur D.
45549,1.43,0,2.094738951,1/7/2018,Dolgopolov O.
41708,1.43,0,2.091497029,6/20/2016,Youzhny M.
