match,PSW,win0,confidence0,date,winner,pred correct?
57489,1.21,0,2.850198914,2/22/2023,Auger-Aliassime F.,
56742,1.26,0,2.632309909,10/6/2022,Tiafoe F.,
57656,1.25,0,2.501754396,3/11/2023,Fritz T.,-1
49048,1.29,0,2.31372904,4/26/2019,Medvedev D.,
43766,2.94,1,2.124425697,4/25/2017,Haase R.,
43952,1.45,0,2.0429414,5/13/2017,Nadal R.,
43421,1.38,0,2.003984371,3/2/2017,Cuevas P.,
49651,1.34,0,1.996386893,7/3/2019,Vesely J.,
41131,1.41,0,1.941602345,4/16/2016,Nadal R.,
38719,3.36,1,1.920258411,5/10/2015,Murray A.,
57412,1.56,0,1.90286563,2/16/2023,Cerundolo F.,
47370,1.49,0,1.883867297,8/6/2018,Herbert P.H.,
47219,1.38,0,1.883759454,7/24/2018,Bedene A.,
38754,1.51,0,1.880573869,5/13/2015,Isner J.,
40171,2.93,1,1.87902653,11/2/2015,Paire B.,
34714,3.05,1,1.874345033,9/23/2013,Sijsling I.,
43449,1.53,0,1.874296569,3/5/2017,Cuevas P.,
53008,1.5,0,1.867379441,5/21/2021,Shapovalov D.,
35020,1.56,0,1.865856397,11/8/2013,Wawrinka S.,
51511,1.39,0,1.863713507,9/25/2020,Tsitsipas S.,
43716,2.7,1,1.851591302,4/18/2017,Muller G.,
37048,1.46,0,1.851120421,8/19/2014,Goffin D.,
43652,1.47,0,1.849152132,4/12/2017,Chardy J.,
57324,3.04,1,1.844511029,2/9/2023,Wu Y.,
34305,1.46,0,1.835396279,7/29/2013,Gimeno-Traver D.,
49224,1.57,0,1.83279397,5/19/2019,Nadal R.,
47259,1.54,0,1.826763973,7/27/2018,Kovalik J.,
54399,3.09,1,1.818623354,11/20/2021,Zverev A.,
50544,1.63,0,1.811297769,10/19/2019,Rublev A.,
30530,1.49,0,1.807075977,3/16/2012,Federer R.,
51770,2.73,1,1.800779704,10/23/2020,Dimitrov G.,
32291,3.26,1,1.800221928,10/16/2012,Bogomolov A.,
31769,1.53,0,1.800101976,8/14/2012,Haas T.,
34428,3.03,1,1.798088848,8/11/2013,Nadal R.,
50638,1.59,0,1.79783466,10/30/2019,Wawrinka S.,
57174,2.59,1,1.795440583,1/16/2023,Mcdonald M.,
36935,2.74,1,1.795009505,8/5/2014,Lopez F.,
50334,2.5,1,1.792385653,9/26/2019,Bublik A.,
34090,1.43,0,1.787275626,7/9/2013,Gulbis E.,
52520,1.54,0,1.787015634,3/20/2021,Karatsev A.,
41046,2.71,1,1.783664807,4/5/2016,Baghdatis M.,
51972,1.48,0,1.780676157,1/10/2021,Isner J.,
49804,1.47,0,1.779577131,7/23/2019,Zverev A.,
29899,2.62,1,1.77768273,1/6/2012,Tsonga J.W.,
31223,1.55,0,1.776605248,6/15/2012,Youzhny M.,
49173,2.71,1,1.773928147,5/12/2019,Basilashvili N.,
41632,2.52,1,1.772501324,6/12/2016,Thiem D.,
37450,1.44,0,1.770392147,10/16/2014,Kukushkin M.,
38820,1.53,0,1.76944254,5/22/2015,Bellucci T.,
36419,1.53,0,1.765609326,6/15/2014,Dimitrov G.,
36680,2.74,1,1.761351606,7/12/2014,Bautista R.,
42532,1.47,0,1.760824476,10/4/2016,Baghdatis M.,
43547,1.52,0,1.754363446,3/22/2017,Anderson K.,
45944,1.42,0,1.753528288,2/22/2018,Verdasco F.,
48697,1.52,0,1.75267482,3/8/2019,Wawrinka S.,
47349,2.58,1,1.750837266,8/3/2018,Istomin D.,
53527,1.57,0,1.747883767,7/16/2021,Djere L.,
43847,1.53,0,1.747656818,5/2/2017,Daniel T.,
54900,1.48,0,1.746336054,2/19/2022,Bautista Agut R.,
56238,1.61,0,1.739655606,8/3/2022,Dimitrov G.,
44083,2.73,1,1.739002581,5/29/2017,Estrella Burgos V.,
42533,1.52,0,1.737463358,10/4/2016,Simon G.,
41885,2.96,1,1.736138724,7/12/2016,Olivo R.,
53216,2.8,1,1.734945683,6/11/2021,Djokovic N.,
57130,2.58,1,1.734184453,1/11/2023,Kwon S.W.,
34950,2.94,1,1.732399218,10/24/2013,Chardy J.,
56793,2.3,1,1.731937024,10/12/2022,Wolf J.J.,
31770,1.52,0,1.730310059,8/14/2012,Nishikori K.,
41326,1.58,0,1.728674765,5/4/2016,Bautista Agut R.,
47751,2.6,1,1.727579613,9/28/2018,Fritz T.,
39646,1.61,0,1.727557791,8/25/2015,Coric B.,
32106,1.52,0,1.726206569,10/1/2012,Mayer F.,
41229,1.47,0,1.726155055,4/26/2016,Dutra Silva R.,
54186,1.6,0,1.725295175,10/12/2021,Hurkacz H.,
52119,1.56,0,1.724770795,2/8/2021,Ruusuvuori E.,
51706,1.51,0,1.720651275,10/16/2020,Shapovalov D.,
54013,2.4,1,1.718360245,9/21/2021,Giron M.,
47260,1.55,0,1.715778488,7/28/2018,Mayer L.,
54182,1.49,0,1.712432426,10/12/2021,Sinner J.,
30508,1.52,0,1.711063262,3/12/2012,Almagro N.,
37269,1.56,0,1.710293935,9/26/2014,Benneteau J.,
39112,2.52,1,1.709558487,6/26/2015,Istomin D.,
37551,2.86,1,1.707670555,10/28/2014,Verdasco F.,
56057,2.77,1,1.704654908,7/14/2022,Thiem D.,
40652,1.5,0,1.703315768,2/13/2016,Monfils G.,
38958,1.56,0,1.701379852,6/9/2015,Troicki V.,
46588,2.59,1,1.701340157,5/14/2018,Ramos-Vinolas A.,
47294,1.56,0,1.699491569,7/31/2018,Marterer M.,
47889,1.53,0,1.698869988,10/16/2018,Paire B.,
51266,1.62,0,1.698777716,8/26/2020,Raonic M.,
41032,1.53,0,1.693589921,4/5/2016,Istomin D.,
49954,1.62,0,1.692676794,8/2/2019,Fritz T.,
52631,2.58,1,1.691550774,4/6/2021,Ivashka I.,
41267,1.53,0,1.691336712,4/28/2016,Almagro N.,
42663,2.67,1,1.690995881,10/18/2016,Kovalik J.,
39569,1.5,0,1.689666593,8/17/2015,Pospisil V.,
52194,2.58,1,1.688099566,2/11/2021,Ymer M.,
57976,1.4,0,1.687583871,3/31/2023,Koepfer D.,-1
32831,1.48,0,1.683139599,2/12/2013,Hewitt L.,
50687,3.34,1,1.681733547,1/7/2020,Ilkel C.,
46485,1.54,0,1.677775716,5/2/2018,Dutra Silva R.,
35553,2.55,1,1.675206012,2/25/2014,Rosol L.,
42304,1.54,0,1.674159408,8/29/2016,Seppi A.,
37749,2.4,1,1.672942686,1/19/2015,Kokkinakis T.,
43169,1.56,0,1.672413083,2/10/2017,Bautista Agut R.,
50065,2.37,1,1.671677055,8/15/2019,Khachanov K.,
32636,1.53,0,1.669338293,1/14/2013,Lacko L.,
57077,1.51,0,1.669252724,1/5/2023,Shapovalov D.,
39683,1.51,0,1.666949466,8/31/2015,Gabashvili T.,
38695,1.42,0,1.66448025,5/6/2015,Dimitrov G.,
51093,1.68,0,1.663525096,2/19/2020,Gerasimov E.,
32382,2.72,1,1.663283985,10/24/2012,Gasquet R.,
46799,1.69,0,1.663054238,6/3/2018,Thiem D.,
47241,2.44,1,1.662336372,7/26/2018,Norrie C.,
41091,1.49,0,1.661910073,4/11/2016,Bautista Agut R.,
47401,1.66,0,1.660089251,8/8/2018,Cilic M.,
53568,2.57,1,1.659105141,7/20/2021,Donskoy E.,
38986,1.45,0,1.659058683,6/11/2015,Tomic B.,
38465,2.8,1,1.657103598,4/13/2015,Haider-Maurer A.,
44582,1.56,0,1.656841736,7/25/2017,Kohlschreiber P.,
54302,2.51,1,1.654178778,10/28/2021,Cilic M.,
44610,2.55,1,1.654031789,7/26/2017,Vesely J.,
35787,1.66,0,1.65078721,3/23/2014,Robredo T.,
51550,1.53,0,1.650500815,9/28/2020,Sock J.,
47750,1.54,0,1.650089645,9/28/2018,Sousa J.,
57810,1.44,0,1.64963744,3/25/2023,Dimitrov G.,-1
32253,2.47,1,1.648382311,10/11/2012,Haas T.,
46381,1.49,0,1.648126721,4/23/2018,Garcia-Lopez G.,
36103,2.63,1,1.646418438,5/11/2014,Melzer J.,
57466,1.67,0,1.645797463,2/21/2023,Van De Zandschulp B.,
56138,1.51,0,1.644562224,7/25/2022,Misolic F.,
54089,2.98,1,1.64451042,9/30/2021,Karatsev A.,
41347,2.92,1,1.643276961,5/8/2016,Anderson K.,
47463,2.55,1,1.643146003,8/16/2018,Kyrgios N.,
36929,1.53,0,1.642678859,8/5/2014,Sock J.,
32905,1.48,0,1.642474834,2/18/2013,Janowicz J.,
43338,1.76,0,1.642316553,2/24/2017,Carreno Busta P.,
54103,1.51,0,1.641214816,10/2/2021,Ruud C.,
41886,2.61,1,1.639878804,7/12/2016,Robert S.,
52837,2.6,1,1.639560479,4/29/2021,Moutet C.,
57569,1.57,0,1.63826762,3/1/2023,Hanfmann Y.,-1
31153,1.48,0,1.637998977,6/6/2012,Ferrer D.,
39519,1.69,0,1.637033759,8/10/2015,Robredo T.,
42417,1.51,0,1.636607888,9/19/2016,Rosol L.,
39565,2.98,1,1.636459848,8/16/2015,Murray A.,
37800,1.51,0,1.6363784,1/20/2015,Haider-Maurer A.,
42426,2.71,1,1.63375594,9/20/2016,Lorenzi P.,
49496,1.52,0,1.632465456,6/20/2019,Medvedev D.,
46690,1.54,0,1.629472079,5/27/2018,Andreozzi G.,
43981,1.49,0,1.62914343,5/16/2017,Paire B.,
33333,1.51,0,1.628889637,4/15/2013,Paire B.,
57785,1.64,0,1.628759248,3/23/2023,Bagnis F.,-1
48566,1.52,0,1.628748624,2/21/2019,Mcdonald M.,
37367,1.6,0,1.627627164,10/7/2014,Klizan M.,
36737,1.68,0,1.626886243,7/17/2014,Andujar P.,
42563,1.66,0,1.626582089,10/6/2016,Karlovic I.,
35813,1.53,0,1.626176544,4/7/2014,Berlocq C.,
33090,1.51,0,1.625068195,3/7/2013,Paire B.,
42603,2.25,1,1.624356139,10/11/2016,Zverev A.,
37871,2.12,1,1.623948121,2/2/2015,Berankis R.,
49556,1.75,0,1.62329343,6/26/2019,Simon G.,
44773,2.75,1,1.619386692,8/8/2017,Lorenzi P.,
34448,2.8,1,1.616145051,8/13/2013,Davydenko N.,
49196,2.83,1,1.615794766,5/14/2019,Sousa J.,
52071,2.24,1,1.614377804,2/4/2021,Travaglia S.,
53658,2.4,1,1.614274921,7/28/2021,Mager G.,
49755,1.72,0,1.614070274,7/18/2019,Sousa J.,
50547,1.61,0,1.614052728,10/19/2019,Mannarino A.,
37960,2.62,1,1.613336781,2/10/2015,Souza J.,
54899,1.61,0,1.61156384,2/19/2022,Alcaraz C.,
40146,2.45,1,1.611520967,10/29/2015,Sock J.,
47941,1.55,0,1.611499338,10/19/2018,Monfils G.,
49797,1.44,0,1.610903082,7/23/2019,Ruud C.,
46886,1.47,0,1.610092351,6/19/2018,Kohlschreiber P.,
51903,1.58,0,1.609892256,11/10/2020,Sinner J.,
53666,2.69,1,1.609600062,7/29/2021,Rinderknech A.,
42799,1.57,0,1.609249053,11/1/2016,Troicki V.,
54609,2.23,1,1.608964471,1/21/2022,Berrettini M.,
43536,2.26,1,1.608188549,3/16/2017,Federer R.,
50505,1.66,0,1.607433041,10/16/2019,Mannarino A.,
40481,1.55,0,1.60712342,1/25/2016,Ferrer D.,
47733,1.59,0,1.606078408,9/26/2018,Sousa J.,
42558,1.61,0,1.605962296,10/5/2016,Monaco J.,
43346,1.47,0,1.605944467,2/24/2017,Sock J.,
55849,1.63,0,1.605617875,6/20/2022,Ivashka I.,
32160,2.85,1,1.605090773,10/3/2012,Fognini F.,
48684,1.6,0,1.60445048,3/7/2019,Thompson J.,
35122,2.09,1,1.604379548,1/7/2014,Matosevic M.,
53968,1.5,0,1.604149316,9/2/2021,Schwartzman D.,
37378,2.42,1,1.603667029,10/8/2014,Simon G.,
34159,1.5,0,1.603581189,7/16/2013,Guccione C.,
57672,2.29,1,1.603060645,3/12/2023,Davidovich Fokina A.,1.29
51101,2.11,1,1.603038741,2/20/2020,Humbert U.,
35445,1.72,0,1.602832372,2/15/2014,Fognini F.,
56416,2.3,1,1.602052747,8/23/2022,Gasquet R.,
54144,1.58,0,1.600956001,10/9/2021,Vukic A.,
54747,1.49,0,1.600936916,2/8/2022,Delbonis F.,
49557,2.42,1,1.600820533,6/26/2019,Troicki V.,
54880,2.36,1,1.600425134,2/17/2022,Basilashvili N.,
56016,1.63,0,1.599782361,7/8/2022,Kyrgios N.,
33568,2.71,1,1.599448965,5/13/2013,Kohlschreiber P.,
54916,1.64,0,1.598724096,2/21/2022,Seyboth Wild T.,
44550,2.43,1,1.59670478,7/21/2017,Giannessi A.,
33790,2.47,1,1.594535591,6/4/2013,Tsonga J.W.,
48673,1.54,0,1.59368996,3/1/2019,Ruud C.,
57369,2.3,1,1.59337918,2/14/2023,Vukic A.,
55027,1.55,0,1.59284927,3/12/2022,Monfils G.,
46558,1.5,0,1.591667785,5/9/2018,Cuevas P.,
31418,1.54,0,1.590562215,7/4/2012,Murray A.,
37146,1.54,0,1.590218217,8/28/2014,Querrey S.,
42420,1.65,0,1.590130188,9/19/2016,Benneteau J.,
55363,1.57,0,1.590124964,4/22/2022,De Minaur A.,
53291,1.6,0,1.589776126,6/21/2021,Travaglia S.,
43136,2.71,1,1.588853012,2/8/2017,Olivo R.,
41918,2.4,1,1.587823498,7/13/2016,Arnaboldi A.,
35532,2.21,1,1.586767255,2/22/2014,Gulbis E.,
44738,1.51,0,1.586733621,8/4/2017,Sousa J.,
52109,1.48,0,1.586594107,2/8/2021,Shapovalov D.,
34113,2.67,1,1.58633257,7/10/2013,Ramos A.,
51371,2.44,1,1.586029005,9/4/2020,Goffin D.,
33833,2.73,1,1.586026592,6/11/2013,Monfils G.,
57259,1.64,0,1.585400948,1/22/2023,Korda S.,
49748,2.6,1,1.584246851,7/17/2019,Ramos-Vinolas A.,
35079,1.63,0,1.58388555,1/1/2014,Monfils G.,
35522,2.65,1,1.58371776,2/21/2014,Dolgopolov O.,
57837,1.73,0,1.583292601,3/26/2023,Cerundolo F.,-1
54418,2.35,1,1.582889194,1/5/2022,Berankis R.,
49358,1.49,0,1.581084852,5/30/2019,Bautista Agut R.,
41399,2.93,1,1.579267236,5/15/2016,Murray A.,
53289,1.68,0,1.579242967,6/21/2021,Sandgren T.,
30109,1.5,0,1.578391652,1/31/2012,Youzhny M.,
36156,1.57,0,1.578001922,5/18/2014,Delbonis F.,
55520,1.66,0,1.577878564,5/11/2022,De Minaur A.,
41317,2.52,1,1.574661366,5/4/2016,Sock J.,
45874,1.72,0,1.574569396,2/16/2018,Goffin D.,
57414,2.46,1,1.573641036,2/16/2023,Mannarino A.,
48681,1.56,0,1.572795621,3/2/2019,Pella G.,
30729,2.79,1,1.571919759,4/19/2012,Wawrinka S.,
40351,2.36,1,1.571267656,1/14/2016,Bautista R.,
57055,2.72,1,1.570852003,1/3/2023,Bautista Agut R.,
57479,2.29,1,1.570102952,2/22/2023,Bonzi B.,
38183,1.7,0,1.569534051,2/26/2015,Anderson K.,
41041,2.31,1,1.569266014,4/5/2016,Barton M.,
47358,1.68,0,1.569010227,8/3/2018,Klizan M.,
53272,2.31,1,1.568492029,6/18/2021,Basilashvili N.,
46232,1.65,0,1.568434981,3/26/2018,Raonic M.,
49410,1.83,0,1.568151675,6/10/2019,Thompson J.,
36629,2.27,1,1.566905676,7/8/2014,Ramos A.,
36906,1.71,0,1.566893727,8/1/2014,Thiem D.,
51856,1.74,0,1.566009083,11/3/2020,Kecmanovic M.,
50240,2.11,1,1.565563466,9/2/2019,Schwartzman D.,
37757,1.56,0,1.565462225,1/19/2015,Baghdatis M.,
36816,1.67,0,1.564610998,7/24/2014,Troicki V.,
47647,2.47,1,1.563587141,9/5/2018,Nishikori K.,
44300,2.28,1,1.562879234,6/24/2017,Lopez F.,
49537,2.18,1,1.562685888,6/25/2019,Fabbiano T.,
36864,2.86,1,1.562099035,7/29/2014,Estrella Burgos V.,
54092,1.56,0,1.561601001,9/30/2021,Norrie C.,
56132,1.44,0,1.560872437,7/25/2022,Rodionov J.,
54792,1.65,0,1.560774054,2/12/2022,Schwartzman D.,
53245,1.68,0,1.560673197,6/15/2021,Humbert U.,
42501,2.66,1,1.558740122,9/29/2016,Ramos-Vinolas A.,
34616,1.55,0,1.558608545,8/30/2013,Benneteau J.,
44067,1.65,0,1.558144569,5/28/2017,Robredo T.,
53268,2.23,1,1.556493057,6/17/2021,Basilashvili N.,
43545,1.65,0,1.555050852,3/22/2017,Delbonis F.,
54693,1.62,0,1.554999521,2/3/2022,Sonego L.,
54174,1.68,0,1.554302032,10/11/2021,Schwartzman D.,
52851,2.45,1,1.554279386,5/1/2021,Ramos-Vinolas A.,
57317,1.61,0,1.55427681,2/9/2023,Sonego L.,
55071,2.31,1,1.553600879,3/15/2022,Kecmanovic M.,
57099,2.57,1,1.553533854,1/9/2023,Mcdonald M.,
46657,2.37,1,1.553451713,5/22/2018,Fucsovics M.,
48101,2.23,1,1.553412223,1/1/2019,Chardy J.,
33540,1.58,0,1.552474393,5/8/2013,Haas T.,
37038,1.49,0,1.552434595,8/18/2014,Goffin D.,
40415,2.56,1,1.552190475,1/19/2016,Groth S.,
54374,2.21,1,1.551302878,11/10/2021,Van De Zandschulp B.,
53488,2.37,1,1.551187879,7/13/2021,Jung J.,
57728,1.63,0,1.550525631,3/18/2023,Alcaraz C.,-1
43656,2.45,1,1.550465378,4/12/2017,Zeballos H.,
49217,1.72,0,1.550378855,5/17/2019,Tsitsipas S.,
48120,1.6,0,1.548897096,1/2/2019,Paire B.,
46486,2.37,1,1.548378807,5/2/2018,Lorenzi P.,
37432,1.61,0,1.547426334,10/15/2014,Sock J.,
54983,1.6,0,1.546925321,2/25/2022,Ramos-Vinolas A.,
49151,2.68,1,1.546872905,5/8/2019,Tiafoe F.,
42477,1.54,0,1.545880356,9/27/2016,Bellucci T.,
42073,1.64,0,1.545037005,7/23/2016,Lopez F.,
31026,1.78,0,1.544604139,5/24/2012,Baker B.,
46104,1.56,0,1.54375172,3/10/2018,Sandgren T.,
40166,1.81,0,1.543491515,11/2/2015,Tomic B.,
48737,2.64,1,1.543006986,3/10/2019,Krajinovic F.,
48777,1.47,0,1.542154718,3/16/2019,Federer R.,
41591,1.68,0,1.542045684,6/7/2016,Millman J.,
35475,1.66,0,1.540258564,2/18/2014,Baghdatis M.,
48726,2.13,1,1.539726605,3/9/2019,Kecmanovic M.,
55873,2.53,1,1.539589778,6/22/2022,Cressy M.,
35654,1.56,0,1.539389598,3/8/2014,Raonic M.,
35002,2.06,1,1.539195242,10/31/2013,Berdych T.,
57263,1.77,0,1.538396786,1/23/2023,Paul T.,
37340,1.83,0,1.537794139,10/5/2014,Bautista R.,
43414,1.56,0,1.53745393,3/1/2017,Thiem D.,
43110,2.25,1,1.536093883,1/29/2017,Federer R.,
53001,2.58,1,1.5358268,5/20/2021,Cuevas P.,
43193,1.7,0,1.535783994,2/13/2017,Nishioka Y.,
36087,1.63,0,1.53414833,5/8/2014,Gulbis E.,
34126,2.54,1,1.533752751,7/12/2013,Dimitrov G.,
49714,2.34,1,1.532844638,7/16/2019,Zverev M.,
38462,1.48,0,1.532031236,4/13/2015,Paire B.,
56430,2.44,1,1.529793888,8/24/2022,Thiem D.,
38954,1.54,0,1.529619275,6/8/2015,Kohlschreiber P.,
36164,1.78,0,1.529445943,5/19/2014,Melzer J.,
50289,1.53,0,1.528708232,9/20/2019,Tsonga J.W.,
47372,1.68,0,1.528634832,8/6/2018,Fucsovics M.,
34512,2.24,1,1.528341015,8/20/2013,Johnson S.,
46598,2.48,1,1.527593857,5/15/2018,Gojowczyk P.,
41446,1.62,0,1.52759004,5/20/2016,Zverev A.,
49945,2.27,1,1.527292531,8/1/2019,Sonego L.,
47753,1.69,0,1.526922996,9/29/2018,Fognini F.,
39787,2.29,1,1.526629449,9/8/2015,Gasquet R.,
40639,2.74,1,1.526496008,2/12/2016,Kohlschreiber P.,
34306,2.55,1,1.525608256,7/29/2013,Zeballos H.,
48054,1.56,0,1.525531635,11/1/2018,Khachanov K.,
37521,1.61,0,1.524880923,10/23/2014,Dimitrov G.,
48843,2.17,1,1.524562492,3/24/2019,Auger-Aliassime F.,
45476,1.73,0,1.522618035,1/1/2018,Ramanathan R.,
56237,2.88,1,1.522081175,8/3/2022,Wolf J.J.,
48198,1.61,0,1.521400234,1/9/2019,Kohlschreiber P.,
37605,1.53,0,1.520878095,1/5/2015,Karlovic I.,
45949,1.58,0,1.520303808,2/22/2018,Fritz T.,
35667,1.54,0,1.520218706,3/9/2014,Robredo T.,
48575,2.19,1,1.519774023,2/22/2019,Kukushkin M.,
41809,2,1,1.518699348,6/30/2016,Dimitrov G.,
38268,2.66,1,1.518672661,3/15/2015,Rosol L.,
32006,1.54,0,1.517914773,9/19/2012,Seppi A.,
55678,2.68,1,1.517698409,5/26/2022,Ymer M.,
32566,2.29,1,1.517531979,1/7/2013,Bellucci T.,
57924,1.6,0,1.517364134,3/28/2023,Fritz T.,-1
35987,1.61,0,1.517009586,4/25/2014,Nishikori K.,
49835,2.55,1,1.516841253,7/25/2019,Carreno Busta P.,
39403,1.88,0,1.516798044,7/29/2015,Berankis R.,
33929,2.4,1,1.516667116,6/21/2013,Mahut N.,
34740,1.52,0,1.516517288,9/25/2013,Baghdatis M.,
39056,2.21,1,1.515681019,6/19/2015,Troicki V.,
49188,2.16,1,1.515542403,5/14/2019,Struff J.L.,
53868,2.75,1,1.515292566,8/26/2021,Ivashka I.,
46920,1.76,0,1.515251332,6/23/2018,Cilic M.,
54183,1.67,0,1.515026431,10/12/2021,Basilashvili N.,
34772,1.56,0,1.514943652,10/7/2013,Haas T.,
52394,1.79,0,1.514819408,3/9/2021,Evans D.,
54260,2.53,1,1.514429072,10/25/2021,Murray A.,
48917,1.67,0,1.513926111,4/12/2019,Ruud C.,
30654,1.94,1,1.513330312,4/11/2012,Garcia-Lopez G.,
35990,1.72,0,1.513257609,4/26/2014,Rosol L.,
30706,1.6,0,1.512185622,4/17/2012,Bellucci T.,
56005,1.79,0,1.511864468,7/3/2022,Goffin D.,
52607,1.56,0,1.511645272,3/30/2021,Bautista Agut R.,
55990,2.12,1,1.511553591,7/1/2022,Tiafoe F.,
34658,1.8,0,1.511280764,9/16/2013,Golubev A.,
38513,2,1,1.51113677,4/20/2015,Gabashvili T.,
52253,1.69,0,1.510966078,2/23/2021,Etcheverry T.,
39092,1.95,1,1.510473485,6/23/2015,Groth S.,
46054,2.3,1,1.510186549,3/2/2018,Jarry N.,
46413,1.57,0,1.50925572,4/25/2018,Carreno Busta P.,
52877,1.64,0,1.508854916,5/4/2021,Davidovich Fokina A.,
36120,2.5,1,1.508790091,5/13/2014,Kohlschreiber P.,
47363,1.63,0,1.508623645,8/4/2018,Zverev A.,
54638,1.53,0,1.508517305,1/31/2022,Bhambri Y.,
50055,1.71,0,1.507573538,8/14/2019,De Minaur A.,
34380,2.8,1,1.507381609,8/5/2013,Paire B.,
39128,1.68,0,1.506791802,6/29/2015,Kudla D.,
56775,2.35,1,1.505933645,10/10/2022,Karatsev A.,
33425,1.59,0,1.505932687,4/25/2013,Bellucci T.,
41365,1.56,0,1.505173059,5/10/2016,Monaco J.,
34288,1.54,0,1.504536132,7/27/2013,Fognini F.,
40106,1.59,0,1.504156217,10/26/2015,Thiem D.,
47115,1.54,0,1.503773577,7/17/2018,Delbonis F.,
48505,2.33,1,1.503696908,2/17/2019,Cecchinato M.,
47745,2.65,1,1.503298007,9/28/2018,Verdasco F.,
38641,2.39,1,1.503143869,5/1/2015,Gasquet R.,
57798,1.65,0,1.501731033,3/24/2023,Watanuki Y.,-1
41500,1.68,0,1.501695686,5/24/2016,Jaziri M.,
56394,2.39,1,1.501613415,8/21/2022,Coric B.,
38679,1.56,0,1.501599207,5/5/2015,Kohlschreiber P.,
48025,2.35,1,1.501336778,10/29/2018,Dzumhur D.,
56743,2.11,1,1.501271674,10/6/2022,Kecmanovic M.,
43581,2.84,1,1.501166898,3/24/2017,Vesely J.,
48140,1.71,0,1.500788803,1/2/2019,Herbert P.H.,
51144,1.68,0,1.500667514,2/25/2020,Tabilo A.,
49451,1.61,0,1.500463045,6/14/2019,Auger-Aliassime F.,
42190,2.86,1,1.500449517,8/15/2016,Cuevas P.,
56512,2.66,1,1.500250928,8/31/2022,Moutet C.,
35288,1.65,0,1.500236561,2/4/2014,Phau B.,
37288,2.1,1,1.500186893,9/29/2014,Sousa J.,
48657,2.26,1,1.49966295,2/28/2019,Mcdonald M.,
40662,1.53,0,1.499546495,2/15/2016,Paire B.,
56865,1.91,1,1.499141128,10/20/2022,Goffin D.,
49086,1.59,0,1.498804471,5/1/2019,Fucsovics M.,
54861,2.37,1,1.498520827,2/16/2022,Andujar P.,
35388,1.49,0,1.497017417,2/11/2014,Volandri F.,
49992,1.75,0,1.496929519,8/7/2019,Thiem D.,
36987,1.85,0,1.496910081,8/12/2014,Seppi A.,
36744,1.75,0,1.496746933,7/17/2014,Gonzalez A.,
57469,1.67,0,1.495980164,2/21/2023,Barrere G.,
52049,2.22,1,1.494886992,2/3/2021,Cuevas P.,
35298,1.81,0,1.494882965,2/4/2014,Bedene A.,
55292,2.16,1,1.494776256,4/14/2022,Davidovich Fokina A.,
42701,2.3,1,1.494512336,10/21/2016,Schwartzman D.,
47687,2.37,1,1.49441354,9/20/2018,Cecchinato M.,
56360,2.46,1,1.494276288,8/16/2022,Tiafoe F.,
55388,1.69,0,1.493890119,4/26/2022,Gaston H.,
49955,1.64,0,1.493816253,8/2/2019,Ramos-Vinolas A.,
50113,1.82,0,1.493312446,8/22/2019,Tiafoe F.,
57811,2.53,1,1.493240034,3/25/2023,Lajovic D.,1.53
53797,1.84,0,1.492858079,8/18/2021,Sonego L.,
35097,2.4,1,1.492306083,1/3/2014,Granollers M.,
43488,1.67,0,1.492100137,3/11/2017,Struff J.L.,
