match,PSW,win0,confidence0,date,winner,
51720,1.15,0,4.947698031,10/17/2020,Zverev A.,
54154,1.21,0,3.3324376,10/10/2021,Zverev A.,
55755,1.21,0,3.251366869,6/9/2022,Auger-Aliassime F.,
55859,4.74,1,3.183786595,6/21/2022,Martinez P.,
57698,1.26,0,3.114829953,3/15/2023,Medvedev D.,
52639,1.25,0,3.083367401,4/6/2021,Struff J.L.,
56635,3.73,1,2.713433459,9/27/2022,Etcheverry T.,
42959,1.34,0,2.687210876,1/11/2017,Troicki V.,
49547,1.28,0,2.663357064,6/26/2019,Verdasco F.,
54399,3.09,1,2.657650474,11/20/2021,Zverev A.,
47615,3.31,1,2.551929991,8/30/2018,Basilashvili N.,
56698,1.29,0,2.495712396,10/1/2022,Cilic M.,
51881,1.35,0,2.431240983,11/5/2020,Carreno Busta P.,
48218,1.42,0,2.421888578,1/14/2019,Berdych T.,
51471,1.35,0,2.384613612,9/18/2020,Shapovalov D.,
47243,3.14,1,2.378882221,7/26/2018,Basilashvili N.,
48882,1.36,0,2.356214371,4/9/2019,Munar J.,
56742,1.26,0,2.354506281,10/6/2022,Tiafoe F.,
49996,1.4,0,2.312786706,8/7/2019,Cilic M.,
50239,5.12,1,2.311603607,9/2/2019,Wawrinka S.,
47254,3.32,1,2.299576992,7/27/2018,Basilashvili N.,
47237,3.22,1,2.253249834,7/26/2018,Galovic V.,
46944,1.34,0,2.251659599,6/26/2018,Lacko L.,
50754,1.32,0,2.251419983,1/18/2020,Rublev A.,
54593,3.7,1,2.248786292,1/20/2022,Daniel T.,
52283,1.36,0,2.243076299,2/25/2021,Schwartzman D.,
46519,3.48,1,2.241297036,5/5/2018,Daniel T.,
52237,1.49,0,2.225382926,2/23/2021,Albot R.,
56057,2.77,1,2.208600735,7/14/2022,Thiem D.,
47475,1.24,0,2.207139045,8/18/2018,Federer R.,
47744,1.53,0,2.196485578,9/27/2018,Querrey S.,
49797,1.44,0,2.195924187,7/23/2019,Ruud C.,
51014,1.33,0,2.162257615,2/13/2020,Humbert U.,
50687,3.34,1,2.158238156,1/7/2020,Ilkel C.,
46861,1.38,0,2.138998955,6/16/2018,Federer R.,
48112,1.37,0,2.132881218,1/1/2019,Thompson J.,
49833,1.33,0,2.11134655,7/25/2019,Fognini F.,
