match,PSW,win0,confidence0,date,winner,
57841,1.55,0,1.580136591,4/3/2023,Fognini F.,-1
57847,1.57,0,1.511099428,4/3/2023,Cazaux A.,1.25
57836,1.72,0,1.390554369,4/3/2023,Shelton B.,-1
57857,1.8,0,1.338719706,4/3/2023,Martinez P.,1
57860,1.8,0,1.282321644,4/3/2023,Kubler J.,
57861,1.54,1,1.103713786,4/3/2023,Bagnis F.,
57855,1.55,1,1.092310739,4/3/2023,Varillas J.P.,
57842,1.61,1,1.067077199,4/3/2023,Thiem D.,
57856,1.48,1,1.064207697,4/3/2023,Carballes Baena R.,
57840,1.4,1,1.060804093,4/3/2023,Schwartzman D.,
57852,1.75,0,1.054417722,4/3/2023,Karatsev A.,
57858,1.8,1,1.051042981,4/3/2023,Zhang Z.,
57837,1.33,1,1.042201304,4/3/2023,Ramos-Vinolas A.,
57835,1.28,1,1.031336626,4/3/2023,Kecmanovic M.,
57834,1.46,1,1.022337009,4/3/2023,Borges N.,
57854,1.66,1,1.013278339,4/3/2023,Gasquet R.,
57868,1.2,1,1.00590384,4/3/2023,Zapata Miralles B.,
57864,1.72,0,1.001995631,4/3/2023,Wolf J.J.,
57846,1.3,1,0.997865565,4/3/2023,Van Assche L.,
57851,1.54,1,0.980165368,4/3/2023,Struff J.L.,
57850,1.57,1,0.976075896,4/3/2023,De Alboran N.,
57862,1.61,1,0.968835719,4/3/2023,Garin C.,
57859,1.44,1,0.967373412,4/3/2023,Kovacevic A.,
57844,1.1,1,0.945712644,4/3/2023,Munar J.,
57867,1.34,1,0.942323838,4/3/2023,Machac T.,
57863,1.52,1,0.94174447,4/3/2023,Etcheverry T.,
57853,1.02,1,0.934376037,4/3/2023,Popyrin A.,
57866,1.3,1,0.929722628,4/3/2023,Giron M.,
57848,1.06,1,0.913323744,4/3/2023,Vavassori A.,
57839,1.14,1,0.912373609,4/3/2023,Baez S.,
57865,1.33,1,0.898380113,4/3/2023,Altmaier D.,
57849,1.57,1,0.894961246,4/3/2023,Kuzmanov D.,
57843,1.48,1,0.864922027,4/3/2023,Zeppieri G.,
57838,1.59,1,0.847679253,4/3/2023,Cachin P.,
57845,1.4,1,0.776984022,4/3/2023,Hanfmann Y.,
57824,1.66,0,1.346580125,4/2/2023,Hanfmann Y.,
57819,1.66,0,1.331368765,4/2/2023,Bonadio R.,
57818,1.93,1,1.243237059,4/2/2023,Medvedev D.,
57826,1.61,0,1.185096772,4/2/2023,Vukic A.,
57820,1.66,1,1.039000114,4/2/2023,Grenier H.,
57822,3.5,0,0.996297385,4/2/2023,Rocha H.,
57823,1.28,1,0.956741071,4/2/2023,Machac T.,
57832,3,0,0.947261666,4/2/2023,Sousa P.,
57827,1.25,1,0.935445502,4/2/2023,De Alboran N.,
57831,1.25,1,0.932993644,4/2/2023,Ofner S.,
57829,1.01,1,0.9140219,4/2/2023,Ymer E.,
57817,1.22,1,0.900684187,4/2/2023,Vavassori A.,
57825,1.5,1,0.890153669,4/2/2023,Watanuki Y.,
57828,1.08,1,0.880950164,4/2/2023,Cazaux A.,
57830,3.2,0,0.879432429,4/2/2023,Bennani R.,
57833,1.01,1,0.875996538,4/2/2023,Kuzmanov D.,
57821,2.75,0,0.865424688,4/2/2023,Giannessi A.,
57809,2.5,1,1.622629553,4/1/2023,Ferreira Silva F.,
57803,1.82,0,1.217718754,4/1/2023,Alves M.F.,
57813,2,1,1.211734295,4/1/2023,Giannessi A.,
57812,2.45,0,1.157424865,4/1/2023,Vukic A.,
57804,1.22,1,1.045913761,4/1/2023,Watanuki Y.,
57815,3.05,0,1.029779618,4/1/2023,Sinner J.,
57810,1.57,1,0.981585763,4/1/2023,Valkusz M.,
57801,2.26,0,0.955776537,4/1/2023,Holt B.,
57811,1.22,1,0.93995101,4/1/2023,Marozsan F.,
57805,1.44,1,0.928899536,4/1/2023,Bergs Z.,
57807,2.87,0,0.913249248,4/1/2023,Sousa P.,
57802,1.31,1,0.900261472,4/1/2023,Machac T.,
57806,1.29,1,0.884800058,4/1/2023,Hanfmann Y.,
57800,1.25,1,0.883808147,4/1/2023,Diaz Acosta F.,
57808,1.61,1,0.861812271,4/1/2023,Skatov T.,
57814,1.33,1,0.825496042,4/1/2023,Rocha H.,
57816,1.16,1,0.798879346,4/1/2023,Ofner S.,
57798,1.26,1,0.973865386,3/31/2023,Alcaraz C.,
57799,1.23,1,0.884431509,3/31/2023,Medvedev D.,
57797,1.41,1,1.041844854,3/30/2023,Khachanov K.,
57796,1.05,1,0.917463049,3/30/2023,Medvedev D.,
57793,2.37,0,1.025433518,3/29/2023,Cerundolo F.,
57794,1.09,1,0.937144622,3/29/2023,Medvedev D.,
57795,1.14,1,0.918486764,3/29/2023,Sinner J.,
57789,1.63,0,1.410200751,3/28/2023,Ruusuvuori E.,-1
57788,1.87,1,1.177822426,3/28/2023,Khachanov K.,
57792,1.74,1,1.088238482,3/28/2023,Fritz T.,
57786,2.66,0,1.070676818,3/28/2023,Eubanks C.,
57790,1.56,1,1.052155343,3/28/2023,Sinner J.,
57791,3.28,0,0.984931798,3/28/2023,Sonego L.,
57787,1.17,1,0.920730993,3/28/2023,Alcaraz C.,
57782,1.83,1,1.246827744,3/27/2023,Khachanov K.,
57781,3.54,0,1.14084592,3/27/2023,Van De Zandschulp B.,
57778,3.68,0,1.127950812,3/27/2023,Mannarino A.,
57777,2.18,0,1.12504478,3/27/2023,Eubanks C.,
57780,2.34,0,1.029143147,3/27/2023,Halys Q.,
57785,1.25,1,1.023541806,3/27/2023,Sinner J.,
57784,1.3,1,0.993057765,3/27/2023,Tsitsipas S.,
57779,4.61,0,0.987250574,3/27/2023,Cerundolo F.,
57783,1.06,1,0.986320808,3/27/2023,Medvedev D.,
57770,2.31,1,1.258629865,3/26/2023,Mannarino A.,1.31
57775,1.62,0,1.229332937,3/26/2023,Ruusuvuori E.,-1
57771,1.58,1,1.162163909,3/26/2023,Paul T.,
