match,PSW,win0,confidence0,date,winner
54858,1.25,0,3.097740522,2/16/2022,Shapovalov D.
57347,1.26,0,3.087234293,2/11/2023,Fritz T.
56746,1.26,0,3.002354776,10/6/2022,Tiafoe F.
46943,1.34,0,2.808059111,6/26/2018,Lacko L.
48818,3.96,1,2.50480247,3/22/2019,Andujar P.
50486,3.5,1,2.470738535,10/15/2019,Carballes Baena R.
52351,1.3,0,2.368119923,3/4/2021,Cerundolo F.
48942,1.33,0,2.314224091,4/15/2019,Goffin D.
44409,3.11,1,2.278449547,7/4/2017,Pavlasek A.
56036,1.32,0,2.270995779,7/12/2022,Cerundolo F.
43765,2.94,1,2.174197601,4/25/2017,Haase R.
43717,2.7,1,2.160766715,4/18/2017,Muller G.
54942,3.06,1,2.149816934,2/22/2022,Pucinelli de Almeida M.
54622,4.3,1,2.137011166,1/23/2022,Shapovalov D.
43511,2.88,1,2.111169548,3/13/2017,Carreno Busta P.
44381,1.38,0,2.106764379,7/3/2017,Bolelli S.
55318,2.79,1,2.100677154,4/19/2022,Millman J.
48885,1.36,0,2.09892151,4/9/2019,Munar J.
56095,1.56,0,2.094051564,7/19/2022,Ymer E.
56760,1.37,0,2.065457954,10/8/2022,Tiafoe F.
51770,2.73,1,2.054566015,10/23/2020,Dimitrov G.
54116,2.75,1,2.050058627,10/7/2021,Daniel T.
57124,2.58,1,2.048188322,1/11/2023,Kwon S.W.
50688,3.34,1,2.045221882,1/7/2020,Ilkel C.
55737,2.81,1,2.044380528,6/7/2022,Van Rijthoven T.
56707,2.94,1,2.043523757,10/3/2022,Bautista Agut R.
50747,2.83,1,2.041472494,1/16/2020,Harris L.
46639,1.36,0,2.037288445,5/21/2018,Lajovic D.
57341,1.4,0,2.019966023,2/10/2023,Baez S.
43154,1.43,0,2.014641129,2/9/2017,Chardy J.
54029,1.5,0,2.009434021,9/22/2021,Carreno Busta P.
48112,1.37,0,1.979468838,1/1/2019,Thompson J.
55344,1.51,0,1.967232178,4/20/2022,Auger-Aliassime F.
