match,PSW,win0,confidence0,date,winner
56191,2.32,1,1.368132759,7/29/2022,Agamenone F.
56181,5.78,0,0.890123522,7/28/2022,Agamenone F.
56156,4.92,0,0.719654466,7/26/2022,Agamenone F.
43648,19.16,0,0.897722857,4/11/2017,Ahouda A.
53562,1.77,1,1.058757163,7/20/2021,Ajdukovic D.
48593,2.76,1,1.554692368,2/24/2019,Albot R.
48594,2.44,1,1.445409363,2/24/2019,Albot R.
56664,1.76,0,1.401085168,9/28/2022,Albot R.
44934,1.77,1,1.33353754,8/28/2017,Albot R.
51676,2.31,1,1.323670202,10/14/2020,Albot R.
51894,1.6,0,1.297578349,11/8/2020,Albot R.
44586,1.81,0,1.288128247,7/25/2017,Albot R.
50621,2.56,1,1.283249187,10/28/2019,Albot R.
50368,2.2,1,1.27667877,10/1/2019,Albot R.
48710,1.49,0,1.263972168,3/8/2019,Albot R.
54540,1.93,1,1.242437034,1/17/2022,Albot R.
45820,2.22,0,1.239188862,2/13/2018,Albot R.
48407,2.01,1,1.237709585,2/8/2019,Albot R.
46179,2.3,0,1.22082123,3/22/2018,Albot R.
46700,2.12,1,1.219068387,5/27/2018,Albot R.
51786,1.68,1,1.217975249,10/26/2020,Albot R.
49806,1.81,0,1.193419166,7/23/2019,Albot R.
51519,2.73,0,1.189610842,9/27/2020,Albot R.
49262,1.8,1,1.175298312,5/22/2019,Albot R.
55722,1.96,0,1.166416402,6/6/2022,Albot R.
47693,2.11,1,1.158494891,9/21/2018,Albot R.
49939,1.44,1,1.154261766,8/1/2019,Albot R.
49468,2.24,0,1.133610447,6/17/2019,Albot R.
48730,1.93,1,1.131327997,3/10/2019,Albot R.
48533,2.15,1,1.120803304,2/19/2019,Albot R.
47660,2.4,0,1.119857284,9/18/2018,Albot R.
48236,2.19,0,1.094439861,1/14/2019,Albot R.
48462,2.35,0,1.085176937,2/13/2019,Albot R.
52276,1.73,1,1.083412103,2/25/2021,Albot R.
47043,3.14,0,1.076945468,7/3/2018,Albot R.
49952,2.02,0,1.0643344,8/2/2019,Albot R.
48562,2.65,0,1.060552961,2/21/2019,Albot R.
47686,3.23,0,1.044898915,9/20/2018,Albot R.
51653,2.47,0,1.037458126,10/12/2020,Albot R.
54824,1.74,1,1.026993293,2/15/2022,Albot R.
50572,1.85,1,1.026158891,10/22/2019,Albot R.
45864,4.65,0,1.025836156,2/15/2018,Albot R.
44335,1.75,0,1.023968564,6/28/2017,Albot R.
48384,3.23,0,1.017941835,2/6/2019,Albot R.
46282,2.24,0,1.01740453,4/11/2018,Albot R.
48575,2.38,0,1.016636107,2/22/2019,Albot R.
44315,3.1,0,1.008447774,6/26/2017,Albot R.
43115,1.18,1,1.005889187,2/6/2017,Albot R.
52185,2.48,0,0.995331531,2/11/2021,Albot R.
48396,2.43,0,0.990019116,2/7/2019,Albot R.
49235,2.46,0,0.987325682,5/20/2019,Albot R.
52159,11.37,0,0.987082669,2/9/2021,Albot R.
44999,3.18,0,0.985291902,8/31/2017,Albot R.
49266,1.83,1,0.979844379,5/23/2019,Albot R.
48786,1.32,1,0.977281264,3/21/2019,Albot R.
52246,1.49,1,0.977230238,2/23/2021,Albot R.
49985,2.04,1,0.975420716,8/6/2019,Albot R.
53546,3.37,0,0.974079078,7/19/2021,Albot R.
49916,1.41,1,0.971818705,7/31/2019,Albot R.
52291,3.06,0,0.96674636,2/26/2021,Albot R.
50630,1.87,1,0.956855044,10/29/2019,Albot R.
44511,1.34,1,0.951160212,7/18/2017,Albot R.
50031,3.6,0,0.930798588,8/12/2019,Albot R.
51850,3.67,0,0.924730473,11/2/2020,Albot R.
51902,4.16,0,0.915818754,11/10/2020,Albot R.
43639,2.52,0,0.905076519,4/10/2017,Albot R.
47048,3.19,0,0.90352561,7/4/2018,Albot R.
46634,4.7,0,0.903376954,5/20/2018,Albot R.
48938,2.54,0,0.898780529,4/15/2019,Albot R.
49195,2.81,0,0.898696266,5/14/2019,Albot R.
49300,1.33,1,0.89134028,5/27/2019,Albot R.
48988,1.28,1,0.889978703,4/22/2019,Albot R.
56265,2.87,0,0.876928311,8/4/2022,Albot R.
54638,1.28,1,0.850131485,1/31/2022,Albot R.
47295,3.3,0,0.846039506,7/31/2018,Albot R.
56240,1.29,1,0.827550472,8/3/2022,Albot R.
44420,1.21,1,0.8006102,7/4/2017,Albot R.
54579,2.62,0,0.652873114,1/19/2022,Albot R.
56629,,0,,9/26/2022,Albot R.
53871,1.56,0,1.53728299,8/27/2021,Alcaraz C.
53151,1.65,0,1.433084664,6/3/2021,Alcaraz C.
54895,1.61,0,1.336393144,2/19/2022,Alcaraz C.
52154,1.75,0,1.294067663,2/9/2021,Alcaraz C.
53861,1.8,0,1.281114085,8/25/2021,Alcaraz C.
55480,1.84,1,1.230761437,5/6/2022,Alcaraz C.
55483,2.13,0,1.188621976,5/7/2022,Alcaraz C.
54261,1.8,0,1.185132213,10/25/2021,Alcaraz C.
55484,1.65,1,1.176116755,5/8/2022,Alcaraz C.
56567,1.47,1,1.15697797,9/10/2022,Alcaraz C.
56568,1.48,1,1.147377739,9/11/2022,Alcaraz C.
54303,2.84,0,1.14612768,10/29/2021,Alcaraz C.
56906,1.34,1,1.123646522,10/24/2022,Alcaraz C.
56565,1.56,1,1.118468911,9/8/2022,Alcaraz C.
53868,1.87,1,1.105978606,8/26/2021,Alcaraz C.
55363,1.72,0,1.088013672,4/22/2022,Alcaraz C.
55955,1.29,1,1.087062762,6/29/2022,Alcaraz C.
53607,1.98,0,1.080031586,7/23/2021,Alcaraz C.
54282,2.51,0,1.078230352,10/27/2021,Alcaraz C.
55187,1.47,1,1.050947735,4/2/2022,Alcaraz C.
55061,1.46,1,1.047199928,3/14/2022,Alcaraz C.
55188,1.37,1,1.042675239,4/3/2022,Alcaraz C.
57002,1.24,1,1.04132875,11/2/2022,Alcaraz C.
57005,1.32,1,1.039139382,11/3/2022,Alcaraz C.
51058,4.1,0,1.038094404,2/18/2020,Alcaraz C.
53948,1.35,1,1.037722198,9/1/2021,Alcaraz C.
53559,1.25,1,1.03279945,7/20/2021,Alcaraz C.
53414,1.35,1,1.028461485,6/30/2021,Alcaraz C.
54534,1.16,1,1.026841401,1/17/2022,Alcaraz C.
55987,1.3,1,1.015186529,7/1/2022,Alcaraz C.
56375,1.13,1,1.012504124,8/17/2022,Alcaraz C.
52662,2.93,0,1.011938068,4/9/2021,Alcaraz C.
56386,1.28,1,1.002500294,8/19/2022,Alcaraz C.
56953,1.31,1,1.0022917,10/28/2022,Alcaraz C.
56546,1.23,1,0.998953059,9/3/2022,Alcaraz C.
55901,1.26,1,0.995460396,6/27/2022,Alcaraz C.
55658,1.04,1,0.993521678,5/25/2022,Alcaraz C.
55709,1.11,1,0.987651568,5/29/2022,Alcaraz C.
56187,1.05,1,0.98723402,7/28/2022,Alcaraz C.
56204,1.06,1,0.984256452,7/30/2022,Alcaraz C.
56525,1.03,1,0.983106411,9/1/2022,Alcaraz C.
53592,1.13,1,0.982156232,7/22/2021,Alcaraz C.
56086,1.03,1,0.981482853,7/19/2022,Alcaraz C.
55180,1.53,1,0.975886594,3/30/2022,Alcaraz C.
55160,1.19,1,0.967776839,3/27/2022,Alcaraz C.
56118,1.16,1,0.964867476,7/22/2022,Alcaraz C.
55448,1.11,1,0.957732038,5/3/2022,Alcaraz C.
55594,1.005,1,0.95643932,5/22/2022,Alcaraz C.
55470,1.14,1,0.955744372,5/5/2022,Alcaraz C.
53990,1.28,1,0.952358373,9/5/2021,Alcaraz C.
55691,1.19,1,0.948478211,5/27/2022,Alcaraz C.
55347,1.06,1,0.94550715,4/20/2022,Alcaraz C.
54337,1.28,1,0.945246669,11/2/2021,Alcaraz C.
56192,1.06,1,0.944935886,7/29/2022,Alcaraz C.
54909,1.39,1,0.944208059,2/20/2022,Alcaraz C.
56931,1.21,1,0.932472029,10/26/2022,Alcaraz C.
56561,1.2,1,0.932427294,9/6/2022,Alcaraz C.
54887,1.25,1,0.929466475,2/18/2022,Alcaraz C.
55373,1.09,1,0.928865067,4/24/2022,Alcaraz C.
56496,1.02,1,0.927476971,8/30/2022,Alcaraz C.
56113,1.22,1,0.927396295,7/21/2022,Alcaraz C.
53626,1.27,1,0.914555563,7/25/2021,Alcaraz C.
