match,PSW,win0,confidence0,date,winner
50237,5.12,1,2.823344727,9/2/2019,Wawrinka S.
56742,1.26,0,2.656503065,10/6/2022,Tiafoe F.
46729,1.17,0,2.638704541,5/29/2018,Ymer E.
49733,1.34,0,2.603640354,7/16/2019,Ramos-Vinolas A.
51151,1.37,0,2.452710548,2/25/2020,Auger-Aliassime F.
51402,1.29,0,2.342971499,9/9/2020,Hanfmann Y.
51127,1.3,0,2.287646515,2/23/2020,Garin C.
50293,1.53,0,2.262271999,9/20/2019,Tsonga J.W.
47039,3.32,1,2.230974865,7/3/2018,Klahn B.
56707,2.94,1,2.222907887,10/3/2022,Bautista Agut R.
54399,3.09,1,2.197966813,11/20/2021,Zverev A.
48738,1.33,0,2.18146458,3/10/2019,Edmund K.
54919,3.06,1,2.178531203,2/22/2022,Pucinelli de Almeida M.
43716,2.7,1,2.170945778,4/18/2017,Muller G.
50344,3.69,1,2.168905446,9/27/2019,Bublik A.
43901,1.36,0,2.132707827,5/7/2017,Carreno Busta P.
43766,2.94,1,2.127943709,4/25/2017,Haase R.
56387,1.37,0,2.121880165,8/19/2022,Norrie C.
55202,2.78,1,2.116369544,4/5/2022,Querrey S.
54032,1.43,0,2.094178011,9/22/2021,Gojowczyk P.
48887,1.36,0,2.090276004,4/9/2019,Munar J.
53789,2.77,1,2.086835566,8/17/2021,Dimitrov G.
55161,1.49,0,2.078512339,3/27/2022,Cilic M.
52151,1.41,0,2.0743839,2/9/2021,Harris L.
54183,1.49,0,2.069482713,10/12/2021,Sinner J.
54638,1.53,0,2.05793457,1/31/2022,Bhambri Y.
51550,1.53,0,2.056809489,9/28/2020,Sock J.
50481,3.5,1,2.039353382,10/15/2019,Carballes Baena R.
49752,1.47,0,2.039192123,7/18/2019,Bagnis F.
50684,3.34,1,2.015691721,1/7/2020,Ilkel C.
44208,3.27,1,2.004039999,6/13/2017,Kozlov S.
52984,1.5,0,2.002666945,5/18/2021,Fognini F.
47230,1.41,0,1.999745755,7/25/2018,Kovalik J.
44084,2.73,1,1.996842839,5/29/2017,Estrella Burgos V.
50744,2.83,1,1.989835358,1/16/2020,Harris L.
47322,1.37,0,1.979753782,8/1/2018,Lajovic D.
47142,3.31,1,1.972007188,7/18/2018,Laaksonen H.
49226,1.57,0,1.968463863,5/19/2019,Nadal R.
53010,1.5,0,1.963065256,5/21/2021,Shapovalov D.
55990,1.44,0,1.956896477,7/1/2022,Van Rijthoven T.
52023,1.49,0,1.956287699,2/2/2021,Kukushkin M.
55871,1.51,0,1.956045014,6/22/2022,Bublik A.
47248,1.54,0,1.953554968,7/27/2018,Kovalik J.
53459,2.96,1,1.950424307,7/7/2021,Hurkacz H.
55954,1.5,0,1.947967607,6/28/2022,Molcan A.
56661,1.34,0,1.935648609,9/28/2022,Safiullin R.
43476,1.48,0,1.935570984,3/11/2017,Carreno Busta P.
57124,2.58,1,1.933364012,1/11/2023,Kwon S.W.
48371,1.44,0,1.930476345,2/6/2019,Klizan M.
51714,1.51,0,1.914793544,10/16/2020,Shapovalov D.
43952,1.45,0,1.913092151,5/13/2017,Nadal R.
43685,2.94,1,1.912507565,4/15/2017,Johnson S.
50992,3.14,1,1.907564066,2/12/2020,Sousa P.
54052,2.77,1,1.907319975,9/25/2021,Kwon S.W.
47219,2.63,1,1.906788877,7/24/2018,Monteiro T.
52120,1.56,0,1.902617506,2/8/2021,Ruusuvuori E.
53968,1.5,0,1.900872896,9/2/2021,Schwartzman D.
53827,1.43,0,1.899839765,8/21/2021,Tsitsipas S.
50070,1.5,0,1.8935657,8/16/2019,Goffin D.
43942,1.54,0,1.886537312,5/11/2017,Thiem D.
47172,1.63,0,1.884790912,7/20/2018,Trungelliti M.
47911,2.43,1,1.881941667,10/17/2018,Gerasimov E.
43923,1.39,0,1.873236117,5/9/2017,Almagro N.
44513,2.79,1,1.873109536,7/18/2017,Brown D.
54091,1.56,0,1.869492665,9/30/2021,Norrie C.
47101,2.38,1,1.868503772,7/11/2018,Isner J.
49479,1.4,0,1.868052544,6/18/2019,Tsonga J.W.
43137,2.71,1,1.863884087,2/8/2017,Olivo R.
48566,1.52,0,1.859118898,2/21/2019,Mcdonald M.
46028,1.52,0,1.858692957,2/28/2018,Coric B.
52749,2.37,1,1.857117668,4/20/2021,Thompson J.
44917,1.38,0,1.850020452,8/28/2017,Donaldson J.
54040,2.6,1,1.846873646,9/23/2021,Giron M.
51161,1.57,0,1.844264672,2/25/2020,Delbonis F.
48365,1.52,0,1.839617501,2/5/2019,Carballes Baena R.
56436,1.52,0,1.838923805,8/25/2022,Draper J.
47518,2.59,1,1.837559729,8/23/2018,Johnson S.
44880,2.69,1,1.83579514,8/22/2017,Berlocq C.
46369,1.59,0,1.831611127,4/23/2018,Karlovic I.
54207,1.56,0,1.831588204,10/18/2021,Norrie C.
53284,2.45,1,1.830570592,6/20/2021,Mannarino A.
49735,1.65,0,1.83033199,7/16/2019,Novak D.
46460,1.51,0,1.830317305,5/1/2018,Dutra Silva R.
50924,2.69,1,1.828969242,2/5/2020,Moutet C.
56574,3.43,1,1.828698094,9/20/2022,Krueger M.
52520,1.54,0,1.825964741,3/20/2021,Karatsev A.
53758,3.51,1,1.825597436,8/12/2021,Tiafoe F.
45306,2.71,1,1.822299578,10/19/2017,Berankis R.
51988,1.5,0,1.820163655,1/12/2021,Bublik A.
54058,2.73,1,1.818743322,9/27/2021,Paire B.
53460,1.34,0,1.815593916,7/7/2021,Shapovalov D.
52514,3.18,1,1.815250752,3/19/2021,Harris L.
53656,2.4,1,1.811534729,7/28/2021,Mager G.
43341,1.76,0,1.810728376,2/24/2017,Carreno Busta P.
44765,2.52,1,1.808189359,8/8/2017,Carreno Busta P.
55201,1.5,0,1.807967836,4/5/2022,Thompson J.
54119,2.33,1,1.804896201,10/7/2021,Taberner C.
44486,2.46,1,1.800440475,7/17/2017,Cecchinato M.
52404,1.51,0,1.795995642,3/10/2021,Shapovalov D.
52558,1.5,0,1.793521106,3/26/2021,Auger-Aliassime F.
51376,2.44,1,1.793358998,9/4/2020,Goffin D.
48592,2.44,1,1.793140033,2/24/2019,Albot R.
52993,2.46,1,1.792639688,5/19/2021,Bedene A.
47634,2.36,1,1.790707218,9/2/2018,Isner J.
52562,2.75,1,1.788473044,3/26/2021,Norrie C.
54450,2.16,1,1.78294674,1/8/2022,Khachanov K.
43783,2.73,1,1.780436555,4/26/2017,Karlovic I.
47149,3.23,1,1.779200616,7/18/2018,Sela D.
56196,2.72,1,1.777584136,7/29/2022,Ivashka I.
51527,1.6,0,1.775885165,9/27/2020,Nishikori K.
53779,1.51,0,1.775655024,8/16/2021,Schwartzman D.
57092,2.57,1,1.773588324,1/9/2023,Mcdonald M.
48370,1.59,0,1.772344574,2/6/2019,Tsonga J.W.
50906,1.61,0,1.771592152,2/4/2020,Ramos-Vinolas A.
49717,2.34,1,1.770129927,7/16/2019,Zverev M.
56581,1.6,0,1.770020226,9/21/2022,Wawrinka S.
46244,3.32,1,1.765437485,3/27/2018,Isner J.
53536,1.57,0,1.765075025,7/16/2021,Djere L.
52563,1.6,0,1.763978779,3/26/2021,Fritz T.
52168,2.39,1,1.763382605,2/10/2021,Mannarino A.
46690,1.54,0,1.763282193,5/27/2018,Andreozzi G.
48838,1.55,0,1.762692676,3/23/2019,Shapovalov D.
52291,1.53,0,1.762043269,2/26/2021,Popyrin A.
47175,1.41,0,1.761828876,7/20/2018,Johnson S.
45804,2.36,1,1.760425433,2/11/2018,Pouille L.
55383,1.6,0,1.758765671,4/25/2022,Kwon S.W.
51369,1.58,0,1.756688263,9/4/2020,Auger-Aliassime F.
43870,1.5,0,1.755577745,5/4/2017,Klizan M.
47200,1.53,0,1.754742916,7/24/2018,Djere L.
44800,2.65,1,1.753835819,8/11/2017,Shapovalov D.
47261,1.55,0,1.753612561,7/28/2018,Mayer L.
42852,2.28,1,1.753379859,1/2/2017,Stepanek R.
55442,1.83,0,1.751379326,5/2/2022,Lajovic D.
51763,2.77,1,1.751194111,10/22/2020,Harris L.
46731,1.5,0,1.744778485,5/29/2018,Johnson S.
56016,1.63,0,1.743372158,7/8/2022,Kyrgios N.
49698,2.29,1,1.742963539,7/12/2019,Federer R.
50334,2.64,1,1.74296224,9/26/2019,Garin C.
49346,2.55,1,1.74244432,5/29/2019,Dimitrov G.
51421,2.62,1,1.741767693,9/11/2020,Djere L.
53540,1.51,0,1.741559971,7/17/2021,Carreno Busta P.
54195,1.51,0,1.73713697,10/13/2021,Monfils G.
49810,1.47,0,1.737126064,7/23/2019,Zverev A.
47117,1.54,0,1.735112952,7/17/2018,Delbonis F.
47756,2.68,1,1.734921965,9/29/2018,Nishioka Y.
48582,1.49,0,1.732541778,2/22/2019,Humbert U.
47993,1.61,0,1.732479278,10/25/2018,Nishikori K.
52244,1.49,0,1.732241156,2/23/2021,Albot R.
