match,PSW,win0,confidence0,date,winner
56743,1.26,0,2.652659062,10/6/2022,Tiafoe F.
43421,1.38,0,2.365173976,3/2/2017,Cuevas P.
42679,3.4,1,2.255087134,10/19/2016,Bublik A.
56057,1.3,0,2.194755563,7/14/2022,Rublev A.
54092,1.33,0,2.142568852,9/30/2021,Rublev A.
54597,1.39,0,2.116384649,1/20/2022,Evans D.
38506,1.4,0,2.076506671,4/18/2015,Djokovic N.
44084,2.73,1,2.071717231,5/29/2017,Estrella Burgos V.
41131,1.41,0,2.059073512,4/16/2016,Nadal R.
54880,1.39,0,2.028191339,2/17/2022,Bautista Agut R.
43716,2.7,1,2.01945569,4/18/2017,Muller G.
34821,3.62,1,1.989135908,10/12/2013,Del Potro J.M.
43763,2.94,1,1.984352222,4/25/2017,Haase R.
35118,1.38,0,1.979082279,1/7/2014,Tomic B.
49732,3.4,1,1.953161897,7/16/2019,Dzumhur D.
42925,1.46,0,1.951080516,1/7/2017,Bautista Agut R.
43686,2.94,1,1.930582826,4/15/2017,Johnson S.
32381,2.72,1,1.91252059,10/24/2012,Gasquet R.
47219,1.38,0,1.912270698,7/24/2018,Bedene A.
43952,1.45,0,1.900509007,5/13/2017,Nadal R.
35850,2.6,1,1.893802683,4/10/2014,Garcia-Lopez G.
46977,1.56,0,1.889172971,6/29/2018,Zverev M.
43471,1.47,0,1.87457103,3/10/2017,Nishioka Y.
46462,1.51,0,1.870396813,5/1/2018,Dutra Silva R.
38685,1.49,0,1.86042455,5/5/2015,Mayer L.
53969,1.5,0,1.857497744,9/2/2021,Schwartzman D.
39694,1.51,0,1.856162135,8/31/2015,Gabashvili T.
57057,2.72,1,1.853182427,1/3/2023,Bautista Agut R.
39567,2.8,1,1.84517107,8/17/2015,Paire B.
41087,1.49,0,1.842450833,4/11/2016,Bautista Agut R.
33807,1.53,0,1.838401512,6/10/2013,Evans D.
51550,1.53,0,1.828386079,9/28/2020,Sock J.
31769,1.53,0,1.825582289,8/14/2012,Haas T.
36159,1.57,0,1.819760991,5/18/2014,Delbonis F.
36517,1.54,0,1.817197374,6/24/2014,Istomin D.
41231,1.47,0,1.816675705,4/26/2016,Dutra Silva R.
55869,1.51,0,1.815476553,6/22/2022,Bublik A.
38018,2.71,1,1.809123328,2/13/2015,Souza J.
44929,1.52,0,1.805013054,8/28/2017,Norrie C.
35728,3.11,1,1.801977794,3/19/2014,Mannarino A.
54399,3.09,1,1.794468934,11/20/2021,Zverev A.
38349,1.52,0,1.792829752,3/28/2015,Goffin D.
42531,1.47,0,1.78240569,10/4/2016,Baghdatis M.
35949,1.4,0,1.781582156,4/22/2014,Ramos A.
35869,2.62,1,1.779735887,4/13/2014,Garcia-Lopez G.
42062,2.85,1,1.778728402,7/22/2016,Johnson S.
37432,1.61,0,1.778721603,10/15/2014,Sock J.
50243,2.65,1,1.774051085,9/4/2019,Berrettini M.
53569,2.57,1,1.77221729,7/20/2021,Donskoy E.
42532,1.52,0,1.772154057,10/4/2016,Simon G.
47647,2.47,1,1.767299863,9/5/2018,Nishikori K.
57226,2.56,1,1.760852852,1/19/2023,Murray A.
48198,1.61,0,1.760724559,1/9/2019,Kohlschreiber P.
44230,2.7,1,1.759040295,6/16/2017,Pouille L.
40636,2.74,1,1.75674825,2/12/2016,Kohlschreiber P.
46901,2.66,1,1.755941187,6/20/2018,Kudla D.
49223,1.57,0,1.755695653,5/19/2019,Nadal R.
31092,1.51,0,1.754608788,5/29/2012,Schwank E.
56511,2.59,1,1.754527423,8/31/2022,Cachin P.
52991,2.46,1,1.754345336,5/19/2021,Bedene A.
45944,1.42,0,1.752070281,2/22/2018,Verdasco F.
40358,1.53,0,1.751559849,1/15/2016,Dimitrov G.
37972,2.62,1,1.751297533,2/10/2015,Souza J.
48669,1.54,0,1.751247665,3/1/2019,Ruud C.
57727,1.59,0,1.742930025,3/23/2023,Watanuki Y.
33819,2.73,1,1.74287849,6/11/2013,Monfils G.
34717,3.05,1,1.740563978,9/23/2013,Sijsling I.
34410,1.69,0,1.736502897,8/7/2013,Raonic M.
47262,1.55,0,1.734858803,7/28/2018,Mayer L.
35702,1.5,0,1.734656589,3/12/2014,Dolgopolov O.
47690,2.37,1,1.733922311,9/20/2018,Cecchinato M.
33508,1.61,0,1.732684275,5/5/2013,Stepanek R.
44936,1.5,0,1.731171194,8/28/2017,Coric B.
49210,2.43,1,1.729936953,5/16/2019,Del Potro J.M.
39376,1.4,0,1.719917833,7/28/2015,Bautista R.
42559,1.54,0,1.718558836,10/5/2016,Dimitrov G.
57549,1.52,0,1.716850591,2/28/2023,Tiafoe F.
36206,1.48,0,1.709254839,5/23/2014,Kohlschreiber P.
31611,2.65,1,1.708831797,7/21/2012,Haas T.
42188,1.52,0,1.708742006,8/15/2016,Coric B.
48748,1.64,0,1.708689305,3/11/2019,Karlovic I.
37017,1.52,0,1.708505926,8/15/2014,Ferrer D.
47894,1.56,0,1.707804683,10/16/2018,Verdasco F.
51655,2.34,1,1.70114515,10/12/2020,Karatsev A.
44494,1.61,0,1.699532254,7/17/2017,Laaksonen H.
47889,1.53,0,1.696432437,10/16/2018,Paire B.
53002,2.58,1,1.696321266,5/20/2021,Cuevas P.
56233,1.61,0,1.695192175,8/3/2022,Dimitrov G.
33882,2.19,1,1.694716247,6/17/2013,Verdasco F.
31418,1.54,0,1.69384603,7/4/2012,Murray A.
35516,2.65,1,1.693293963,2/21/2014,Dolgopolov O.
47254,1.54,0,1.691710473,7/27/2018,Kovalik J.
57099,2.28,1,1.691301876,1/9/2023,Goffin D.
30334,2.41,1,1.690994369,2/24/2012,Stepanek R.
44580,2.71,1,1.689196897,7/25/2017,Monteiro T.
41989,2.85,1,1.688588124,7/19/2016,Brown D.
