match,PSW,win0,confidence0,date,winner
54623,4.3,1,2.818238167,1/23/2022,Shapovalov D.
56742,1.26,0,2.516767759,10/6/2022,Tiafoe F.
56635,3.73,1,2.438329324,9/27/2022,Etcheverry T.
43847,1.53,0,2.295083545,5/2/2017,Daniel T.
52694,1.29,0,2.18071595,4/13/2021,Delbonis F.
57733,1.36,0,2.17834788,3/23/2023,Halys Q.
49703,1.42,0,2.174913597,7/15/2019,Sandgren T.
54399,3.09,1,2.160206653,11/20/2021,Zverev A.
47226,1.41,0,2.156258297,7/25/2018,Kovalik J.
44611,1.33,0,2.094821771,7/26/2017,Ferrer D.
43825,1.38,0,2.051195026,5/1/2017,Haas T.
52039,1.3,0,2.046880125,2/2/2021,Alcaraz C.
50684,3.34,1,2.037073259,1/7/2020,Ilkel C.
44121,1.34,0,2.011840026,5/30/2017,Del Potro J. M.
53420,1.41,0,1.999775501,7/1/2021,Hurkacz H.
55271,1.41,0,1.985638121,4/12/2022,Sonego L.
51881,1.35,0,1.979681852,11/5/2020,Carreno Busta P.
48681,1.56,0,1.954102659,3/2/2019,Pella G.
43971,1.35,0,1.943168433,5/16/2017,Isner J.
54052,1.4,0,1.936208773,9/25/2021,Hurkacz H.
53853,1.51,0,1.933432378,8/24/2021,Gasquet R.
54638,1.53,0,1.932423696,1/31/2022,Bhambri Y.
56330,2.51,1,1.922078108,8/12/2022,Ruud C.
46462,1.51,0,1.915129233,5/1/2018,Dutra Silva R.
57170,1.47,0,1.91483203,1/16/2023,Van De Zandschulp B.
47472,1.5,0,1.911835542,8/17/2018,Del Potro J.M.
47254,1.54,0,1.909547924,7/27/2018,Kovalik J.
57960,2.87,1,1.907401187,4/16/2023,Wessels L.
43952,1.45,0,1.906134859,5/13/2017,Nadal R.
56016,1.63,0,1.905330101,7/8/2022,Kyrgios N.
54919,3.06,1,1.896392135,2/22/2022,Pucinelli de Almeida M.
47946,1.55,0,1.890684069,10/19/2018,Monfils G.
50451,1.48,0,1.879937468,10/9/2019,Isner J.
56023,1.49,0,1.879172848,7/11/2022,Carreno Busta P.
