match,PSW,win0,confidence0,date,winner
54623,4.3,1,3.518403366,1/23/2022,Shapovalov D.
55757,1.21,0,2.877046756,6/9/2022,Auger-Aliassime F.
56742,1.26,0,2.805460177,10/6/2022,Tiafoe F.
46872,1.19,0,2.734502063,6/18/2018,Nishikori K.
54084,1.33,0,2.724603369,9/30/2021,Rublev A.
56660,1.34,0,2.577148401,9/28/2022,Safiullin R.
46859,1.38,0,2.572707024,6/16/2018,Federer R.
47039,3.32,1,2.539905971,7/3/2018,Klahn B.
50490,3.5,1,2.453157678,10/15/2019,Carballes Baena R.
54399,3.09,1,2.450551757,11/20/2021,Zverev A.
44126,1.34,0,2.418733016,5/30/2017,Del Potro J. M.
55500,3.45,1,2.319914966,5/9/2022,Wawrinka S.
47145,3.23,1,2.300152931,7/18/2018,Sela D.
53887,1.38,0,2.297574793,8/30/2021,Molcan A.
54918,3.06,1,2.274269528,2/22/2022,Pucinelli de Almeida M.
47705,1.36,0,2.269551233,9/24/2018,Norrie C.
43761,1.45,0,2.242296111,4/25/2017,Kuznetsov An.
53280,1.38,0,2.210363664,6/19/2021,Shapovalov D.
53462,1.42,0,2.208279789,7/9/2021,Berrettini M.
53458,1.34,0,2.20058687,7/7/2021,Shapovalov D.
47431,3.45,1,2.193913832,8/13/2018,Pouille L.
47223,1.41,0,2.188228944,7/25/2018,Kovalik J.
54666,1.44,0,2.148519326,2/1/2022,Munar J.
46246,3.32,1,2.133046466,3/27/2018,Isner J.
45340,1.38,0,2.12197963,10/23/2017,Simon G.
56389,1.37,0,2.114933006,8/19/2022,Norrie C.
47201,1.53,0,2.108384062,7/24/2018,Djere L.
44640,2.8,1,2.099366599,7/29/2017,Mayer F.
43058,3.03,1,2.097854002,1/18/2017,Zverev M.
50293,1.53,0,2.095832883,9/20/2019,Tsonga J.W.
54780,1.46,0,2.089575644,2/11/2022,Auger-Aliassime F.
44512,2.79,1,2.08917826,7/18/2017,Brown D.
53613,1.31,0,2.087785606,7/23/2021,Norrie C.
56214,3.5,1,2.08418597,8/1/2022,Ymer M.
46690,1.54,0,2.068788206,5/27/2018,Andreozzi G.
52206,1.43,0,2.046954413,2/13/2021,Berrettini M.
56012,1.44,0,2.038513302,7/5/2022,Norrie C.
43118,1.51,0,2.030972612,2/7/2017,Medvedev D.
51259,1.57,0,2.029922083,8/25/2020,Bautista Agut R.
52978,1.5,0,2.028789611,5/18/2021,Fognini F.
47251,1.54,0,2.028768916,7/27/2018,Kovalik J.
44800,2.65,1,2.024334281,8/11/2017,Shapovalov D.
55270,1.41,0,2.020636839,4/12/2022,Sonego L.
47209,2.63,1,2.011344711,7/24/2018,Monteiro T.
57948,1.37,1,1.007293107,4/17/2023,Baez S.
53004,1.56,0,1.998541972,5/20/2021,Shapovalov D.
48887,1.36,0,1.996269393,4/9/2019,Munar J.
48191,1.58,0,1.991622922,1/9/2019,Schwartzman D.
52194,2.58,1,1.987016964,2/11/2021,Ymer M.
54209,1.56,0,1.986997863,10/18/2021,Norrie C.
44764,2.52,1,1.983698498,8/8/2017,Carreno Busta P.
46454,1.51,0,1.980544996,5/1/2018,Dutra Silva R.
53460,2.96,1,1.95912921,7/7/2021,Hurkacz H.
43942,1.54,0,1.95691405,5/11/2017,Thiem D.
55208,1.5,0,1.956733266,4/5/2022,Thompson J.
56289,1.57,0,1.953898303,8/9/2022,Nishioka Y.
43854,1.53,0,1.949455818,5/2/2017,Daniel T.
51830,1.52,0,1.944719312,10/30/2020,Ruusuvuori E.
47111,1.5,0,1.942495197,7/16/2018,Kudla D.
43763,2.94,1,1.941965775,4/25/2017,Haase R.
43303,1.43,0,1.941096238,2/21/2017,Basilashvili N.
54494,1.56,0,1.937357407,1/13/2022,Evans D.
55595,1.29,0,1.936771273,5/22/2022,Zapata Miralles B.
52594,1.55,0,1.934813175,3/29/2021,Tiafoe F.
51891,1.56,0,1.934251912,11/7/2020,Medvedev D.
54684,1.56,0,1.932334516,2/3/2022,Vesely J.
55875,1.51,0,1.925839569,6/22/2022,Bublik A.
49169,2.71,1,1.917984631,5/12/2019,Basilashvili N.
43651,1.47,0,1.916105156,4/12/2017,Chardy J.
51348,2.73,1,1.915060337,9/2/2020,Escobedo E.
43085,1.54,0,1.912123021,1/20/2017,Tsonga J.W.
50763,1.32,0,1.901188054,1/20/2020,Pella G.
52860,2.82,1,1.900948922,5/3/2021,Giron M.
52401,1.56,0,1.896279872,3/10/2021,Rune H.
