match,PSW,win0,confidence0,date,winner
52348,1.3,0,2.860410578,3/4/2021,Cerundolo F.
43316,1.25,0,2.7182119,2/22/2017,Del Potro J.M.
56058,1.3,0,2.438148459,7/14/2022,Rublev A.
47706,1.36,0,2.384819262,9/24/2018,Norrie C.
53882,1.38,0,2.337882475,8/30/2021,Molcan A.
54399,3.09,1,2.266097664,11/20/2021,Zverev A.
43847,1.53,0,2.228821826,5/2/2017,Daniel T.
51402,1.29,0,2.183189057,9/9/2020,Hanfmann Y.
50754,1.32,0,2.175365226,1/18/2020,Rublev A.
53764,3.51,1,2.124221726,8/12/2021,Tiafoe F.
44121,1.34,0,2.122921746,5/30/2017,Del Potro J. M.
54031,1.43,0,2.120622081,9/22/2021,Gojowczyk P.
49707,1.42,0,2.044699144,7/15/2019,Sandgren T.
56639,3.73,1,2.035725924,9/27/2022,Etcheverry T.
47740,1.53,0,2.031240687,9/27/2018,Querrey S.
54934,3.06,1,2.015408343,2/22/2022,Pucinelli de Almeida M.
50452,1.48,0,2.012678902,10/9/2019,Isner J.
43410,1.4,0,2.010953346,3/1/2017,Sousa J.
50745,2.83,1,1.995931959,1/16/2020,Harris L.
47355,2.58,1,1.993547577,8/3/2018,Istomin D.
47225,1.41,0,1.986374715,7/25/2018,Kovalik J.
43349,1.47,0,1.978077312,2/24/2017,Sock J.
54193,2.86,1,1.975884242,10/13/2021,Schwartzman D.
43952,1.45,0,1.974484762,5/13/2017,Nadal R.
43825,1.38,0,1.96571323,5/1/2017,Haas T.
47615,3.31,1,1.932987689,8/30/2018,Basilashvili N.
47898,1.39,0,1.923384744,10/16/2018,Monfils G.
48578,1.49,0,1.916630452,2/22/2019,Humbert U.
43763,2.94,1,1.903377136,4/25/2017,Haase R.
50291,1.53,0,1.89322512,9/20/2019,Tsonga J.W.
56057,2.77,1,1.890188715,7/14/2022,Thiem D.
51550,1.53,0,1.888537836,9/28/2020,Sock J.
56760,1.54,0,1.878182182,10/8/2022,Djokovic N.
56334,2.51,1,1.873344834,8/12/2022,Ruud C.
55201,1.5,0,1.872337273,4/5/2022,Thompson J.
53007,1.5,0,1.866905183,5/21/2021,Shapovalov D.
51369,1.58,0,1.859833984,9/4/2020,Auger-Aliassime F.
43640,1.45,0,1.857286532,4/10/2017,Robredo T.
47751,2.6,1,1.856329364,9/28/2018,Fritz T.
47799,1.43,0,1.853950608,10/4/2018,Anderson K.
43716,2.7,1,1.846945455,4/18/2017,Muller G.
47335,2.74,1,1.839184197,8/2/2018,Istomin D.
54659,1.44,0,1.836544341,2/1/2022,Munar J.
53613,1.62,0,1.825599961,7/23/2021,Nakashima B.
55869,1.51,0,1.824756181,6/22/2022,Bublik A.
49848,1.38,0,1.822570518,7/26/2019,Zverev A.
43010,1.4,0,1.821420396,1/16/2017,Tomic B.
52638,2.67,1,1.820795893,4/6/2021,Kovalik J.
43783,2.73,1,1.819989338,4/26/2017,Karlovic I.
56516,2.66,1,1.816858477,8/31/2022,Moutet C.
48899,1.42,0,1.81578306,4/9/2019,Giraldo S.
49223,1.57,0,1.812952367,5/19/2019,Nadal R.
53581,1.46,0,1.811586885,7/21/2021,Gasquet R.
52905,1.54,0,1.810763955,5/7/2021,Berrettini M.
55383,1.6,0,1.809048023,4/25/2022,Kwon S.W.
49781,1.51,0,1.806642621,7/22/2019,Travaglia S.
49758,1.47,0,1.803747521,7/18/2019,Bagnis F.
56993,2.62,1,1.794327691,11/2/2022,Rune H.
49952,1.62,0,1.791089518,8/2/2019,Fritz T.
45455,1.57,0,1.790673359,11/15/2017,Dimitrov G.
57567,1.57,0,1.790294573,3/1/2023,Hanfmann Y.
46759,1.5,0,1.785381922,5/30/2018,Carreno Busta P.
52925,2.47,1,1.784460525,5/11/2021,Auger-Aliassime F.
47131,1.54,0,1.778083826,7/17/2018,Delbonis F.
43233,1.59,0,1.775999095,2/15/2017,Herbert P.H.
55662,2.56,1,1.775943375,5/25/2022,Nakashima B.
47250,1.54,0,1.775739663,7/27/2018,Kovalik J.
55354,2.7,1,1.775612283,4/21/2022,Otte O.
48782,2.34,1,1.774039635,3/20/2019,Carballes Baena R.
55969,1.52,0,1.766429762,6/29/2022,Goffin D.
54894,1.58,0,1.764003184,2/18/2022,Bautista Agut R.
47262,1.55,0,1.759850612,7/28/2018,Mayer L.
46314,2.38,1,1.758939762,4/15/2018,Zverev M.
47396,1.67,0,1.758702211,8/8/2018,Shapovalov D.
49674,1.52,0,1.758381061,7/5/2019,Bautista Agut R.
42983,1.43,0,1.757272984,1/14/2017,Sock J.
57769,1.62,0,1.754380116,3/26/2023,Ruusuvuori E.
43713,1.56,0,1.742591146,4/18/2017,Lorenzi P.
48838,1.55,0,1.738985562,3/23/2019,Shapovalov D.
49456,2.75,1,1.738962018,6/16/2019,Mannarino A.
47144,1.57,0,1.736897938,7/18/2018,Lajovic D.
45116,2.52,1,1.732001674,9/27/2017,Gojowczyk P.
46069,1.45,0,1.73159795,3/8/2018,Tsitsipas S.
48497,2.89,1,1.731548329,2/16/2019,Schwartzman D.
50684,3.34,1,1.730589775,1/7/2020,Ilkel C.
46065,1.52,0,1.726913061,3/4/2018,Del Potro J.M.
47467,1.5,0,1.722219112,8/17/2018,Del Potro J.M.
52856,1.57,0,1.72083683,5/2/2021,Ramos-Vinolas A.
44610,2.55,1,1.718729626,7/26/2017,Vesely J.
48111,1.37,0,1.716985206,1/1/2019,Thompson J.
43132,1.51,0,1.715087284,2/7/2017,Medvedev D.
47750,1.54,0,1.714848648,9/28/2018,Sousa J.
46735,1.5,0,1.714647889,5/29/2018,Johnson S.
50065,2.37,1,1.71325312,8/15/2019,Khachanov K.
56183,2.56,1,1.708878418,7/28/2022,Bagnis F.
55013,2.49,1,1.708493537,3/11/2022,Thompson J.
44641,2.8,1,1.70840534,7/29/2017,Mayer F.
52228,1.41,0,1.707727487,2/22/2021,Korda S.
51210,2.37,1,1.7070099,2/28/2020,Fritz T.
47754,1.69,0,1.706101041,9/29/2018,Fognini F.
46722,1.4,0,1.699934611,5/28/2018,Paire B.
47744,2.34,1,1.695333511,9/27/2018,Ebden M.
49724,1.65,0,1.694441586,7/16/2019,Novak D.
47915,1.6,0,1.691203043,10/17/2018,Herbert P.H.
53487,1.48,0,1.690811916,7/13/2021,Sandgren T.
50946,1.57,0,1.687100798,2/7/2020,Garin C.
52634,1.41,0,1.68686802,4/6/2021,Mager G.
45075,2.54,1,1.685849625,9/22/2017,Paire B.
53244,1.68,0,1.680318339,6/15/2021,Humbert U.
49566,1.74,0,1.679758532,6/27/2019,Kecmanovic M.
47305,1.59,0,1.6763211,8/1/2018,Zverev M.
51209,2.72,1,1.675922114,2/28/2020,Dimitrov G.
48669,1.54,0,1.675574315,3/1/2019,Ruud C.
44511,1.65,0,1.675156141,7/18/2017,Bagnis F.
54205,1.56,0,1.674564864,10/18/2021,Norrie C.
55196,2.59,1,1.673597449,4/5/2022,Coria F.
48132,1.6,0,1.671241681,1/2/2019,Paire B.
47463,2.55,1,1.67105211,8/16/2018,Kyrgios N.
54822,2.23,1,1.670851314,2/15/2022,Monteiro T.
50637,1.59,0,1.67060447,10/30/2019,Wawrinka S.
49716,2.34,1,1.669988789,7/16/2019,Zverev M.
43368,1.71,0,1.669966567,2/27/2017,Granollers M.
47895,1.53,0,1.667585819,10/16/2018,Paire B.
50456,1.58,0,1.667391463,10/10/2019,Zverev A.
56899,1.79,0,1.66709151,10/23/2022,Musetti L.
47938,2.37,1,1.665625742,10/19/2018,Fognini F.
49795,1.49,0,1.665536003,7/23/2019,Gasquet R.
47132,1.51,0,1.665390186,7/17/2018,Bolelli S.
54639,1.53,0,1.663697503,1/31/2022,Bhambri Y.
44230,2.7,1,1.662006462,6/16/2017,Pouille L.
44514,2.79,1,1.661426636,7/18/2017,Brown D.
53662,2.69,1,1.659943885,7/29/2021,Rinderknech A.
51504,1.58,0,1.659731369,9/24/2020,Humbert U.
52963,2.45,1,1.659605413,5/17/2021,Sandgren T.
52846,2.45,1,1.658760307,5/1/2021,Ramos-Vinolas A.
48017,2.74,1,1.658752547,10/28/2018,Anderson K.
57908,1.56,0,1.657572813,4/10/2023,Thiem D.
55347,1.51,0,1.656666227,4/20/2022,Auger-Aliassime F.
49999,2.65,1,1.654704476,8/7/2019,Basilashvili N.
48495,1.58,0,1.654426188,2/15/2019,Opelka R.
53417,1.41,0,1.653425939,7/1/2021,Hurkacz H.
49199,1.53,0,1.652500063,5/16/2019,Federer R.
48434,1.69,0,1.64913118,2/12/2019,Opelka R.
52843,2.95,1,1.648931357,4/30/2021,Norrie C.
52877,1.64,0,1.647556172,5/4/2021,Davidovich Fokina A.
49746,2.44,1,1.646506022,7/17/2019,Ebden M.
57597,2.89,1,1.645820977,3/3/2023,Medvedev D.
46480,1.54,0,1.644358551,5/2/2018,Dutra Silva R.
56691,2.26,1,1.644130696,9/30/2022,Musetti L.
57715,2.21,1,1.644017395,3/22/2023,Djere L.
54870,2.63,1,1.643052992,2/17/2022,Safiullin R.
43205,2.52,1,1.641556313,2/14/2017,Coric B.
52331,1.54,0,1.640149348,3/3/2021,Khachanov K.
50992,2.56,1,1.638673645,2/12/2020,Seppi A.
47999,1.61,0,1.636917406,10/25/2018,Nishikori K.
44713,1.57,0,1.636867847,8/3/2017,Kohlschreiber P.
57259,1.64,0,1.636777896,1/22/2023,Korda S.
50931,1.7,0,1.635999599,2/6/2020,Duckworth J.
54493,1.61,0,1.635771005,1/12/2022,Opelka R.
52288,1.61,0,1.634986758,2/26/2021,Bagnis F.
43137,2.71,1,1.634797558,2/8/2017,Olivo R.
45879,1.69,0,1.633471182,2/17/2018,Querrey S.
52945,1.79,0,1.632227868,5/12/2021,Bautista Agut R.
55814,1.66,0,1.631411721,6/15/2022,Kyrgios N.
54692,1.62,0,1.630773437,2/3/2022,Sonego L.
51131,1.58,0,1.629545098,2/23/2020,Opelka R.
49218,1.72,0,1.627608801,5/17/2019,Tsitsipas S.
53539,1.51,0,1.627178321,7/17/2021,Carreno Busta P.
