match,PSW,win0,confidence0,date,winner
56746,1.26,0,2.426065357,10/6/2022,Tiafoe F.
41131,1.41,0,2.237444458,4/16/2016,Nadal R.
54880,1.39,0,2.219673306,2/17/2022,Bautista Agut R.
32835,3.05,1,2.176618193,2/12/2013,Pospisil V.
42683,3.4,1,2.149574447,10/19/2016,Bublik A.
30128,1.33,0,2.036362054,2/1/2012,Gasquet R.
42056,2.85,1,1.98875298,7/22/2016,Johnson S.
30501,1.52,0,1.969742757,3/12/2012,Almagro N.
43716,2.7,1,1.96826767,4/18/2017,Muller G.
43952,1.45,0,1.955886414,5/13/2017,Nadal R.
30498,2.83,1,1.955247627,3/11/2012,Giraldo S.
42538,1.52,0,1.949084596,10/4/2016,Simon G.
43687,2.94,1,1.94303311,4/15/2017,Johnson S.
43897,1.36,0,1.942879289,5/7/2017,Carreno Busta P.
32381,2.72,1,1.928230386,10/24/2012,Gasquet R.
42108,2.86,1,1.926351366,7/27/2016,Karlovic I.
47940,1.55,0,1.925526196,10/19/2018,Monfils G.
52839,2.6,1,1.8947336,4/29/2021,Moutet C.
34426,3.03,1,1.893990417,8/11/2013,Nadal R.
31153,1.48,0,1.893646148,6/6/2012,Ferrer D.
39946,2.97,1,1.883785876,10/8/2015,Fognini F.
42190,2.86,1,1.871489023,8/15/2016,Cuevas P.
43430,1.38,0,1.869746689,3/2/2017,Cuevas P.
43763,2.94,1,1.86627574,4/25/2017,Haase R.
43414,1.4,0,1.85711059,3/1/2017,Sousa J.
54104,1.51,0,1.856450867,10/2/2021,Ruud C.
34297,2.65,1,1.847866487,7/28/2013,Robredo T.
35730,3.11,1,1.845360002,3/19/2014,Mannarino A.
48276,3.23,1,1.839376198,1/15/2019,Bolt A.
35742,1.43,0,1.835592925,3/20/2014,Istomin D.
36103,2.63,1,1.835365442,5/11/2014,Melzer J.
46456,1.51,0,1.829935738,5/1/2018,Dutra Silva R.
47252,1.54,0,1.826085768,7/27/2018,Kovalik J.
48560,1.52,0,1.821514609,2/21/2019,Mcdonald M.
38403,2.67,1,1.818938656,4/6/2015,Kukushkin M.
31610,2.65,1,1.803307201,7/21/2012,Haas T.
37750,2.4,1,1.799282861,1/19/2015,Kokkinakis T.
32107,1.52,0,1.797499208,10/1/2012,Mayer F.
31770,1.53,0,1.795848361,8/14/2012,Haas T.
39565,2.98,1,1.790655932,8/16/2015,Murray A.
30343,1.51,0,1.78808612,2/25/2012,Almagro N.
42717,1.49,0,1.780439792,10/22/2016,Del Potro J.M.
47396,1.67,0,1.777857515,8/8/2018,Shapovalov D.
31419,1.54,0,1.776552366,7/4/2012,Murray A.
56190,2.56,1,1.776257782,7/28/2022,Bagnis F.
38822,1.53,0,1.775464856,5/22/2015,Bellucci T.
43649,1.47,0,1.772842869,4/12/2017,Chardy J.
49169,2.71,1,1.76889112,5/12/2019,Basilashvili N.
47464,2.55,1,1.765043723,8/16/2018,Kyrgios N.
49956,1.64,0,1.763044954,8/2/2019,Ramos-Vinolas A.
54187,1.49,0,1.756790109,10/12/2021,Sinner J.
39686,1.51,0,1.754811826,8/31/2015,Gabashvili T.
54399,3.09,1,1.750775812,11/20/2021,Zverev A.
47335,2.74,1,1.749973472,8/2/2018,Istomin D.
43014,1.58,0,1.748964264,1/16/2017,Jaziri M.
53569,2.57,1,1.743699618,7/20/2021,Donskoy E.
47893,1.56,0,1.740085332,10/16/2018,Verdasco F.
38981,1.56,0,1.733466802,6/10/2015,Muller G.
52072,2.41,1,1.727957148,2/4/2021,Khachanov K.
45311,2.71,1,1.721698282,10/19/2017,Berankis R.
34715,3.05,1,1.719279681,9/23/2013,Sijsling I.
52100,1.48,0,1.714150136,2/8/2021,Shapovalov D.
47922,1.53,0,1.709248532,10/18/2018,Monfils G.
57019,2.46,1,1.708835467,11/13/2022,Fritz T.
43839,1.53,0,1.708548593,5/2/2017,Daniel T.
53277,2.41,1,1.708528922,6/19/2021,Humbert U.
53056,1.65,0,1.704397859,5/26/2021,Delbonis F.
42982,1.43,0,1.699597665,1/14/2017,Sock J.
45917,1.52,0,1.697126119,2/20/2018,Cuevas P.
43135,2.71,1,1.693917222,2/8/2017,Olivo R.
50294,1.53,0,1.693696547,9/20/2019,Tsonga J.W.
48499,2.89,1,1.691802469,2/16/2019,Schwartzman D.
46592,2.59,1,1.691664099,5/14/2018,Ramos-Vinolas A.
41045,2.31,1,1.69042056,4/5/2016,Barton M.
52521,1.54,0,1.687173961,3/20/2021,Karatsev A.
44084,2.73,1,1.68565887,5/29/2017,Estrella Burgos V.
39567,2.8,1,1.684829783,8/17/2015,Paire B.
55515,2.44,1,1.684012085,5/11/2022,Cilic M.
53540,1.51,0,1.683292272,7/17/2021,Carreno Busta P.
47750,1.54,0,1.675158848,9/28/2018,Sousa J.
43782,2.73,1,1.674766843,4/26/2017,Karlovic I.
52121,1.56,0,1.672852701,2/8/2021,Ruusuvuori E.
55752,1.61,0,1.671959831,6/9/2022,Ivashka I.
54555,1.58,0,1.670524554,1/18/2022,Baez S.
56512,2.66,1,1.670053455,8/31/2022,Moutet C.
44505,1.65,0,1.668599853,7/18/2017,Bagnis F.
49952,1.62,0,1.66820718,8/2/2019,Fritz T.
31771,1.52,0,1.666948611,8/14/2012,Nishikori K.
45225,2.33,1,1.666316996,10/10/2017,Struff J.L.
52801,2.2,1,1.665053979,4/26/2021,Berankis R.
36156,1.57,0,1.664123744,5/18/2014,Delbonis F.
49223,1.57,0,1.6637144,5/19/2019,Nadal R.
33652,1.51,0,1.663299937,5/22/2013,Roger-Vasselin E.
52982,1.5,0,1.660102347,5/18/2021,Fognini F.
38466,2.64,1,1.659276047,4/13/2015,Stakhovsky S.
42416,1.65,0,1.659078997,9/19/2016,Benneteau J.
