match,PSW,win0,confidence0,date,winner
40307,1.18,0,3.124460515,1/9/2016,Djokovic N.
50948,1.2,0,2.914270498,2/7/2020,Schwartzman D.
41057,1.31,0,2.630225298,4/7/2016,Carreno Busta P.
56742,1.26,0,2.512532166,10/6/2022,Tiafoe F.
38302,1.34,0,2.44347891,3/21/2015,Djokovic N.
56057,1.3,0,2.406454426,7/14/2022,Rublev A.
43923,1.39,0,2.395808898,5/9/2017,Almagro N.
34821,3.62,1,2.39011598,10/12/2013,Del Potro J.M.
41131,1.41,0,2.376034573,4/16/2016,Nadal R.
33338,1.3,0,2.345692532,4/16/2013,Ramos A.
47409,3.51,1,2.249125149,8/9/2018,Haase R.
53887,1.38,0,2.230321128,8/30/2021,Molcan A.
48178,1.49,0,2.210565532,1/8/2019,Thompson J.
42286,1.45,0,2.174145154,8/26/2016,Bautista Agut R.
40018,1.32,0,2.164522325,10/17/2015,Djokovic N.
43419,1.38,0,2.155806318,3/2/2017,Cuevas P.
43952,1.45,0,2.138209961,5/13/2017,Nadal R.
37581,1.39,0,2.12901349,10/31/2014,Djokovic N.
56387,1.37,0,2.117666263,8/19/2022,Norrie C.
57329,1.4,0,2.117664768,2/10/2023,Baez S.
48115,1.37,0,2.106482162,1/1/2019,Thompson J.
35918,3.45,1,2.090570394,4/19/2014,Federer R.
41400,2.93,1,2.084369174,5/15/2016,Murray A.
34087,1.33,0,2.084173889,7/9/2013,Ram R.
54426,1.34,0,2.076764998,1/5/2022,Cilic M.
47248,1.54,0,2.041260261,7/27/2018,Kovalik J.
53826,1.43,0,2.039550465,8/21/2021,Tsitsipas S.
37893,1.47,0,2.029910222,2/3/2015,Pouille L.
44208,3.27,1,2.028754937,6/13/2017,Kozlov S.
42193,1.52,0,2.026128933,8/15/2016,Coric B.
39565,2.98,1,2.024937705,8/16/2015,Murray A.
50789,1.52,0,2.024543764,1/21/2020,Mmoh M.
40652,1.5,0,2.009842937,2/13/2016,Monfils G.
43764,2.94,1,2.004054236,4/25/2017,Haase R.
34439,3.15,1,1.998558535,8/13/2013,Lopez F.
49707,1.42,0,1.998462849,7/15/2019,Sandgren T.
56506,1.41,0,1.980850461,8/31/2022,Davidovich Fokina A.
43380,1.37,0,1.979210375,2/28/2017,Delbonis F.
34622,1.55,0,1.977239594,8/30/2013,Benneteau J.
54455,1.51,0,1.975793184,1/10/2022,Sonego L.
33908,1.36,0,1.97065107,6/19/2013,Malisse X.
54117,2.75,1,1.948843408,10/7/2021,Daniel T.
52598,1.55,0,1.943033582,3/29/2021,Tiafoe F.
43108,1.54,0,1.940442729,1/26/2017,Federer R.
45573,2.77,1,1.938748471,1/10/2018,Fognini F.
50347,3.69,1,1.936090575,9/27/2019,Bublik A.
