match,PSW,win0,confidence0,date,winner
56191,2.32,1,1.321350118,7/29/2022,Agamenone F.
56187,5.78,0,0.942432729,7/28/2022,Agamenone F.
56156,4.92,0,0.771759418,7/26/2022,Agamenone F.
43645,19.16,0,0.946397776,4/11/2017,Ahouda A.
53563,1.77,0,1.369024715,7/20/2021,Ajdukovic D.
49465,2.24,1,1.401488369,6/17/2019,Albot R.
47696,2.11,1,1.377774971,9/21/2018,Albot R.
44338,1.75,0,1.373269658,6/28/2017,Albot R.
48385,2.43,1,1.337026991,2/7/2019,Albot R.
51687,2.31,1,1.32129514,10/14/2020,Albot R.
45818,2.22,0,1.234213167,2/13/2018,Albot R.
51788,1.68,1,1.229078364,10/26/2020,Albot R.
48583,2.38,1,1.223284638,2/22/2019,Albot R.
49945,1.44,1,1.21285194,8/1/2019,Albot R.
46701,2.12,1,1.211229631,5/27/2018,Albot R.
54823,1.74,0,1.202128246,2/15/2022,Albot R.
50562,1.85,1,1.201854289,10/22/2019,Albot R.
56258,2.87,0,1.194338801,8/4/2022,Albot R.
51519,2.73,0,1.18206284,9/27/2020,Albot R.
49816,1.81,0,1.17686613,7/23/2019,Albot R.
55723,1.96,0,1.17284695,6/6/2022,Albot R.
48541,2.15,1,1.170053843,2/19/2019,Albot R.
56664,1.76,1,1.149204926,9/28/2022,Albot R.
49953,2.02,0,1.147908796,8/2/2019,Albot R.
54539,1.93,0,1.143828662,1/17/2022,Albot R.
44934,1.77,1,1.137228267,8/28/2017,Albot R.
52275,1.73,1,1.134785096,2/25/2021,Albot R.
50370,2.2,1,1.127706648,10/1/2019,Albot R.
48237,2.19,0,1.120061215,1/14/2019,Albot R.
47662,2.4,0,1.116979015,9/18/2018,Albot R.
46180,2.3,0,1.116780992,3/22/2018,Albot R.
48730,1.93,1,1.10447534,3/10/2019,Albot R.
47682,3.23,0,1.100554419,9/20/2018,Albot R.
49265,1.83,0,1.081845209,5/23/2019,Albot R.
57366,1.53,1,1.0702113,2/14/2023,Albot R.
48378,3.23,0,1.069652474,2/6/2019,Albot R.
47043,3.14,0,1.068890498,7/3/2018,Albot R.
48462,2.35,0,1.057683577,2/13/2019,Albot R.
44579,1.81,1,1.049706657,7/25/2017,Albot R.
50625,1.87,0,1.049118765,10/29/2019,Albot R.
44995,3.18,0,1.046555115,8/31/2017,Albot R.
54573,2.62,0,1.0428025,1/19/2022,Albot R.
49262,1.8,1,1.040599948,5/22/2019,Albot R.
48703,1.49,1,1.040068245,3/8/2019,Albot R.
44317,3.1,0,1.02790851,6/26/2017,Albot R.
48591,2.44,0,1.022405607,2/24/2019,Albot R.
51651,2.47,0,0.999275684,10/12/2020,Albot R.
43117,1.18,1,0.998430793,2/6/2017,Albot R.
49237,2.46,0,0.995518706,5/20/2019,Albot R.
49921,1.41,1,0.98926074,7/31/2019,Albot R.
57414,2.21,1,0.988359834,2/16/2023,Albot R.
52295,3.06,0,0.986086916,2/26/2021,Albot R.
48565,2.65,0,0.975984641,2/21/2019,Albot R.
52185,2.48,0,0.968546885,2/11/2021,Albot R.
47048,3.19,0,0.959168881,7/4/2018,Albot R.
45865,4.65,0,0.958673481,2/15/2018,Albot R.
52160,11.37,0,0.957352815,2/9/2021,Albot R.
43639,2.52,0,0.952127335,4/10/2017,Albot R.
50621,2.56,0,0.950735749,10/28/2019,Albot R.
51892,1.6,1,0.94972184,11/8/2020,Albot R.
51849,3.67,0,0.94781799,11/2/2020,Albot R.
46633,4.7,0,0.947251968,5/20/2018,Albot R.
52238,1.49,1,0.938897501,2/23/2021,Albot R.
49985,2.04,0,0.935881988,8/6/2019,Albot R.
44513,1.34,1,0.93452054,7/18/2017,Albot R.
48407,2.01,0,0.934231956,2/8/2019,Albot R.
56248,1.29,1,0.930284629,8/3/2022,Albot R.
48939,2.54,0,0.917449707,4/15/2019,Albot R.
46283,2.24,0,0.907641041,4/11/2018,Albot R.
47297,3.3,0,0.906042576,7/31/2018,Albot R.
49195,2.81,0,0.905471895,5/14/2019,Albot R.
51903,4.16,0,0.897521133,11/10/2020,Albot R.
57295,1.07,1,0.887723088,2/8/2023,Albot R.
57422,6.61,0,0.876284321,2/17/2023,Albot R.
48592,2.76,0,0.873583657,2/24/2019,Albot R.
54636,1.28,1,0.864794671,1/31/2022,Albot R.
50031,3.6,0,0.858025444,8/12/2019,Albot R.
49300,1.33,1,0.845068293,5/27/2019,Albot R.
53550,3.37,0,0.839051359,7/19/2021,Albot R.
48988,1.28,1,0.823707341,4/22/2019,Albot R.
48793,1.32,1,0.796608142,3/21/2019,Albot R.
44420,1.21,1,0.687827678,7/4/2017,Albot R.
56627,,1,,9/26/2022,Albot R.
53872,1.56,0,1.649741477,8/27/2021,Alcaraz C.
55372,1.61,0,1.522971171,4/24/2022,Alcaraz C.
53861,1.8,0,1.33507971,8/25/2021,Alcaraz C.
52155,1.75,0,1.292002525,2/9/2021,Alcaraz C.
55479,1.84,1,1.254581569,5/6/2022,Alcaraz C.
54896,1.61,0,1.244288734,2/19/2022,Alcaraz C.
55482,2.13,0,1.233554739,5/7/2022,Alcaraz C.
54309,2.84,0,1.211031158,10/29/2021,Alcaraz C.
53611,1.98,1,1.200122783,7/23/2021,Alcaraz C.
52659,2.93,0,1.172645516,4/9/2021,Alcaraz C.
53151,1.65,1,1.148539399,6/3/2021,Alcaraz C.
55486,1.65,1,1.120537326,5/8/2022,Alcaraz C.
56565,1.56,1,1.116510272,9/8/2022,Alcaraz C.
56567,1.47,1,1.111676608,9/10/2022,Alcaraz C.
56906,1.34,1,1.104762474,10/24/2022,Alcaraz C.
52626,1.47,1,1.094323902,4/6/2021,Alcaraz C.
53868,1.87,1,1.091193361,8/26/2021,Alcaraz C.
55956,1.29,1,1.090647813,6/29/2022,Alcaraz C.
56568,1.48,1,1.088559173,9/11/2022,Alcaraz C.
54263,1.8,0,1.085251706,10/25/2021,Alcaraz C.
55986,1.3,1,1.080660139,7/1/2022,Alcaraz C.
56387,1.28,1,1.074982136,8/19/2022,Alcaraz C.
57007,1.32,1,1.071034361,11/3/2022,Alcaraz C.
