match,PSW,win0,confidence0,date,winner
56742,1.26,0,2.849996999,10/6/2022,Tiafoe F.
40017,1.32,0,2.76739274,10/17/2015,Djokovic N.
40397,1.31,0,2.618987675,1/19/2016,Smyczek T.
53880,1.38,0,2.473043351,8/30/2021,Molcan A.
37395,3.45,1,2.37078919,10/11/2014,Federer R.
50486,3.45,1,2.292944876,10/15/2019,Karlovic I.
37997,3.37,1,2.248006039,2/12/2015,Vanni L.
48116,1.37,0,2.241387354,1/1/2019,Thompson J.
33214,3.97,1,2.241172967,3/22/2013,Zemlja G.
41055,1.31,0,2.223648343,4/7/2016,Carreno Busta P.
49918,1.23,0,2.215925398,7/31/2019,Kwon S.W.
41052,1.31,0,2.204090659,4/6/2016,Querrey S.
43420,1.32,0,2.162543064,3/2/2017,Fognini F.
41131,1.41,0,2.142946652,4/16/2016,Nadal R.
35836,1.33,0,2.125123366,4/9/2014,Montanes A.
34428,3.03,1,2.123505908,8/11/2013,Nadal R.
41098,1.45,0,2.118265486,4/12/2016,Bautista Agut R.
52517,3.18,1,2.117609502,3/19/2021,Harris L.
45355,1.41,0,2.103793126,10/24/2017,Struff J.L.
41415,3.33,1,2.0845508,5/17/2016,Mannarino A.
33902,1.36,0,2.074519402,6/19/2013,Malisse X.
43923,1.39,0,2.056714344,5/9/2017,Almagro N.
55500,3.45,1,2.043949185,5/9/2022,Wawrinka S.
55091,2.72,1,2.039084077,3/19/2022,Fritz T.
46066,1.52,0,2.034255207,3/4/2018,Del Potro J.M.
39387,1.28,0,2.024671336,7/28/2015,Groth S.
50481,3.5,1,2.003639254,10/15/2019,Carballes Baena R.
53279,1.38,0,2.003140076,6/19/2021,Shapovalov D.
56425,1.35,0,2.001310105,8/24/2022,Sonego L.
56387,1.37,0,1.995009243,8/19/2022,Norrie C.
56338,1.51,0,1.993720243,8/14/2022,Carreno Busta P.
43421,1.38,0,1.988260584,3/2/2017,Cuevas P.
34379,1.51,0,1.97850015,8/5/2013,Gulbis E.
38018,2.71,1,1.972103589,2/13/2015,Souza J.
51546,1.53,0,1.971714639,9/28/2020,Sock J.
33095,3.07,1,1.971569693,3/8/2013,Phau B.
36309,2.65,1,1.968307436,5/30/2014,Isner J.
43952,1.45,0,1.952552952,5/13/2017,Nadal R.
37048,1.46,0,1.951835153,8/19/2014,Goffin D.
54399,3.09,1,1.938117428,11/20/2021,Zverev A.
49952,1.62,0,1.93733863,8/2/2019,Fritz T.
52802,1.53,0,1.928237334,4/26/2021,Borges N.
36672,1.5,0,1.927823355,7/11/2014,Bautista R.
41425,1.41,0,1.927072912,5/17/2016,Bellucci T.
54919,3.06,1,1.926687624,2/22/2022,Pucinelli de Almeida M.
40774,2.63,1,1.92332896,2/23/2016,Tursunov D.
52112,1.48,0,1.920407592,2/8/2021,Shapovalov D.
35391,1.49,0,1.917007858,2/11/2014,Volandri F.
48580,1.49,0,1.914332399,2/22/2019,Humbert U.
55348,2.7,1,1.91333715,4/21/2022,Otte O.
52838,2.6,1,1.911750102,4/29/2021,Moutet C.
56803,1.53,0,1.910531864,10/13/2022,Musetti L.
56018,1.43,0,1.906271267,7/11/2022,Johnson S.
41886,2.96,1,1.897241668,7/12/2016,Olivo R.
49707,1.42,0,1.895177126,7/15/2019,Sandgren T.
32918,1.44,0,1.894989528,2/19/2013,Davydenko N.
48365,1.52,0,1.889077502,2/5/2019,Carballes Baena R.
41319,2.52,1,1.888031344,5/4/2016,Sock J.
41091,1.49,0,1.887781013,4/11/2016,Bautista Agut R.
34381,2.8,1,1.88545809,8/5/2013,Paire B.
43781,2.73,1,1.884830617,4/26/2017,Karlovic I.
46376,1.49,0,1.882176548,4/23/2018,Garcia-Lopez G.
47249,1.54,0,1.881526027,7/27/2018,Kovalik J.
32518,1.52,0,1.879143218,1/2/2013,Baghdatis M.
53249,1.49,0,1.873799779,6/15/2021,Kohlschreiber P.
39479,1.36,0,1.873231579,8/5/2015,Kohlschreiber P.
38505,1.4,0,1.871338513,4/18/2015,Djokovic N.
56198,2.72,1,1.870052658,7/29/2022,Ivashka I.
40827,3.49,1,1.869896874,2/26/2016,Cervantes I.
43667,1.55,0,1.86785934,4/13/2017,Vesely J.
36465,1.35,0,1.86762586,6/19/2014,Gasquet R.
41016,1.61,0,1.865980774,3/30/2016,Monfils G.
47354,2.58,1,1.864551493,8/3/2018,Istomin D.
43685,2.94,1,1.86450379,4/15/2017,Johnson S.
40414,1.46,0,1.862092756,1/19/2016,Kuznetsov An.
48206,1.56,0,1.859805428,1/10/2019,Kohlschreiber P.
42286,1.45,0,1.85879223,8/26/2016,Bautista Agut R.
35444,1.72,0,1.858473853,2/15/2014,Fognini F.
41852,1.44,0,1.856889498,7/3/2016,Vesely J.
52037,1.49,0,1.849433006,2/2/2021,Kukushkin M.
40165,2.93,1,1.848319296,11/2/2015,Paire B.
51511,1.39,0,1.841451109,9/25/2020,Tsitsipas S.
56184,2.56,1,1.840217717,7/28/2022,Bagnis F.
41400,2.72,1,1.839243174,5/15/2016,Mannarino A.
57111,1.51,0,1.837928009,1/10/2023,Paul T.
35730,3.11,1,1.834393625,3/19/2014,Mannarino A.
41631,2.52,1,1.821542333,6/12/2016,Thiem D.
55342,1.51,0,1.821010567,4/20/2022,Auger-Aliassime F.
47696,1.5,0,1.818945707,9/21/2018,Wawrinka S.
54684,2.8,1,1.818295079,2/3/2022,Gasquet R.
38462,2.64,1,1.813552417,4/13/2015,Stakhovsky S.
53265,1.43,0,1.812430098,6/17/2021,Shapovalov D.
37581,1.39,0,1.8119999,10/31/2014,Djokovic N.
47828,1.59,0,1.810164365,10/8/2018,Fritz T.
57599,2.89,1,1.808499919,3/3/2023,Medvedev D.
47736,1.59,0,1.80474618,9/26/2018,Sousa J.
40657,1.53,0,1.803034852,2/15/2016,Paire B.
54986,1.63,0,1.800223903,2/25/2022,Baez S.
43760,2.94,1,1.791296825,4/25/2017,Haase R.
48424,1.54,0,1.791128465,2/11/2019,Wawrinka S.
33623,1.57,0,1.791064292,5/20/2013,Ghem A.
38657,1.55,0,1.790821912,5/2/2015,Gasquet R.
52237,1.49,0,1.790421116,2/23/2021,Albot R.
41257,1.53,0,1.787859061,4/28/2016,Almagro N.
32664,1.54,0,1.787770895,1/15/2013,Berankis R.
34417,1.54,0,1.78727275,8/8/2013,Davydenko N.
48316,2.74,1,1.787248351,1/18/2019,Bautista Agut R.
42064,2.85,1,1.786514049,7/22/2016,Johnson S.
51707,1.51,0,1.786133582,10/16/2020,Shapovalov D.
34474,3.14,1,1.78442221,8/16/2013,Berdych T.
39134,1.54,0,1.781882773,6/29/2015,Berankis R.
35259,2.56,1,1.781439209,1/17/2014,Fognini F.
57553,1.57,0,1.781236424,2/28/2023,Jarry N.
33927,2.4,1,1.77989645,6/21/2013,Mahut N.
54756,1.53,0,1.778667428,2/9/2022,Kwon S.W.
53411,1.54,0,1.777427563,6/30/2021,Mager G.
38678,1.56,0,1.777175321,5/5/2015,Kohlschreiber P.
50251,1.58,0,1.776386916,9/16/2019,Hoang A.
51084,1.56,0,1.775365633,2/19/2020,Garin C.
40742,2.83,1,1.775316061,2/21/2016,Querrey S.
47928,1.53,0,1.774808428,10/18/2018,Monfils G.
57257,1.64,0,1.774001929,1/22/2023,Korda S.
38331,3.2,1,1.771145296,3/26/2015,Kukushkin M.
