match,PSW,win0,confidence0,date,winner
54451,1.25,0,3.103541276,1/8/2022,Nadal R.
51168,1.37,0,2.590789492,2/25/2020,Auger-Aliassime F.
50489,3.5,1,2.513643146,10/15/2019,Carballes Baena R.
44636,1.37,0,2.409896069,7/28/2017,Sock J.
43952,1.45,0,2.346796758,5/13/2017,Nadal R.
47233,1.41,0,2.346676885,7/25/2018,Kovalik J.
44122,1.34,0,2.332416477,5/30/2017,Del Potro J. M.
51446,3.05,1,2.320692888,9/15/2020,Lajovic D.
54857,1.25,0,2.310891534,2/16/2022,Shapovalov D.
54399,3.09,1,2.295217971,11/20/2021,Zverev A.
53825,1.43,0,2.212830511,8/21/2021,Tsitsipas S.
55880,1.39,0,2.200219605,6/23/2022,Draper J.
57602,2.89,1,2.170640046,3/3/2023,Medvedev D.
44515,1.37,0,2.138607379,7/18/2017,Giannessi A.
44507,2.79,1,2.118690807,7/18/2017,Brown D.
47265,1.55,0,2.106301638,7/28/2018,Mayer L.
43974,1.35,0,2.096129787,5/16/2017,Isner J.
44200,1.48,0,2.079661495,6/13/2017,Lopez F.
43901,1.36,0,2.073673964,5/7/2017,Carreno Busta P.
52563,2.75,1,2.048538795,3/26/2021,Norrie C.
47800,1.43,0,2.044959786,10/4/2018,Anderson K.
52772,2.56,1,2.041606102,4/21/2021,Nishikori K.
49223,1.57,0,2.037459459,5/19/2019,Nadal R.
54937,3.06,1,2.033797863,2/22/2022,Pucinelli de Almeida M.
52984,1.5,0,2.028315143,5/18/2021,Fognini F.
53663,1.53,0,2.02175354,7/29/2021,Ruusuvuori E.
43976,1.42,0,2.019923623,5/16/2017,Bautista Agut R.
51889,1.49,0,1.995965403,11/6/2020,Zverev A.
56199,2.72,1,1.995586646,7/29/2022,Ivashka I.
46722,1.4,0,1.991954771,5/28/2018,Paire B.
43701,1.51,0,1.991557634,4/17/2017,Cuevas P.
46806,1.63,0,1.987038257,6/5/2018,Thiem D.
49150,3.2,1,1.986859779,5/8/2019,Chardy J.
56183,2.56,1,1.983888804,7/28/2022,Bagnis F.
51527,1.6,0,1.98331859,9/27/2020,Nishikori K.
55321,2.79,1,1.980843753,4/19/2022,Millman J.
51706,1.51,0,1.972635323,10/16/2020,Shapovalov D.
44066,1.65,0,1.972384393,5/28/2017,Robredo T.
46483,1.54,0,1.969454524,5/2/2018,Dutra Silva R.
50687,3.34,1,1.963649748,1/7/2020,Ilkel C.
45311,2.71,1,1.963211537,10/19/2017,Berankis R.
55000,2.5,1,1.94811667,3/10/2022,Eubanks C.
56389,1.37,0,1.940139722,8/19/2022,Norrie C.
50335,2.64,1,1.929365456,9/26/2019,Garin C.
53366,1.48,0,1.927344933,6/29/2021,Hurkacz H.
43652,1.47,0,1.924618669,4/12/2017,Chardy J.
53205,3.18,1,1.923622286,6/10/2021,Rodionov J.
44837,1.55,0,1.919907571,8/16/2017,Dimitrov G.
52860,2.82,1,1.919350542,5/3/2021,Giron M.
47996,1.49,0,1.914455459,10/25/2018,Thiem D.
