match,PSW,win0,confidence0,date,winner
56195,2.32,1,1.1473911,7/29/2022,Agamenone F.
56181,5.78,0,0.93793741,7/28/2022,Agamenone F.
56155,4.92,0,0.774995232,7/26/2022,Agamenone F.
43645,19.16,0,0.886719186,4/11/2017,Ahouda A.
53559,1.77,0,1.486166278,7/20/2021,Ajdukovic D.
51681,2.31,1,1.507155467,10/14/2020,Albot R.
44334,1.75,0,1.492261834,6/28/2017,Albot R.
54836,1.74,1,1.299552056,2/15/2022,Albot R.
56664,1.76,0,1.278826086,9/28/2022,Albot R.
50373,2.2,1,1.21566913,10/1/2019,Albot R.
50626,1.87,0,1.205500696,10/29/2019,Albot R.
51780,1.68,1,1.183307848,10/26/2020,Albot R.
36624,2.33,0,1.178601841,7/8/2014,Albot R.
47661,2.4,0,1.175393899,9/18/2018,Albot R.
48592,2.44,0,1.17461519,2/24/2019,Albot R.
54540,1.93,1,1.17275586,1/17/2022,Albot R.
48534,2.15,0,1.172153184,2/19/2019,Albot R.
44935,1.77,1,1.165177064,8/28/2017,Albot R.
51523,2.73,0,1.151808876,9/27/2020,Albot R.
48566,2.65,0,1.150218415,2/21/2019,Albot R.
48729,1.93,1,1.143891551,3/10/2019,Albot R.
46178,2.3,0,1.140862084,3/22/2018,Albot R.
52184,2.48,0,1.128796537,2/11/2021,Albot R.
47043,3.14,0,1.123650617,7/3/2018,Albot R.
45819,2.22,0,1.118251164,2/13/2018,Albot R.
47693,2.11,0,1.109506905,9/21/2018,Albot R.
48593,2.76,0,1.106007233,2/24/2019,Albot R.
48396,2.43,0,1.105389024,2/7/2019,Albot R.
49238,2.46,0,1.104738253,5/20/2019,Albot R.
49951,2.02,0,1.103569322,8/2/2019,Albot R.
49813,1.81,1,1.078135175,7/23/2019,Albot R.
44579,1.81,0,1.072128385,7/25/2017,Albot R.
55723,1.96,0,1.071414858,6/6/2022,Albot R.
48407,2.01,0,1.070419836,2/8/2019,Albot R.
44518,1.34,1,1.063038702,7/18/2017,Albot R.
50566,1.85,1,1.060167916,10/22/2019,Albot R.
47684,3.23,0,1.059297955,9/20/2018,Albot R.
52296,3.06,0,1.057697421,2/26/2021,Albot R.
49265,1.83,1,1.053754972,5/23/2019,Albot R.
49984,2.04,0,1.048394194,8/6/2019,Albot R.
49926,1.44,1,1.048144148,8/1/2019,Albot R.
51653,2.47,0,1.04520853,10/12/2020,Albot R.
43117,1.18,1,1.03415136,2/6/2017,Albot R.
48382,3.23,0,1.032585866,2/6/2019,Albot R.
39864,3.74,0,1.026536121,9/29/2015,Albot R.
48237,2.19,0,1.023872058,1/14/2019,Albot R.
53550,3.37,0,1.015280525,7/19/2021,Albot R.
54579,2.62,0,1.011419605,1/19/2022,Albot R.
49257,1.8,1,1.011032209,5/22/2019,Albot R.
46283,2.24,0,1.01093452,4/11/2018,Albot R.
50031,3.6,0,1.008845568,8/12/2019,Albot R.
51894,1.6,1,1.006149952,11/8/2020,Albot R.
52275,1.73,1,0.992252035,2/25/2021,Albot R.
46700,2.12,0,0.991948629,5/27/2018,Albot R.
49920,1.41,1,0.986671911,7/31/2019,Albot R.
48939,2.54,0,0.984862726,4/15/2019,Albot R.
48583,2.38,0,0.983542568,2/22/2019,Albot R.
43641,2.52,0,0.973829263,4/10/2017,Albot R.
47294,3.3,0,0.962015786,7/31/2018,Albot R.
48710,1.49,1,0.958578911,3/8/2019,Albot R.
44315,3.1,0,0.952465779,6/26/2017,Albot R.
52237,1.49,1,0.948184163,2/23/2021,Albot R.
51850,3.67,0,0.945421384,11/2/2020,Albot R.
52160,11.37,0,0.943186247,2/9/2021,Albot R.
41165,3.26,0,0.928646946,4/19/2016,Albot R.
50621,2.56,0,0.927555137,10/28/2019,Albot R.
49190,2.81,0,0.925177857,5/14/2019,Albot R.
47048,3.19,0,0.917023485,7/4/2018,Albot R.
49468,2.24,1,0.903252783,6/17/2019,Albot R.
