match,PSW,win0,confidence0,date,winner
30819,1.19,0,4.04812682390213,2019-08-01,Fritz T.
17286,1.15,0,3.502093139886856,2014-06-12,Berdych T.
29919,1.18,0,3.231677965968847,2019-04-25,Medvedev D.
17577,1.25,0,2.730839224457741,2014-07-14,Gimeno-Traver D.
36429,3.92,1,2.729924747943878,2022-05-15,Mannarino A.
17153,1.26,0,2.7013651344180105,2014-05-27,Michon A.
23566,3.4,1,2.695788550376892,2016-10-19,Bublik A.
26144,1.41,0,2.6795653668046,2017-10-16,Bublik A.
21024,1.22,0,2.649381954967976,2015-10-29,Brands D.
22566,1.27,0,2.6488904714584347,2016-06-17,Bautista Agut R.
29934,1.29,0,2.620687926709652,2019-04-26,Medvedev D.
33540,1.28,0,2.6193773983418938,2021-04-08,Musetti L.
29111,1.33,0,2.554661791324616,2019-01-14,Thompson J.
22018,1.41,0,2.5329507282802033,2016-04-16,Nadal R.
24783,1.36,0,2.5275152226289115,2017-05-07,Carreno Busta P.
24809,1.39,0,2.5093515658378602,2017-05-09,Almagro N.
37953,1.31,0,2.483105929195881,2023-01-04,Griekspoor T.
25008,1.34,0,2.475355914592743,2017-05-30,Del Potro J. M.
31372,3.5,1,2.457719959318638,2019-10-15,Carballes Baena R.
20030,3.4,1,2.4139534783363343,2015-06-29,Monaco J.
16817,1.35,0,2.409633097946643,2014-04-21,Giraldo S.
35400,1.31,0,2.406356934070587,2022-01-17,Kecmanovic M.
30439,1.28,0,2.4040127061307426,2019-06-26,Verdasco F.
16129,4.22,1,2.3956115924119947,2014-01-16,Simon G.
30617,3.4,1,2.395369881391525,2019-07-16,Dzumhur D.
32727,1.34,0,2.393128463745117,2020-11-02,Bonzi B.
28074,1.28,0,2.3705256150662897,2018-07-23,Schwartzman D.
20376,1.31,0,2.364523115009069,2015-08-06,Berankis R.
37344,1.29,0,2.344417965710163,2022-08-29,Wu Y.
35418,1.36,0,2.3432123091816903,2022-01-17,Bonzi B.
34887,1.42,0,2.3131595754623415,2021-09-11,Djokovic N.
34195,1.3,0,2.295929674506188,2021-06-22,Pospisil V.
30961,1.43,0,2.2435642190277574,2019-08-18,Medvedev D.
31678,1.34,0,2.23976711833477,2020-01-21,Ymer M.
31209,1.39,0,2.239271433694022,2019-09-25,Shapovalov D.
31293,1.38,0,2.2375658030807974,2019-10-04,Millman J.
27268,1.34,0,2.230418674647808,2018-04-23,Tsitsipas S.
25372,1.25,0,2.230207416057587,2017-07-17,Kudla D.
37275,1.37,0,2.2201598866283896,2022-08-19,Norrie C.
27589,1.43,0,2.2144989526271823,2018-05-28,Giraldo S.
20174,3.5,1,2.211918480694294,2015-07-21,Trinker B.
32332,1.36,0,2.2109883904457095,2020-09-15,Martinez P.
30817,1.41,0,2.208875986635685,2019-08-01,Kwon S.W.
16012,1.38,0,2.206003320455551,2014-01-07,Tomic B.
34103,2.8,1,2.20025369644165,2021-06-11,Djokovic N.
24162,1.34,0,2.1978270784020424,2017-02-20,Simon G.
22713,1.45,0,2.1919639706611633,2016-06-30,Istomin D.
34644,3.51,1,2.1637862164378165,2021-08-12,Tiafoe F.
38335,1.36,0,2.162673798054457,2023-02-20,O Connell C.
21713,3.49,1,2.161581767126918,2016-02-26,Cervantes I.
23293,1.42,0,2.161141043901444,2016-09-05,Del Potro J.M.
17351,1.35,0,2.1574732196331023,2014-06-19,Gasquet R.
31940,3.58,1,2.147432055473328,2020-02-17,Harrison R.
33264,3.88,1,2.1434967252612114,2021-03-08,Basilashvili N.
24870,1.48,0,2.140510043621063,2017-05-16,Carreno Busta P.
21925,3.39,1,2.135409169346094,2016-04-05,Lacko L.
17112,1.39,0,2.129256449341774,2014-05-26,Gabashvili T.
23894,1.4,0,2.1271212623516718,2017-01-16,Tomic B.
30003,3.27,1,2.123128437548876,2019-05-06,Gasquet R.
37117,1.46,0,2.122851846933365,2022-08-02,Purcell M.
17650,1.57,0,2.119362723827362,2014-07-21,Monaco J.
20273,1.28,0,2.1190187416970727,2015-07-28,Groth S.
30049,1.47,0,2.1174456633627416,2019-05-10,Thiem D.
28501,3.31,1,2.1137454150915147,2018-08-30,Basilashvili N.
19100,1.27,0,2.109619694550832,2015-03-12,Harrison R.
17365,1.35,0,2.108552033007145,2014-06-23,Puetz T.
17780,2.65,1,2.107565394043922,2014-07-31,Gonzalez M.
26679,2.61,1,2.104150335788727,2018-02-09,Basic M.
33681,1.42,0,2.098162461519242,2021-04-24,Tsitsipas S.
34888,3.14,1,2.0959506213665007,2021-09-12,Medvedev D.
