match,PSW,win0,confidence0,date,winner
17286,1.15,0,3.7982758212089536,2014-06-12,Berdych T.
25121,1.24,0,3.4845476770401,2017-06-16,Cilic M.
35517,1.13,0,3.2001980802416803,2022-01-26,Medvedev D.
17578,1.25,0,2.9174704587459566,2014-07-14,Gimeno-Traver D.
36513,1.33,0,2.756001191735268,2022-05-23,Baez S.
19113,1.33,0,2.737994033098221,2015-03-13,Johnson S.
36481,1.29,0,2.724218162819743,2022-05-22,Zapata Miralles B.
25594,3.91,1,2.7191359790563583,2017-08-02,Ofner S.
33158,1.36,0,2.712868102192879,2021-02-24,Kwon S.W.
17365,1.35,0,2.674035368710756,2014-06-23,Puetz T.
27830,1.34,0,2.6538833961486814,2018-06-26,Lacko L.
20369,1.31,0,2.6264846289157866,2015-08-06,Berankis R.
27766,1.3,0,2.6178501155376432,2018-06-19,Kyrgios N.
31699,1.34,0,2.594364565014839,2020-01-21,Ymer M.
32293,1.29,0,2.517030833244324,2020-09-09,Hanfmann Y.
35610,3.25,1,2.5118885725736617,2022-02-07,Verdasco F.
29896,1.36,0,2.478967311829329,2019-04-23,Pella G.
25377,1.25,0,2.4664894634485246,2017-07-17,Kudla D.
34710,1.3,0,2.4564075444936755,2021-08-20,Medvedev D.
24342,1.44,0,2.414903059154749,2017-03-09,Khachanov K.
23272,1.3,0,2.3760487675666813,2016-09-02,Del Potro J.M.
17096,1.26,0,2.356750440597535,2014-05-24,Kohlschreiber P.
30828,1.41,0,2.3480325140058995,2019-08-01,Kwon S.W.
34392,1.26,0,2.344800553843379,2021-07-14,Thompson J.
16004,1.38,0,2.342856415629387,2014-01-07,Tomic B.
36945,1.3,0,2.3411923289299015,2022-07-14,Rublev A.
25970,3.22,1,2.331123553812504,2017-09-23,Fognini F.
17202,1.47,0,2.3199164385795594,2014-05-31,Anderson K.
17706,1.36,0,2.311403938382864,2014-07-25,Cuevas P.
36926,1.35,0,2.3045597505569457,2022-07-12,Baez S.
37273,1.37,0,2.2998929958045484,2022-08-19,Norrie C.
32413,1.45,0,2.297527849674225,2020-09-27,Korda S.
24838,1.45,0,2.2783129873446053,2017-05-13,Nadal R.
35395,1.31,0,2.2754111684858795,2022-01-17,Kecmanovic M.
33718,1.33,0,2.2740788826346394,2021-04-29,Garin C.
32727,1.34,0,2.2722211323181787,2020-11-02,Bonzi B.
16278,1.49,0,2.271647620499134,2014-02-11,Volandri F.
24647,2.94,1,2.2704348212480547,2017-04-25,Haase R.
27156,3.59,1,2.2653344874382015,2018-04-10,Basic M.
30026,1.39,0,2.2631023087501525,2019-05-07,Hurkacz H.
33726,1.34,0,2.2390958347320558,2021-04-30,Davidovich Fokina A.
19508,1.42,0,2.221925139129162,2015-04-29,Schwartzman D.
34373,1.51,0,2.218419553756714,2021-07-13,Lajovic D.
16149,1.48,0,2.2149918195009235,2014-01-18,Bautista R.
23896,1.4,0,2.207683257222176,2017-01-16,Tomic B.
25952,1.42,0,2.2069517023861405,2017-09-21,Paire B.
27176,3.4,1,2.2063205003738404,2018-04-11,Jaziri M.
20159,1.38,0,2.206092704460025,2015-07-20,Sugita Y.
25547,1.37,0,2.1970683623850342,2017-07-31,Sousa J.
23590,1.29,0,2.1936458780169485,2016-10-21,Del Potro J.M.
37135,1.29,0,2.193573506176471,2022-08-03,Albot R.
16689,1.4,0,2.1879174051284793,2014-03-25,Berdych T.
35524,1.28,0,2.1838858455419543,2022-01-31,Albot R.
34887,1.42,0,2.183521327674389,2021-09-11,Djokovic N.
20275,3.5,1,2.182301700115204,2015-07-28,Ilhan M.
17934,1.46,0,2.1780994402865566,2014-08-19,Goffin D.
36758,1.35,0,2.167443540096283,2022-06-22,Fritz T.
18439,2.86,1,2.1623137554526326,2014-10-28,Verdasco F.
18760,3.3,1,2.155731933116913,2015-02-03,Soeda G.
21978,1.49,0,2.1494562971591944,2016-04-11,Bautista Agut R.
23558,3.4,1,2.1467423066496845,2016-10-19,Bublik A.
31557,1.39,0,2.1452027797698974,2019-11-15,Nadal R. 
32285,1.49,0,2.1414308951795102,2020-09-08,Ofner S.
27174,1.38,0,2.139636111706495,2018-04-11,Andujar P.
18765,3.19,1,2.1276352021098135,2015-02-03,Melzer G.
25007,1.34,0,2.1267299411694207,2017-05-30,Del Potro J. M.
35285,3.09,1,2.1173572215437884,2021-11-20,Zverev A.
23291,1.42,0,2.112038363814354,2016-09-05,Del Potro J.M.
35806,1.43,0,2.109962471425533,2022-02-22,Dellien H.
27910,1.47,0,2.102076054215431,2018-07-03,De Minaur A.
24603,2.7,1,2.0995546710491184,2017-04-18,Muller G.
29567,1.56,0,2.095019123703241,2019-03-02,Pella G.
36622,2.81,1,2.093867027640343,2022-06-07,Van Rijthoven T.
35516,1.61,0,2.087918540388346,2022-01-25,Berrettini M.
31716,1.39,0,2.0810010445117952,2020-01-22,Cilic M.
25966,1.41,0,2.077326815000602,2017-09-22,Zverev M.
21630,2.83,1,2.076382771829764,2016-02-21,Querrey S.
25659,2.75,1,2.0734555035829545,2017-08-08,Lorenzi P.
31940,3.58,1,2.0603476974964146,2020-02-17,Harrison R.
35703,1.51,0,2.057494765222073,2022-02-15,Rune H.
20178,1.4,0,2.0566455580294134,2015-07-21,Gulbis E.
22017,1.41,0,2.0549001693725586,2016-04-16,Nadal R.
25609,1.53,0,2.0540583240985866,2017-08-03,Kokkinakis T.
28910,1.43,0,2.0491208302974697,2018-10-29,Sousa J.
22283,2.93,1,2.0481739644493375,2016-05-15,Murray A.
33642,1.54,0,2.047748891115188,2021-04-20,Shapovalov D.
22937,2.85,1,2.0364847943186764,2016-07-22,Johnson S.
32811,1.36,0,2.0327045100182297,2020-11-18,Zverev A.
36907,1.33,0,2.030516611814499,2022-07-11,Sock J.
36461,2.58,1,2.028790065944195,2022-05-18,Sousa J.
22658,3.22,1,2.027477835714817,2016-06-28,Ramos-Vinolas A.
32435,1.53,0,2.0260110589436127,2020-09-28,Sock J.
24539,1.47,0,2.0241649425029755,2017-04-12,Chardy J.
28775,1.53,0,2.0221416338682174,2018-10-16,Paire B.
33692,1.53,0,2.021019130051136,2021-04-26,Borges N.
30664,1.53,0,2.018316615521908,2019-07-21,Lajovic D.
21980,1.45,0,2.01679265499115,2016-04-12,Bautista Agut R.
36315,1.52,0,2.0150107169151306,2022-05-01,Rune H.
27001,1.45,0,2.009098098725081,2018-03-11,Coric B.
28146,1.55,0,2.0071819788217544,2018-07-28,Mayer L.
19676,1.43,0,2.0057040977478025,2015-05-19,Pouille L.
34978,2.98,1,2.0056635239124296,2021-09-30,Karatsev A.
28163,1.44,0,2.005620130896568,2018-07-30,Lajovic D.
20260,1.49,0,2.003697455406189,2015-07-28,Bolelli S.
22701,1.4,0,2.0016824209690096,2016-06-30,Isner J.
23201,1.54,0,2.0012234193086624,2016-08-29,Seppi A.
32334,1.36,0,2.0008050765842196,2020-09-15,Martinez P.
16771,1.34,0,1.9984478652477262,2014-04-15,Dimitrov G.
24655,1.5,0,1.99046854019165,2017-04-25,Chung H.
30110,1.57,0,1.9885876669202533,2019-05-19,Nadal R.
37066,1.56,0,1.9880808455944063,2022-07-27,Tiafoe F.
16821,1.4,0,1.987230068743229,2014-04-22,Ungur A.
33005,1.56,0,1.9869160293042658,2021-02-08,Ruusuvuori E.
32593,1.51,0,1.9868697288632389,2020-10-16,Shapovalov D.
24244,3.06,1,1.984897606372833,2017-02-26,Sock J.
28827,1.55,0,1.9831809898217523,2018-10-19,Monfils G.
24751,2.5,1,1.980519997222083,2017-05-03,Tomic B.
37143,2.87,1,1.9799393874406817,2022-08-04,Albot R.
24848,2.91,1,1.9776651926636695,2017-05-15,Mayer F.
26201,2.71,1,1.974541442990303,2017-10-19,Berankis R.
25122,2.7,1,1.9699559211730957,2017-06-16,Pouille L.
36767,1.39,0,1.9673874889810883,2022-06-23,Draper J.
24669,2.73,1,1.9646057327091695,2017-04-26,Karlovic I.
24276,1.37,0,1.9639225665330884,2017-02-28,Delbonis F.
17944,1.42,0,1.9637988949815435,2014-08-20,Goffin D.
24733,1.53,0,1.9596038042306898,2017-05-02,Daniel T.
37460,2.58,1,1.9588506987690928,2022-09-20,Basilashvili N.
29663,1.47,0,1.958702073097229,2019-03-16,Federer R.
34422,1.57,0,1.956094019562006,2021-07-16,Djere L.
37216,2.51,1,1.954953817029794,2022-08-12,Ruud C.
23845,1.34,0,1.9542790392786265,2017-01-11,Troicki V.
34090,1.52,0,1.9539318662881853,2021-06-10,Querrey S.
33024,2.71,1,1.9526083483695982,2021-02-09,Andujar P.
35344,1.51,0,1.950604779958725,2022-01-10,Sonego L.
22800,2.5,1,1.942906565964222,2016-07-13,Estrella Burgos V.
33598,1.32,0,1.9412964737415312,2021-04-15,Davidovich Fokina A.
29675,1.56,0,1.940873306840658,2019-03-21,Auger-Aliassime F.
37116,1.46,0,1.9366775362491606,2022-08-02,Purcell M.
32777,1.56,0,1.9364577903350195,2020-11-07,Medvedev D.
29761,1.47,0,1.9325008329749107,2019-04-08,Daniel T.
34888,3.14,1,1.927061669060162,2021-09-12,Medvedev D.
25723,1.55,0,1.925380382537842,2017-08-16,Dimitrov G.
28018,1.51,0,1.924403432607651,2018-07-17,Bolelli S.
18333,1.44,0,1.9242362366914747,2014-10-16,Kukushkin M.
16402,2.94,1,1.9230094264447692,2014-02-21,Sousa J.
34676,1.49,0,1.9219542701542376,2021-08-17,Hurkacz H.
33163,2.72,1,1.9170249660809837,2021-02-25,Paire B.
16895,1.36,0,1.9124143452644347,2014-04-29,Cuevas P.
23413,1.54,0,1.9104011648893353,2016-10-03,Sousa J.
18807,3.41,1,1.9066534662246708,2015-02-05,Granollers M.
36155,1.43,0,1.90643204498291,2022-04-12,Martinez P.
21923,2.71,1,1.9021622482793672,2016-04-05,Baghdatis M.
33848,1.58,0,1.9021566130220888,2021-05-16,Nadal R.
26340,1.57,0,1.9008610589504245,2017-11-15,Dimitrov G.
19127,1.53,0,1.9005737990140912,2015-03-14,Mannarino A.
34152,1.43,0,1.8978639259934424,2021-06-17,Shapovalov D.
17806,1.47,0,1.897243430217107,2014-08-04,Paire B.
21943,2.73,1,1.8967601505517961,2016-04-07,Garcia-Lopez G.
24414,2.65,1,1.8967343643307686,2017-03-15,Sock J.
35578,1.56,0,1.8967012491822244,2022-02-03,Vesely J.
22113,1.47,0,1.89481001666614,2016-04-26,Dutra Silva R.
37327,2.69,1,1.8947776855528353,2022-08-27,Mannarino A.
24957,1.65,0,1.8944450378417967,2017-05-28,Robredo T.
22518,2.52,1,1.891195821762085,2016-06-12,Thiem D.
23475,2.73,1,1.8902777491807938,2016-10-10,Almagro N.
25926,1.54,0,1.8902310423056286,2017-09-19,Berankis R.
36549,2.56,1,1.889952278137207,2022-05-25,Nakashima B.
35777,1.58,0,1.889544574260712,2022-02-18,Bautista Agut R.
31796,2.97,1,1.8890148856490852,2020-02-04,Taberner C.
29573,1.6,0,1.8885524900257584,2019-03-07,Thompson J.
22662,1.46,0,1.8879113878522602,2016-06-28,Kukushkin M.
25916,1.44,0,1.8864519611001014,2017-09-08,Anderson K.
28774,1.47,0,1.8859214639663695,2018-10-16,Millman J.
35975,1.38,0,1.8782841539382928,2022-03-18,Alcaraz C.
24454,1.51,0,1.8763042559623717,2017-03-23,Coric B.
16905,1.56,0,1.874911173184713,2014-04-30,Klizan M.
36445,1.41,0,1.873537707924843,2022-05-17,Baez S.
32436,1.38,0,1.8729899488389494,2020-09-28,Gaston H.
36877,1.44,0,1.8728944698572156,2022-07-01,Van Rijthoven T.
36156,1.41,0,1.8713655571639536,2022-04-12,Sonego L.
26708,1.43,0,1.870426756516099,2018-02-13,Harrison R.
30208,2.93,1,1.870227212905884,2019-05-28,Mannarino A.
32772,1.49,0,1.868848022222519,2020-11-06,Zverev A.
21821,1.4,0,1.868395466208458,2016-03-23,Fritz T.
29093,1.56,0,1.8680533135682342,2019-01-10,Kohlschreiber P.
20190,2.76,1,1.8676518487930296,2015-07-22,Istomin D.
24573,1.56,0,1.86660535633564,2017-04-15,Bellucci T.
23169,1.5,0,1.865694055954615,2016-08-25,Bautista Agut R.
33727,1.63,0,1.8632900896072386,2021-04-30,Ramos-Vinolas A.
16237,1.52,0,1.8622404956817624,2014-02-07,Nieminen J.
29252,1.52,0,1.8613442506108966,2019-02-05,Carballes Baena R.
31678,1.52,0,1.855133602321148,2020-01-21,Mmoh M.
25565,2.44,1,1.8538086948394779,2017-08-02,Tursunov D.
38536,2.42,1,1.8518286168575286,2023-03-10,Gasquet R.
18336,1.45,0,1.8492728292346001,2014-10-16,Youzhny M.
25211,1.48,0,1.8487235660552976,2017-06-27,Verdasco F.
33695,1.52,0,1.84837766289711,2021-04-27,Cecchinato M.
24113,1.59,0,1.8482541697025296,2017-02-15,Herbert P.H.
31175,1.53,0,1.8479846347868443,2019-09-20,Tsonga J.W.
23467,2.66,1,1.846942274272442,2016-10-08,Goffin D.
28717,1.59,0,1.8462361603975297,2018-10-08,Fritz T.
22589,1.49,0,1.8448545992374419,2016-06-20,Millman J.
28938,1.4,0,1.8443203100562096,2018-11-01,Sock J.
33388,1.33,0,1.843594106435776,2021-03-18,Shapovalov D.
31232,2.67,1,1.842634674310684,2019-09-27,Harris L.
28634,2.6,1,1.8416457601955958,2018-09-28,Fritz T.
22704,1.45,0,1.840650165081024,2016-06-30,Istomin D.
27875,1.55,0,1.8389937353134156,2018-07-02,Fabbiano T.
21092,2.5,1,1.8381790444254875,2015-11-06,Wawrinka S.
27692,1.63,0,1.8369605648517606,2018-06-05,Thiem D.
31778,1.58,0,1.8358578118681905,2020-02-04,Ivashka I.
27828,1.41,0,1.8344308196008206,2018-06-26,Zverev M.
21051,2.93,1,1.833774182498455,2015-11-02,Paire B.
35750,1.56,0,1.8336634850502016,2022-02-16,Fucsovics M.
20761,1.56,0,1.8301252986490726,2015-09-30,Zverev M.
32590,1.59,0,1.829338881969452,2020-10-15,Cecchinato M.
37744,1.68,0,1.8289600461721418,2022-10-19,Guinard M.
22593,1.43,0,1.827194534242153,2016-06-20,Youzhny M.
19352,2.64,1,1.8271864295005795,2015-04-13,Stakhovsky S.
36565,2.68,1,1.8256172716617585,2022-05-26,Ymer M.
28742,2.47,1,1.8252540585994719,2018-10-10,Tsitsipas S.
37979,1.48,0,1.8242453712821003,2023-01-09,Draper J.
25798,1.5,0,1.8242352752387525,2017-08-28,Coric B.
27589,1.43,0,1.8212899142503738,2018-05-28,Giraldo S.
34101,2.8,1,1.819214835166931,2021-06-11,Djokovic N.
25123,2.42,1,1.8148910963535307,2017-06-16,Paire B.
22362,1.58,0,1.813059186637402,2016-05-23,Lajovic D.
26990,1.56,0,1.8122078517079352,2018-03-10,Sandgren T.
27374,1.61,0,1.8115705959498885,2018-05-02,Tiafoe F.
35038,1.58,0,1.8113966369628904,2021-10-09,Vukic A.
25645,1.74,0,1.8108987658023836,2017-08-07,Schwartzman D.
20556,1.57,0,1.8098923685153325,2015-08-31,Donskoy E.
24571,2.94,1,1.8096705079078674,2017-04-15,Johnson S.
31005,2.58,1,1.8092372224330902,2019-08-24,Paire B.
25242,1.58,0,1.8075541586875914,2017-06-30,Sugita Y.
15986,2.4,1,1.80682671546936,2014-01-03,Granollers M.
32964,1.57,0,1.806764371097088,2021-02-05,Evans D.
33693,2.68,1,1.8065965771675112,2021-04-26,Chardy J.
22505,1.47,0,1.8064800566434862,2016-06-10,Del Potro J.M.
30527,2.73,1,1.8043410526514054,2019-07-03,Pella G.
27327,1.66,0,1.8043259739875794,2018-04-29,Cecchinato M.
24731,1.68,0,1.8042876988649366,2017-05-02,Khachanov K.
17541,2.22,1,1.801810098205294,2014-07-10,Lopez F.
36217,2.52,1,1.8015692210197451,2022-04-19,Harris L.
28270,2.71,1,1.8001426454782485,2018-08-07,Auger-Aliassime F.
22847,2.7,1,1.7982640340924263,2016-07-18,Mertl J.
36267,1.6,0,1.7971843135356904,2022-04-25,Kwon S.W.
30936,1.64,0,1.7961822171509267,2019-08-14,Mannarino A.
28786,1.49,0,1.7961757564544676,2018-10-16,Struff J.L.
25087,2.62,1,1.7944471374154094,2017-06-13,Paire B.
38203,1.61,0,1.793616996780038,2023-02-09,Sonego L.
28879,1.69,0,1.7931238836050032,2018-10-25,Monfils G.
21891,2.83,1,1.7912579263746737,2016-03-28,Bautista R.
24969,2.73,1,1.7911376498639584,2017-05-29,Estrella Burgos V.
30585,1.55,0,1.7899882566928866,2019-07-14,Djokovic N.
34989,1.51,0,1.7897193270425003,2021-10-02,Ruud C.
38145,1.64,0,1.7895867639780048,2023-01-22,Korda S.
35069,1.49,0,1.7895214319229127,2021-10-12,Sinner J.
29421,2.44,1,1.789059426486492,2019-02-19,Opelka R.
33514,2.58,1,1.7865328996181489,2021-04-06,Ivashka I.
23074,1.52,0,1.785815433382988,2016-08-15,Coric B.
28570,2.37,1,1.7845477244853973,2018-09-20,Cecchinato M.
27348,1.51,0,1.7835660803318023,2018-05-01,Dutra Silva R.
17907,1.52,0,1.7831036990880968,2014-08-15,Ferrer D.
32697,2.55,1,1.782753340154886,2020-10-28,Anderson K.
17092,1.48,0,1.7807996675372124,2014-05-23,Kohlschreiber P.
36369,2.36,1,1.7806019282341004,2022-05-07,Zverev A.
36879,1.5,0,1.7804096989631653,2022-07-01,Kubler J.
32004,1.67,0,1.7802367985248564,2020-02-21,Opelka R.
37021,2.46,1,1.7796916751861573,2022-07-25,Zeppieri G.
24864,1.48,0,1.7792944244827542,2017-05-16,Carreno Busta P.
34758,2.89,1,1.7787115933001045,2021-08-27,Ymer M.
18135,2.45,1,1.7785661745071413,2014-09-24,Seppi A.
19871,1.45,0,1.7762699966132642,2015-06-11,Tomic B.
33945,1.41,0,1.776124404370785,2021-05-27,Cecchinato M.
36696,1.49,0,1.7756194763630628,2022-06-15,Hurkacz H.
27592,2.2,1,1.7756089369455974,2018-05-28,Querrey S.
33606,2.9,1,1.7755277144908903,2021-04-16,Evans D.
20067,1.42,0,1.7749527806043628,2015-07-01,Mayer L.
28618,2.8,1,1.77412744363149,2018-09-26,Jaziri M.
36380,2.46,1,1.7738973918557168,2022-05-09,Van De Zandschulp B.
34599,3.15,1,1.7734792225062848,2021-08-05,Kudla D.
34223,1.43,0,1.7733744856715201,2021-06-26,De Minaur A.
24769,1.48,0,1.7729190409183504,2017-05-05,Ferrer D.
17952,2.58,1,1.7723161169886592,2014-08-21,Janowicz J.
30057,2.71,1,1.7722521988749502,2019-05-12,Basilashvili N.
16206,1.54,0,1.7721060991287232,2014-02-05,Sijsling I.
26596,2.36,1,1.7681132340431212,2018-01-20,Sandgren T.
25660,2.38,1,1.7675682884454726,2017-08-09,Ferrer D.
37292,3.5,1,1.7671657279133797,2022-08-22,Djere L.
37908,1.6,0,1.7666292858123782,2022-11-15,Auger-Aliassime F.
33893,1.5,0,1.7660729970037938,2021-05-21,Shapovalov D.
23419,1.52,0,1.7653613841533666,2016-10-04,Simon G.
28814,1.53,0,1.7652812118530274,2018-10-18,Monfils G.
34096,3.18,1,1.7638366167247297,2021-06-10,Rodionov J.
30663,2.75,1,1.7637721467763186,2019-07-20,Balazs A.
35799,1.65,0,1.7628512246268133,2022-02-21,Londero J.I.
37982,1.75,0,1.7600137954950335,2023-01-09,Kokkinakis T.
26543,1.59,0,1.7586513036489488,2018-01-16,Marterer M.
16908,2.73,1,1.7585804215818646,2014-05-01,Hanescu V.
28256,1.68,0,1.7579934239387511,2018-08-06,Fucsovics M.
20020,1.54,0,1.7577843904495238,2015-06-29,Berankis R.
31196,1.6,0,1.7563924962282182,2019-09-24,Carreno Busta P.
37598,2.94,1,1.7563225228786472,2022-10-03,Bautista Agut R.
30142,1.54,0,1.755131924033165,2019-05-22,Fritz T.
35065,1.6,0,1.7543885684013365,2021-10-12,Hurkacz H.
37714,1.74,0,1.7543605948984622,2022-10-18,Daniel T.
28133,2.44,1,1.7541374397277831,2018-07-26,Norrie C.
19208,2.73,1,1.75407316043973,2015-03-26,Delbonis F.
29429,2.3,1,1.7539216558138528,2019-02-19,Lorenzi P.
32416,1.6,0,1.7536535859107971,2020-09-27,Nishikori K.
23216,1.56,0,1.753526468500495,2016-08-30,Lorenzi P.
25249,1.59,0,1.7528064293861392,2017-07-03,Mayer F.
34936,1.54,0,1.7524932561814783,2021-09-24,Kwon S.W.
33131,1.69,0,1.7524416732788084,2021-02-23,Etcheverry T.
26842,2.31,1,1.7519412560462952,2018-02-22,Krajinovic F.
19446,1.79,0,1.751058370868365,2015-04-23,Andujar P.
37437,1.55,0,1.7502191648483276,2022-09-03,Rublev A.
36003,1.61,0,1.7480870616436004,2022-03-24,Wolf J.J.
22151,1.66,0,1.747742052674294,2016-04-28,Schwartzman D.
20302,1.54,0,1.7473138570785522,2015-07-30,Carreno-Busta P.
24725,1.78,0,1.7471790832281113,2017-05-02,Almagro N.
17330,1.73,0,1.7464828553795817,2014-06-17,Melzer J.
22779,1.53,0,1.745231512248516,2016-07-12,Baker B.
17876,1.47,0,1.7450208574533461,2014-08-12,Cilic M.
26417,1.54,0,1.744858369231224,2018-01-04,Pella G.
19412,2.84,1,1.7447509784698485,2015-04-21,Baghdatis M.
22235,1.56,0,1.7446302626814163,2016-05-08,Ramos-Vinolas A.
34427,1.51,0,1.7445396168529987,2021-07-17,Carreno Busta P.
34760,2.84,1,1.7439616558551787,2021-08-28,Ymer M.
18373,2.67,1,1.7434284971654412,2014-10-21,Dolgopolov O.
19801,1.57,0,1.7428554395337896,2015-05-28,Kokkinakis T.
33197,3.35,1,1.7422148369252684,2021-03-01,Nishikori K.
35368,1.56,0,1.7421081694960594,2022-01-12,Nakashima B.
29941,1.43,0,1.74121323466301,2019-04-27,Krajinovic F.
25133,2.16,1,1.7406311702728274,2017-06-19,Gasquet R.
23126,1.53,0,1.740610779225826,2016-08-21,Evans D.
37397,2.59,1,1.7393736149867374,2022-08-31,Cachin P.
23734,1.57,0,1.7391641311347483,2017-01-02,Kovalik J.
28824,2.37,1,1.7390603295564655,2018-10-19,Fognini F.
38507,1.48,0,1.7383229691535236,2023-03-08,Humbert U.
18026,2.55,1,1.7380895411968234,2014-08-28,Estrella Burgos V.
37846,1.68,0,1.7372528052330014,2022-10-29,Shapovalov D.
16967,2.44,1,1.7370882301330568,2014-05-07,Nieminen J.
30560,1.52,0,1.7369656651616097,2019-07-05,Bautista Agut R.
19103,2.35,1,1.7353534722328188,2015-03-12,Delbonis F.
38055,1.47,0,1.7353436433076859,2023-01-16,Van De Zandschulp B.
24649,2.76,1,1.735279107391834,2017-04-25,Vesely J.
23312,1.6,0,1.7345272304614385,2016-09-20,Basilashvili N.
22117,1.69,0,1.733862465173006,2016-04-26,Dzumhur D.
35522,1.53,0,1.733518369719386,2022-01-31,Bhambri Y.
16898,2.37,1,1.7324826224148275,2014-04-29,Bellucci T.
38041,2.19,1,1.731910503745079,2023-01-16,Lestienne C.
23305,1.51,0,1.7301579190045597,2016-09-19,Rosol L.
37074,2.56,1,1.7298017501831056,2022-07-28,Bagnis F.
24921,1.51,0,1.7296871965527536,2017-05-23,Tipsarevic J.
19105,1.54,0,1.7295256036520006,2015-03-12,Monaco J.
31220,2.5,1,1.7288801074028015,2019-09-26,Bublik A.
32132,2.55,1,1.7280338823795316,2020-08-24,Struff J.L.
27342,1.5,0,1.7279852428436278,2018-05-01,Chardy J.
35588,1.49,0,1.727676280617714,2022-02-04,Londero J.I.
21292,1.55,0,1.7273024439811708,2016-01-19,Hewitt L.
35119,1.5,0,1.7270033640861513,2021-10-20,Brooksby J.
28501,3.31,1,1.7269348025321962,2018-08-30,Basilashvili N.
36640,1.61,0,1.7268134811520577,2022-06-09,Ivashka I.
30425,2.18,1,1.7267561972141265,2019-06-25,Fabbiano T.
28516,1.62,0,1.7259532293677329,2018-09-01,Coric B.
17076,1.59,0,1.7255332793295381,2014-05-21,Monaco J.
34464,1.6,0,1.7247835361957549,2021-07-21,Gomez E.
20596,1.5,0,1.7204343199729917,2015-09-01,Hewitt L.
26326,1.65,0,1.7203778767585756,2017-11-02,Krajinovic F.
19469,1.5,0,1.7201573057472705,2015-04-27,Bellucci T.
29041,2.5,1,1.7199216224253178,2019-01-04,Tsonga J.W.
16511,1.52,0,1.7196029098033905,2014-03-02,Dimitrov G.
34757,1.56,0,1.718934393286705,2021-08-27,Alcaraz C.
28312,2.29,1,1.7188554941117762,2018-08-13,Chardy J.
24224,2.46,1,1.7185860259830952,2017-02-24,Gasquet R.
19321,1.59,0,1.7184114181995391,2015-04-09,Vesely J.
22839,2.62,1,1.717812655568123,2016-07-18,Zverev M.
30392,1.68,0,1.7171109864115714,2019-06-21,Simon G.
36332,1.83,0,1.717054431637128,2022-05-02,Lajovic D.
20580,1.51,0,1.7168775629252195,2015-08-31,Gabashvili T.
33437,1.62,0,1.7168247870888032,2021-03-25,Ruusuvuori E.
30205,1.52,0,1.7160167644023896,2019-05-27,Moutet C.
35912,1.55,0,1.7157698732614517,2022-03-12,Monfils G.
27473,2.59,1,1.715451685488224,2018-05-14,Ramos-Vinolas A.
29241,1.64,0,1.714576673110326,2019-02-05,Berrettini M.
17451,1.47,0,1.7134305946528912,2014-06-26,Kubot L.
25557,2.5,1,1.7133609354496002,2017-08-01,Olivo R.
34250,1.48,0,1.7115474557876589,2021-06-29,Hurkacz H.
16400,1.68,0,1.7110240606069564,2014-02-20,Llodra M.
20130,1.46,0,1.710819938659668,2015-07-13,Ito T.
18666,1.54,0,1.709908752590418,2015-01-20,Stakhovsky S.
31276,1.53,0,1.709780788421631,2019-10-02,Murray A.
24929,1.72,0,1.7097146451473235,2017-05-24,Berdych T.
33877,2.46,1,1.708207461833954,2021-05-19,Bedene A.
30455,2.71,1,1.7078622277081013,2019-06-28,Fritz T.
28086,1.53,0,1.7076649439334868,2018-07-24,Djere L.
35633,1.49,0,1.707071260035038,2022-02-08,Delbonis F.
30841,1.64,0,1.7067794048786162,2019-08-02,Ramos-Vinolas A.
36346,1.49,0,1.7067061230540275,2022-05-04,Sinner J.
32396,1.34,0,1.7055586213618517,2020-09-25,Ruud C.
35894,1.54,0,1.7044513304233555,2022-03-10,Fognini F.
28633,1.45,0,1.7044371805340053,2018-09-28,Fognini F.
30049,1.47,0,1.7027903301641347,2019-05-10,Thiem D.
36942,2.77,1,1.7027360004612377,2022-07-14,Thiem D.
28635,1.54,0,1.7025359916687013,2018-09-28,Sousa J.
36042,1.59,0,1.7019242964684962,2022-03-27,Sinner J.
26664,1.69,0,1.7013291563987731,2018-02-08,Melzer G.
29007,1.74,0,1.701144916296005,2019-01-02,Berdych T.
31212,2.33,1,1.7007947048544882,2019-09-25,Sousa J.
