match,PSW,win0,confidence0,date,winner
49016,5.31,1,3.4073997470140456,2019-04-23,Jarry N.
55140,1.24,0,2.856170210838318,2022-03-26,Tsitsipas S.
54622,4.3,1,2.70094898223877,2022-01-23,Shapovalov D.
53336,1.26,0,2.6961259572846545,2021-06-26,Medvedev D.
54792,1.25,0,2.6890332376956945,2022-02-12,Ruud C.
45125,3.65,1,2.637594094127417,2017-09-28,Pella G.
56387,1.37,0,2.623450030003275,2022-08-19,Norrie C.
50684,3.34,1,2.543346729079882,2020-01-07,Ilkel C.
54592,3.7,1,2.5428572654724126,2022-01-20,Daniel T.
47190,1.28,0,2.534958528578281,2018-07-23,Schwartzman D.
47707,1.36,0,2.530492996931076,2018-09-24,Norrie C.
50010,1.35,0,2.477709642291069,2019-08-08,Monfils G.
53880,1.38,0,2.454267475434712,2021-08-30,Molcan A.
47387,2.94,1,2.448418071269989,2018-08-07,Wawrinka S.
50949,1.31,0,2.436094944477081,2020-02-07,Schwartzman D.
43424,1.38,0,2.414301567276319,2017-03-02,Cuevas P.
54030,1.38,0,2.4138117585579555,2021-09-22,Pouille L.
44282,4.69,1,2.3974530274420975,2017-06-21,Haase R.
49731,1.43,0,2.364990126043558,2019-07-16,Londero J.I.
47056,1.34,0,2.3280374552607537,2018-07-05,Del Potro J.M.
54382,1.39,0,2.3207817869527,2021-11-11,Shapovalov D.
53764,3.51,1,2.310344393134117,2021-08-12,Tiafoe F.
49788,1.44,0,2.2970124781131744,2019-07-22,Klizan M.
44931,1.29,0,2.2924802631139753,2017-08-28,Donskoy E.
57334,1.4,0,2.2784722524881365,2023-02-10,Baez S.
50489,3.5,1,2.251512985676527,2019-10-15,Carballes Baena R.
53277,1.38,0,2.2381170301437376,2021-06-19,Shapovalov D.
47040,3.32,1,2.2295604893565173,2018-07-03,Klahn B.
56291,1.43,0,2.227055861055851,2022-08-09,Tiafoe F.
57336,1.4,0,2.221888370513916,2023-02-10,Ramos-Vinolas A.
47232,1.41,0,2.152046813070774,2018-07-25,Kovalik J.
47249,1.54,0,2.144257568291255,2018-07-27,Kovalik J.
49974,1.38,0,2.1439594521522523,2019-08-05,Raonic M.
50452,1.48,0,2.1344439125061037,2019-10-09,Isner J.
47756,1.69,0,2.1120022651127406,2018-09-29,Fognini F.
43343,1.47,0,2.1076861196756367,2017-02-24,Sock J.
55091,2.72,1,2.1067566621303557,2022-03-19,Fritz T.
43687,2.94,1,2.1021197372674942,2017-04-15,Johnson S.
49732,3.4,1,2.098154166936874,2019-07-16,Dzumhur D.
51467,1.37,0,2.0949325934052467,2020-09-17,Shapovalov D.
55390,1.6,0,2.089534001350403,2022-04-26,Taberner C.
55522,2.86,1,2.0887346097826955,2022-05-11,Khachanov K.
43957,2.8,1,2.0842774271965023,2017-05-14,Isner J.
47747,1.54,0,2.0798980095556803,2018-09-28,Sousa J.
47259,3.32,1,2.0758817203839617,2018-07-27,Basilashvili N.
49202,1.53,0,2.07365905970335,2019-05-16,Federer R.
44084,2.73,1,2.071591081470251,2017-05-29,Estrella Burgos V.
44580,1.42,0,2.0692490378022192,2017-07-25,Delbonis F.
49809,1.44,0,2.0684346352304734,2019-07-23,Ruud C.
46903,4.3,1,2.064947462826967,2018-06-20,Sugita Y.
55874,1.35,0,2.062736585140228,2022-06-22,Fritz T.
56747,1.26,0,2.061939054429531,2022-10-06,Tiafoe F.
49795,1.49,0,2.0601309856346672,2019-07-23,Gasquet R.
47884,1.53,0,2.053738768100738,2018-10-16,Paire B.
49832,1.44,0,2.0404297906160354,2019-07-25,Krajinovic F.
54872,2.63,1,2.0394169543981553,2022-02-17,Safiullin R.
54118,2.75,1,2.0237094275653362,2021-10-07,Daniel T.
53968,1.5,0,2.021726841330528,2021-09-02,Schwartzman D.
47748,2.6,1,2.020161238738469,2018-09-28,Fritz T.
49806,1.45,0,2.0196214222908018,2019-07-23,Londero J.I.
42969,1.34,0,1.9973299459367988,2017-01-11,Troicki V.
43433,1.43,0,1.9940871596336365,2017-03-02,Ramos-Vinolas A.
47226,3.56,1,1.9922534081339835,2018-07-25,Monteiro T.
56655,1.34,0,1.991867191195488,2022-09-28,Safiullin R.
49774,1.56,0,1.9866516852378848,2019-07-20,Isner J.
49228,1.39,0,1.9864444957673548,2019-05-20,Gasquet R.
47266,2.74,1,1.9862294961724962,2018-07-29,Basilashvili N.
54037,2.6,1,1.9829056859016418,2021-09-23,Giron M.
49980,2.93,1,1.9801076529920105,2019-08-06,Pella G.
47741,1.53,0,1.9800695653756464,2018-09-27,Querrey S.
49748,2.6,1,1.9760827967098782,2019-07-17,Ramos-Vinolas A.
47138,1.51,0,1.971042271256447,2018-07-17,Bolelli S.
46487,1.54,0,1.967492910504341,2018-05-02,Struff J.L.
47058,3.19,1,1.9609074410051108,2018-07-05,Paire B.
48129,1.6,0,1.9598243816196916,2019-01-02,Paire B.
47757,2.71,1,1.9597538123386247,2018-09-30,Tomic B.
49780,1.53,0,1.9595529708266262,2019-07-21,Lajovic D.
57087,1.62,0,1.959412087372371,2023-01-07,Djokovic N.
45665,1.52,0,1.9394715303182604,2018-01-17,Dolgopolov O.
55459,1.55,0,1.937916558980942,2022-05-04,Auger-Aliassime F.
55219,1.68,0,1.9372221012626372,2022-04-06,Kyrgios N.
54712,3.25,1,1.933249759177367,2022-02-05,Tabilo A.
53008,1.5,0,1.9284273127913476,2021-05-21,Shapovalov D.
51716,1.51,0,1.9258975337445736,2020-10-16,Shapovalov D.
57390,1.57,0,1.9250782385468483,2023-02-15,Lajovic D.
55119,1.49,0,1.9247781917452815,2022-03-24,Korda S.
54183,1.49,0,1.924558591842651,2021-10-12,Sinner J.
57383,1.49,0,1.914408470839262,2023-02-14,Varillas J. P.
47200,1.53,0,1.9114659276604653,2018-07-24,Djere L.
46069,1.38,0,1.9107634341716762,2018-03-08,Coric B.
48708,2.7,1,1.908514827489853,2019-03-08,Marterer M.
47359,2.58,1,1.905571915422167,2018-08-03,Istomin D.
56445,2.73,1,1.9045754295587543,2022-08-29,Thompson J.
55460,1.49,0,1.9012996435165403,2022-05-04,Sinner J.
54496,1.56,0,1.8984921264648436,2022-01-13,Evans D.
45180,1.6,0,1.8980054135620597,2017-10-04,Dolgopolov O.
50340,2.64,1,1.8976774663925169,2019-09-26,Garin C.
48422,1.54,0,1.8965138876438141,2019-02-11,Wawrinka S.
52401,1.51,0,1.8950031855106353,2021-03-10,Shapovalov D.
43761,2.76,1,1.8949629778861996,2017-04-25,Vesely J.
57161,1.47,0,1.894886515080929,2023-01-16,Van De Zandschulp B.
54935,3.06,1,1.8908824583888053,2022-02-22,Pucinelli de Almeida M.
48116,1.37,0,1.889704026920455,2019-01-01,Thompson J.
53531,1.57,0,1.8856434223651888,2021-07-16,Djere L.
55092,1.66,0,1.8842483586072925,2022-03-19,Nadal R.
49755,1.58,0,1.882948166330655,2019-07-18,Gasquet R.
54575,1.51,0,1.8804884947836396,2022-01-19,Karatsev A.
54398,3.09,1,1.8803227517008778,2021-11-20,Zverev A.
43512,2.88,1,1.8786415100097655,2017-03-13,Carreno Busta P.
50239,2.72,1,1.8753341031074529,2019-09-02,Berrettini M.
51972,1.48,0,1.8680212345123288,2021-01-10,Isner J.
55700,1.66,0,1.8672741955518724,2022-05-28,Medvedev D.
47140,1.54,0,1.866711807449659,2018-07-17,Delbonis F.
56547,1.55,0,1.866422951221466,2022-09-03,Rublev A.
55114,1.54,0,1.865064963698387,2022-03-24,Rinderknech A.
57113,1.6,0,1.8629225643475849,2023-01-10,Millman J.
44494,1.61,0,1.8624312072992326,2017-07-17,Laaksonen H.
55383,1.6,0,1.8529205806553366,2022-04-25,Kwon S.W.
57569,1.57,0,1.8522533964259285,2023-03-01,Hanfmann Y.
54196,1.58,0,1.85204637834004,2021-10-13,Hurkacz H.
54354,1.25,0,1.85187073238194,2021-11-05,Djokovic N.
54901,2.64,1,1.8506538605690004,2022-02-19,Millman J.
44584,2.71,1,1.850546984275182,2017-07-25,Monteiro T.
44513,2.79,1,1.8484420604365213,2017-07-18,Brown D.
47744,2.34,1,1.8476508241040364,2018-09-27,Ebden M.
54105,1.51,0,1.8440945659364973,2021-10-02,Ruud C.
57319,1.52,0,1.843736404627562,2023-02-09,Baez S.
52995,1.48,0,1.840259766101837,2021-05-20,Shapovalov D.
47463,2.55,1,1.8389675997197623,2018-08-16,Kyrgios N.
57079,1.51,0,1.8361845371723173,2023-01-05,Shapovalov D.
51022,1.55,0,1.832440688610077,2020-02-14,Ruud C.
47209,1.66,0,1.8305813749631248,2018-07-24,Gasquet R.
54195,1.51,0,1.830009576678276,2021-10-13,Monfils G.
56066,1.57,0,1.8256668054064116,2022-07-16,Bublik A.
47363,1.63,0,1.8244896676540372,2018-08-04,Zverev A.
53525,2.72,1,1.8244470796585084,2021-07-15,Carballes Baena R.
50347,1.57,0,1.824332766873496,2019-09-27,Shapovalov D.
45868,1.5,0,1.8222608245611192,2018-02-16,Dimitrov G.
54051,2.77,1,1.818796723127365,2021-09-25,Kwon S.W.
45115,2.52,1,1.8183298265933991,2017-09-27,Gojowczyk P.
52273,2.72,1,1.815568470001221,2021-02-25,Paire B.
47728,1.59,0,1.814995265007019,2018-09-26,Sousa J.
56013,1.47,0,1.8145194759964944,2022-07-06,Nadal R.
52836,2.6,1,1.8095675975084307,2021-04-29,Moutet C.
43540,1.57,0,1.8049935744702814,2017-03-17,Federer R.
54678,1.56,0,1.8046260833740235,2022-02-02,Bublik A.
57416,1.64,0,1.8037668825047357,2023-02-17,Medvedev D.
52915,1.63,0,1.8014018627007797,2021-05-10,Musetti L.
55375,1.61,0,1.8000373142957689,2022-04-24,Alcaraz C.
47734,2.8,1,1.7984142631292344,2018-09-26,Jaziri M.
57602,2.89,1,1.797497471123934,2023-03-03,Medvedev D.
52077,2.41,1,1.7964522140224777,2021-02-04,Khachanov K.
55814,1.49,0,1.795302571296692,2022-06-15,Hurkacz H.
55969,1.52,0,1.7933870056271557,2022-06-29,Goffin D.
48205,1.56,0,1.7919974567492798,2019-01-10,Kohlschreiber P.
45114,2.66,1,1.7919127694765724,2017-09-27,Istomin D.
55833,2.49,1,1.789281604630607,2022-06-18,Hurkacz H.
46809,1.54,0,1.7878455832600595,2018-06-07,Del Potro J.M.
55291,1.61,0,1.7848981614112855,2022-04-14,Schwartzman D.
53870,1.53,0,1.784110862016678,2021-08-26,Giron M.
49718,2.34,1,1.7840366592407224,2019-07-16,Zverev M.
52896,2.36,1,1.778988900184631,2021-05-06,Garin C.
44760,2.71,1,1.777454638928175,2017-08-07,Donaldson J.
56037,2.79,1,1.7765827985107898,2022-07-12,Karatsev A.
54711,2.82,1,1.774450598359108,2022-02-05,Tabilo A.
51511,1.39,0,1.7743478986024859,2020-09-25,Tsitsipas S.
43715,2.7,1,1.7711198723316195,2017-04-18,Muller G.
55008,1.54,0,1.7693443858623508,2022-03-10,Fognini F.
45543,1.59,0,1.7690060170491535,2018-01-06,Harrison R.
50338,2.5,1,1.7680407634803228,2019-09-26,Bublik A.
47590,1.5,0,1.7657289564609526,2018-08-29,Pella G.
56378,2.75,1,1.7625824337204297,2022-08-18,Isner J.
46598,2.48,1,1.7616618824005126,2018-05-15,Gojowczyk P.
57042,1.69,0,1.7615827952963965,2023-01-02,Draper J.
46154,1.51,0,1.7600364668667314,2018-03-15,Querrey S.
57225,2.56,1,1.7593103408813475,2023-01-19,Murray A.
46963,2.56,1,1.7589469401041669,2018-06-27,Edmund K.
45285,2.88,1,1.7580251197814942,2017-10-17,Ymer E.
52685,1.61,0,1.7569784903526309,2021-04-13,Dimitrov G.
43638,2.52,1,1.7563965082168582,2017-04-10,Albot R.
54741,1.58,0,1.754911297559738,2022-02-08,Baez S.
52801,2.2,1,1.7538239240646365,2021-04-26,Berankis R.
56723,1.65,0,1.751480378627777,2022-10-04,Nardi L.
43945,1.54,0,1.749935989677906,2017-05-11,Thiem D.
50507,1.66,0,1.7491894200018476,2019-10-16,Mannarino A.
50543,1.63,0,1.7469613323609032,2019-10-19,Rublev A.
53566,1.59,0,1.7452071011066437,2021-07-20,Dzumhur D.
53268,1.43,0,1.7451560599463325,2021-06-17,Shapovalov D.
49456,2.75,1,1.743514720350504,2019-06-16,Mannarino A.
52119,1.56,0,1.7412363032996654,2021-02-08,Ruusuvuori E.
56292,1.57,0,1.7398670060187578,2022-08-09,Nishioka Y.
43108,1.54,0,1.7392501444816593,2017-01-26,Federer R.
43648,2.42,1,1.7383086457848547,2017-04-11,Brown D.
50906,1.61,0,1.7379867368936537,2020-02-04,Ramos-Vinolas A.
48986,1.68,0,1.735787347316742,2019-04-21,Fognini F.
