match,PSW,win0,confidence0,date,winner
56730,1.26,0,2.8505171517133716,2022-10-06,Tiafoe F.
35730,3.11,1,2.3712123930454254,2014-03-19,Mannarino A.
35126,1.38,0,2.126473155140877,2014-01-07,Tomic B.
55863,1.51,0,2.0922014452517033,2022-06-22,Bublik A.
41131,1.41,0,2.035197582244873,2016-04-16,Nadal R.
43761,2.94,1,2.0263272356987003,2017-04-25,Haase R.
47226,3.56,1,2.0211148023605348,2018-07-25,Monteiro T.
43952,1.45,0,2.014957770705223,2017-05-13,Nadal R.
32382,2.72,1,1.99910315322876,2012-10-24,Gasquet R.
34318,1.42,0,1.9814895263314247,2013-07-30,Malisse X.
32928,1.44,0,1.978850364983082,2013-02-19,Davydenko N.
36419,1.53,0,1.9708586668968202,2014-06-15,Dimitrov G.
54380,1.39,0,1.957710367441177,2021-11-11,Shapovalov D.
42925,1.46,0,1.9554236410558223,2017-01-07,Bautista Agut R.
41708,1.43,0,1.9546515379101037,2016-06-20,Youzhny M.
55086,2.72,1,1.9440567088127139,2022-03-19,Fritz T.
34715,3.05,1,1.9081477493047712,2013-09-23,Sijsling I.
52836,2.6,1,1.9080780645211541,2021-04-29,Moutet C.
32111,1.52,0,1.9049865156412125,2012-10-01,Mayer F.
46862,1.38,0,1.9040322810411452,2018-06-16,Federer R.
42540,1.47,0,1.8996208995580677,2016-10-04,Baghdatis M.
38012,2.71,1,1.8787383532524107,2015-02-13,Souza J.
54399,3.09,1,1.8689975327253339,2021-11-20,Zverev A.
42677,3.4,1,1.8515388882160189,2016-10-19,Bublik A.
49955,1.62,0,1.8427217311859128,2019-08-02,Fritz T.
42188,2.86,1,1.8378883053859074,2016-08-15,Cuevas P.
31769,1.53,0,1.8342492461204531,2012-08-14,Haas T.
51211,2.72,1,1.830478553771973,2020-02-28,Dimitrov G.
37269,1.56,0,1.830376024842262,2014-09-26,Benneteau J.
34755,1.48,0,1.8299923822283743,2013-09-27,Benneteau J.
38466,2.64,1,1.8280698852539063,2015-04-13,Stakhovsky S.
43686,2.94,1,1.8238427131175996,2017-04-15,Johnson S.
42800,1.57,0,1.8064617705345156,2016-11-01,Troicki V.
39570,1.5,0,1.8046463608741758,2015-08-17,Pospisil V.
48209,1.56,0,1.802860391040643,2019-01-10,Kohlschreiber P.
56326,2.51,1,1.7983935067653654,2022-08-12,Ruud C.
46377,1.49,0,1.7939571142196655,2018-04-23,Garcia-Lopez G.
45952,1.42,0,1.792677634358406,2018-02-22,Verdasco F.
38755,1.51,0,1.7908108290284872,2015-05-13,Isner J.
57241,1.64,0,1.7839561223132274,2023-01-22,Korda S.
51711,1.51,0,1.782269164721171,2020-10-16,Shapovalov D.
34426,3.03,1,1.778969164788723,2013-08-11,Nadal R.
48777,1.47,0,1.7760141885280611,2019-03-16,Federer R.
53216,2.8,1,1.7701759958267211,2021-06-11,Djokovic N.
37984,1.47,0,1.7682386443018916,2015-02-11,Querrey S.
49956,1.64,0,1.766672256588936,2019-08-02,Ramos-Vinolas A.
48565,2.65,1,1.7586389195919037,2019-02-21,Albot R.
47944,1.55,0,1.7580330369472505,2018-10-19,Monfils G.
45308,2.71,1,1.7541659560203553,2017-10-19,Berankis R.
43716,2.7,1,1.7516546577215195,2017-04-18,Muller G.
35319,2.87,1,1.7516493467241527,2014-02-05,Davydenko N.
48560,1.52,0,1.7511337693532305,2019-02-21,Mcdonald M.
48687,1.6,0,1.7484323883056638,2019-03-07,Thompson J.
56383,1.59,0,1.7443380951881409,2022-08-21,Kwon S.W.
